ID, MSE, PSNR, SSIM, LPIPS
0, 0.00342568, 24.65253431, 0.68990856, 0.43639091 
1, 0.00347572, 24.58955820, 0.68978500, 0.42599705 
2, 0.00353776, 24.51271333, 0.69074172, 0.42265126 
3, 0.00358758, 24.45198456, 0.68300086, 0.43118399 
4, 0.00357089, 24.47223918, 0.68890780, 0.42014572 
5, 0.00367820, 24.34364652, 0.68699890, 0.42663562 
6, 0.00370117, 24.31660970, 0.68629503, 0.43290222 
7, 0.00370794, 24.30867876, 0.68318969, 0.43638867 
8, 0.00370752, 24.30916120, 0.68629754, 0.43756217 
9, 0.00363209, 24.39843587, 0.68754017, 0.44107366 
10, 0.00353552, 24.51546381, 0.68724275, 0.45601833 
11, 0.00347955, 24.58476438, 0.68470109, 0.45603788 
12, 0.00336057, 24.73587422, 0.68838543, 0.44910693 
13, 0.00331992, 24.78872650, 0.68682176, 0.44691277 
14, 0.00326267, 24.86427407, 0.68758982, 0.45045024 
15, 0.00322109, 24.91997178, 0.68409288, 0.44467065 
16, 0.00317385, 24.98414079, 0.68243325, 0.44949237 
17, 0.00305577, 25.14878980, 0.68893874, 0.44000295 
18, 0.00296046, 25.28640218, 0.69074953, 0.43686035 
19, 0.00289718, 25.38025092, 0.68825233, 0.43957156 
20, 0.00292325, 25.34134669, 0.69170517, 0.44247317 
21, 0.00288433, 25.39954773, 0.69486237, 0.43667477 
22, 0.00286619, 25.42694611, 0.69536376, 0.43181676 
23, 0.00288816, 25.39378672, 0.69533300, 0.43061244 
24, 0.00296294, 25.28277805, 0.69489348, 0.42544201 
25, 0.00295377, 25.29623001, 0.69559681, 0.42636070 
26, 0.00289360, 25.38561168, 0.69736743, 0.41524631 
27, 0.00288391, 25.40017706, 0.69833970, 0.42749047 
28, 0.00282712, 25.48655683, 0.69905585, 0.41398066 
29, 0.00281547, 25.50449476, 0.69851404, 0.41641110 
30, 0.00276452, 25.58379898, 0.69952607, 0.41596240 
31, 0.00271074, 25.66912421, 0.69930583, 0.41370782 
32, 0.00269865, 25.68853418, 0.70230329, 0.41618386 
33, 0.00271368, 25.66441920, 0.70211047, 0.40788621 
34, 0.00263156, 25.79787113, 0.70415181, 0.41448635 
35, 0.00263357, 25.79455326, 0.70618409, 0.40518987 
36, 0.00264872, 25.76964475, 0.70397425, 0.40876737 
37, 0.00260375, 25.84400449, 0.70855427, 0.41158360 
38, 0.00263655, 25.78964181, 0.70813638, 0.41375819 
39, 0.00257108, 25.89883801, 0.71064955, 0.41642240 
40, 0.00262542, 25.80801674, 0.71153080, 0.41212672 
41, 0.00262372, 25.81082845, 0.71386540, 0.41396007 
42, 0.00254068, 25.95050609, 0.71697104, 0.41468129 
43, 0.00255655, 25.92345418, 0.71728963, 0.40893126 
44, 0.00265152, 25.76505538, 0.71759713, 0.41022724 
45, 0.00257973, 25.88426333, 0.71783739, 0.40455896 
46, 0.00255700, 25.92268615, 0.72388506, 0.40606758 
47, 0.00251860, 25.98841188, 0.72116280, 0.40842921 
48, 0.00250067, 26.01944339, 0.72606993, 0.41177973 
49, 0.00250041, 26.01988780, 0.72780997, 0.41230145 
50, 0.00245341, 26.10230146, 0.72627193, 0.41436359 
51, 0.00244852, 26.11095532, 0.72708815, 0.41081104 
52, 0.00249284, 26.03304876, 0.72698665, 0.41496813 
53, 0.00241885, 26.16390504, 0.72792917, 0.40957966 
54, 0.00242313, 26.15623749, 0.72758126, 0.39822960 
55, 0.00245574, 26.09816751, 0.72689968, 0.39844909 
56, 0.00239676, 26.20375993, 0.73267192, 0.40208316 
57, 0.00230896, 26.36584278, 0.73537058, 0.39577097 
