ID, MSE, PSNR, SSIM, LPIPS
0, 0.00215731, 26.66087532, 0.80208868, 0.33746624 
1, 0.00213021, 26.71577404, 0.80257100, 0.34025615 
2, 0.00217872, 26.61798540, 0.80116707, 0.33268133 
3, 0.00230595, 26.37150720, 0.79962295, 0.34135896 
4, 0.00240423, 26.19023324, 0.79885697, 0.34070003 
5, 0.00239665, 26.20394514, 0.79805803, 0.35214400 
6, 0.00248944, 26.03897865, 0.79614347, 0.35204577 
7, 0.00259795, 25.85369651, 0.79695719, 0.35631385 
8, 0.00257448, 25.89309944, 0.79919356, 0.35153839 
9, 0.00254470, 25.94363024, 0.79824924, 0.35863873 
10, 0.00242960, 26.14465036, 0.80095154, 0.36104000 
11, 0.00229790, 26.38668230, 0.80015385, 0.35675913 
12, 0.00228989, 26.40186159, 0.80001205, 0.35971749 
13, 0.00225043, 26.47734997, 0.80331171, 0.35557625 
14, 0.00230204, 26.37887201, 0.80319566, 0.35207197 
15, 0.00228475, 26.41161736, 0.80513912, 0.34644803 
16, 0.00232619, 26.33354249, 0.80735928, 0.35370272 
17, 0.00225718, 26.46434715, 0.80948120, 0.35435078 
18, 0.00217421, 26.62698783, 0.81177139, 0.34865683 
19, 0.00209270, 26.79293174, 0.81425160, 0.35180354 
20, 0.00204115, 26.90124707, 0.82058913, 0.34590614 
21, 0.00199791, 26.99423680, 0.82573241, 0.33978519 
22, 0.00191740, 27.17287187, 0.82881373, 0.33949712 
23, 0.00192661, 27.15205190, 0.82921726, 0.34211123 
24, 0.00188030, 27.25771940, 0.82982814, 0.33083937 
25, 0.00188316, 27.25112812, 0.83061653, 0.32591423 
26, 0.00195862, 27.08050685, 0.83330679, 0.32908246 
27, 0.00200095, 26.98763198, 0.83519369, 0.33585441 
28, 0.00204261, 26.89815148, 0.83724529, 0.33202380 
29, 0.00196407, 27.06843317, 0.83969218, 0.31860194 
30, 0.00182014, 27.39894332, 0.84302360, 0.32537711 
31, 0.00171631, 27.65403432, 0.84708470, 0.32087231 
32, 0.00173555, 27.60563977, 0.84783643, 0.31258816 
33, 0.00177746, 27.50200964, 0.84689647, 0.31664801 
34, 0.00181147, 27.41967872, 0.84765220, 0.32007989 
35, 0.00175367, 27.56052750, 0.84898835, 0.31686282 
36, 0.00164222, 27.84568798, 0.85370165, 0.30699924 
37, 0.00162377, 27.89475894, 0.85625118, 0.30150273 
38, 0.00163823, 27.85624402, 0.85628754, 0.31050256 
39, 0.00155985, 28.06916368, 0.85767365, 0.30534273 
40, 0.00154858, 28.10067363, 0.85851997, 0.29887250 
41, 0.00157724, 28.02102424, 0.85887331, 0.30768752 
42, 0.00162441, 27.89303806, 0.85865837, 0.30247900 
43, 0.00157667, 28.02259971, 0.86062562, 0.29554465 
44, 0.00160800, 27.93713478, 0.85910869, 0.29501185 
45, 0.00154095, 28.12211476, 0.85884732, 0.30356705 
46, 0.00156133, 28.06505444, 0.86154425, 0.31022343 
47, 0.00153929, 28.12680321, 0.86492252, 0.31279188 
48, 0.00150125, 28.23546687, 0.86386228, 0.30153999 
49, 0.00156319, 28.05988583, 0.86462516, 0.30371162 
50, 0.00169237, 27.71504073, 0.86014384, 0.31247613 
51, 0.00179006, 27.47133607, 0.85856467, 0.31345621 
52, 0.00185258, 27.32222074, 0.85724866, 0.31419188 
53, 0.00191342, 27.18189444, 0.85407507, 0.31563672 
54, 0.00199355, 27.00373479, 0.85075396, 0.31170571 
55, 0.00206851, 26.84342659, 0.84837323, 0.31891471 
56, 0.00204998, 26.88250132, 0.84780324, 0.31723899 
57, 0.00205732, 26.86698256, 0.84490740, 0.31933123 
58, 0.00203534, 26.91362224, 0.84369290, 0.33105037 
59, 0.00198836, 27.01503923, 0.84480870, 0.32525691 
60, 0.00195698, 27.08414186, 0.84440410, 0.32931951 
61, 0.00187837, 27.26219945, 0.84483820, 0.32776093 
62, 0.00192416, 27.15758202, 0.84348649, 0.33225441 
63, 0.00189962, 27.21332829, 0.84342921, 0.32920179 
64, 0.00184150, 27.34827139, 0.84397274, 0.33161351 
65, 0.00187947, 27.25963939, 0.84281969, 0.32673925 
66, 0.00191106, 27.18725371, 0.84210157, 0.33369637 
67, 0.00192499, 27.15570477, 0.84095734, 0.33180353 
68, 0.00189596, 27.22171266, 0.83937180, 0.33952057 
69, 0.00188176, 27.25435964, 0.83928758, 0.33328068 
70, 0.00187237, 27.27609050, 0.83977181, 0.32795215 
71, 0.00172423, 27.63404009, 0.84272236, 0.32620811 
72, 0.00175067, 27.56794780, 0.84301448, 0.33741158 
73, 0.00176463, 27.53346894, 0.84267372, 0.33611277 
74, 0.00163843, 27.85571076, 0.84726977, 0.32579345 
75, 0.00172859, 27.62307976, 0.84779233, 0.33636177 
76, 0.00166938, 27.77444824, 0.85112995, 0.32254216 
77, 0.00163429, 27.86669986, 0.85413504, 0.31270397 
78, 0.00178215, 27.49056850, 0.85257536, 0.31693232 
79, 0.00183213, 27.37044621, 0.85275739, 0.32247871 
80, 0.00177287, 27.51323461, 0.85461080, 0.32469738 
81, 0.00187283, 27.27501675, 0.85088193, 0.33537486 
82, 0.00181725, 27.40584812, 0.85532451, 0.33381698 
83, 0.00186383, 27.29594049, 0.85640085, 0.33386874 
84, 0.00181519, 27.41079090, 0.85542059, 0.32625222 
85, 0.00180576, 27.43341071, 0.85785908, 0.32941464 
86, 0.00186231, 27.29947810, 0.85587376, 0.32319701 
87, 0.00181181, 27.41886717, 0.85591358, 0.32039630 
88, 0.00181318, 27.41558985, 0.85372585, 0.32899913 
89, 0.00184196, 27.34719529, 0.84899426, 0.32910410 
90, 0.00189633, 27.22086155, 0.84881538, 0.32688725 
91, 0.00182691, 27.38282637, 0.84779316, 0.33740878 
92, 0.00194365, 27.11381583, 0.84721112, 0.33826500 
93, 0.00193088, 27.14245237, 0.84307128, 0.34474313 
94, 0.00175676, 27.55287263, 0.84186500, 0.33279154 
95, 0.00177825, 27.50006676, 0.83780658, 0.33441770 
96, 0.00176544, 27.53147757, 0.83421314, 0.34413311 
97, 0.00173053, 27.61821175, 0.83098644, 0.33774650 
98, 0.00168499, 27.73401499, 0.83298260, 0.32717448 
99, 0.00174423, 27.58397106, 0.83257836, 0.33085632 
100, 0.00187993, 27.25858368, 0.82885069, 0.33070886 
101, 0.00200745, 26.97355419, 0.82562423, 0.34119433 
102, 0.00201273, 26.96214507, 0.82617420, 0.34138671 
103, 0.00194221, 27.11704800, 0.82511282, 0.33908588 
104, 0.00188974, 27.23597917, 0.82465637, 0.35004193 
105, 0.00190904, 27.19185362, 0.82463956, 0.34494281 
106, 0.00200317, 26.98282225, 0.82362169, 0.35244304 
107, 0.00203009, 26.92484517, 0.82069653, 0.35002315 
108, 0.00200606, 26.97656187, 0.82164711, 0.35429615 
109, 0.00195958, 27.07837415, 0.82249510, 0.35008740 
110, 0.00180990, 27.42345856, 0.82615143, 0.35465074 
111, 0.00172688, 27.62737730, 0.83121270, 0.35368586 
112, 0.00183283, 27.36877010, 0.82531416, 0.34838670 
113, 0.00202831, 26.92865774, 0.82516402, 0.34689453 
114, 0.00207877, 26.82193130, 0.82227427, 0.35034499 
115, 0.00203586, 26.91252593, 0.82434464, 0.35506961 
116, 0.00199951, 26.99076271, 0.82314938, 0.35791227 
117, 0.00193248, 27.13885589, 0.82935154, 0.35091907 
118, 0.00199458, 27.00149142, 0.82810706, 0.35407355 
119, 0.00203143, 26.92197263, 0.83022249, 0.35387224 
120, 0.00197924, 27.03501902, 0.83249360, 0.35478121 
121, 0.00192050, 27.16586436, 0.83608127, 0.35200256 
122, 0.00187127, 27.27864380, 0.84168452, 0.34583792 
123, 0.00173580, 27.60500796, 0.84602249, 0.33380803 
124, 0.00170335, 27.68696405, 0.85110492, 0.33073160 
125, 0.00171788, 27.65006406, 0.85330087, 0.32680368 
126, 0.00172104, 27.64208067, 0.85569900, 0.32650632 
127, 0.00168095, 27.74446184, 0.85439968, 0.32957441 
128, 0.00165025, 27.82450950, 0.85628563, 0.32984546 
129, 0.00164541, 27.83726767, 0.85840023, 0.32680041 
130, 0.00153713, 28.13289966, 0.86065966, 0.32001781 
131, 0.00150019, 28.23853699, 0.86291885, 0.31969446 
132, 0.00150191, 28.23355810, 0.86547899, 0.31546110 
133, 0.00155587, 28.08025898, 0.86480230, 0.32000273 
134, 0.00160098, 27.95613730, 0.86317575, 0.31655264 
135, 0.00159678, 27.96755731, 0.86401302, 0.32001975 
