ID, MSE, PSNR, SSIM, LPIPS
0, 0.01347657, 18.70420654, 0.78527230, 0.23620701 
1, 0.01374025, 18.62005221, 0.78199983, 0.22741845 
2, 0.01422418, 18.46972760, 0.78008759, 0.23576176 
3, 0.01485162, 18.28226268, 0.77673590, 0.23183766 
4, 0.01562619, 18.06146841, 0.77574396, 0.22528750 
5, 0.01618526, 17.90880285, 0.77136344, 0.22882634 
6, 0.01665579, 17.78434674, 0.76982963, 0.22960350 
7, 0.01676341, 17.75637740, 0.77143943, 0.22805583 
8, 0.01713063, 17.66226757, 0.77128780, 0.23051274 
9, 0.01751537, 17.56580715, 0.77427667, 0.22215916 
10, 0.01789436, 17.47283711, 0.77525890, 0.22090572 
11, 0.01774475, 17.50930120, 0.78058624, 0.21430483 
12, 0.01764866, 17.53288272, 0.78227168, 0.21707706 
13, 0.01703416, 17.68679183, 0.78799778, 0.20189296 
14, 0.01638636, 17.85517609, 0.79307556, 0.19759656 
15, 0.01565632, 18.05310249, 0.79804814, 0.20255075 
16, 0.01539429, 18.12640468, 0.80332488, 0.19838634 
17, 0.01548263, 18.10155222, 0.80504775, 0.19445667 
18, 0.01547163, 18.10463909, 0.80895317, 0.18419665 
19, 0.01547616, 18.10336848, 0.81178629, 0.17973234 
20, 0.01476269, 18.30834601, 0.81391633, 0.18974230 
21, 0.01409555, 18.50917961, 0.81641185, 0.18422931 
22, 0.01339191, 18.73157353, 0.82045996, 0.18346362 
23, 0.01288681, 18.89854728, 0.82155180, 0.17932865 
24, 0.01270514, 18.96020615, 0.82050627, 0.18938828 
25, 0.01265232, 18.97829774, 0.82236838, 0.18313421 
26, 0.01284194, 18.91369523, 0.82382601, 0.18198949 
27, 0.01344710, 18.71371236, 0.82371140, 0.18288718 
28, 0.01402017, 18.53246862, 0.82584059, 0.17865336 
29, 0.01456451, 18.36704026, 0.82184660, 0.19240972 
30, 0.01475891, 18.30945577, 0.82284367, 0.18111369 
31, 0.01444747, 18.40208221, 0.82171655, 0.18330176 
32, 0.01373337, 18.62222872, 0.82302481, 0.17903386 
33, 0.01308444, 18.83244967, 0.82213718, 0.18237627 
34, 0.01245016, 19.04824921, 0.82200104, 0.17206271 
35, 0.01215235, 19.15339779, 0.81961972, 0.17555560 
36, 0.01185813, 19.25983695, 0.81810451, 0.18703791 
37, 0.01167531, 19.32731429, 0.81712651, 0.18097343 
38, 0.01199503, 19.20998506, 0.81279165, 0.18947829 
39, 0.01203326, 19.19616751, 0.81023550, 0.19411148 
40, 0.01219350, 19.13871781, 0.80929899, 0.19796914 
41, 0.01239999, 19.06578596, 0.80836362, 0.19205880 
42, 0.01297959, 18.86739170, 0.80459952, 0.18962386 
43, 0.01345580, 18.71090333, 0.80115539, 0.19825499 
44, 0.01363329, 18.65399228, 0.80045104, 0.19730985 
45, 0.01369126, 18.63556508, 0.80323184, 0.19242510 
46, 0.01334095, 18.74813364, 0.80823606, 0.19048193 
47, 0.01306514, 18.83885971, 0.80979687, 0.19621873 
48, 0.01276827, 18.93867990, 0.81256962, 0.19351304 
49, 0.01230489, 19.09922167, 0.81341445, 0.19292052 
50, 0.01217186, 19.14642891, 0.81306309, 0.19533220 
51, 0.01220815, 19.13350118, 0.81130213, 0.19582912 
52, 0.01205589, 19.18800700, 0.81566322, 0.18893784 
53, 0.01144645, 19.41329153, 0.81757629, 0.18752384 
54, 0.01134885, 19.45048319, 0.81584704, 0.18765493 
55, 0.01126611, 19.48226102, 0.81996816, 0.18312381 
56, 0.01111194, 19.54210102, 0.82233673, 0.18354288 
