ID, MSE, PSNR, SSIM, LPIPS
0, 0.00315632, 25.00818754, 0.87305832, 0.11516371 
1, 0.00330752, 24.80497314, 0.86876786, 0.11807304 
2, 0.00338937, 24.69881028, 0.86681265, 0.10754146 
3, 0.00358933, 24.44986357, 0.86279082, 0.10663325 
4, 0.00354855, 24.49949647, 0.85912973, 0.10547777 
5, 0.00357365, 24.46888094, 0.85264701, 0.11220520 
6, 0.00367432, 24.34822589, 0.85087299, 0.10850629 
7, 0.00369923, 24.31888635, 0.85146046, 0.11738376 
8, 0.00383442, 24.16300596, 0.84998429, 0.12248629 
9, 0.00391374, 24.07407804, 0.85061491, 0.11469028 
10, 0.00397511, 24.00651242, 0.85332143, 0.11565488 
11, 0.00378801, 24.21588618, 0.85734975, 0.10494742 
12, 0.00379119, 24.21224025, 0.85870343, 0.10898156 
13, 0.00363354, 24.39669761, 0.86403906, 0.10222916 
14, 0.00364562, 24.38228870, 0.86942405, 0.09472881 
15, 0.00352024, 24.53427114, 0.87124193, 0.09565307 
16, 0.00344047, 24.63381905, 0.87483847, 0.09797411 
17, 0.00350516, 24.55291881, 0.87620068, 0.09632938 
18, 0.00354102, 24.50871766, 0.87695599, 0.09666868 
19, 0.00346904, 24.59790615, 0.88145316, 0.09479085 
20, 0.00334368, 24.75774967, 0.88287997, 0.09576890 
21, 0.00338121, 24.70927926, 0.87897438, 0.09531861 
22, 0.00309744, 25.08997016, 0.88450456, 0.09892370 
23, 0.00311359, 25.06739103, 0.88442254, 0.09145864 
24, 0.00328899, 24.82937554, 0.88462955, 0.09758319 
25, 0.00352175, 24.53241709, 0.88501441, 0.09628533 
26, 0.00366078, 24.36426380, 0.88429314, 0.09441029 
27, 0.00372599, 24.28758103, 0.88871074, 0.08961977 
28, 0.00377704, 24.22848557, 0.88925803, 0.09389869 
29, 0.00360815, 24.42715759, 0.88907772, 0.09599051 
30, 0.00357226, 24.47056936, 0.88697422, 0.10135455 
31, 0.00324157, 24.89245068, 0.88976294, 0.09214807 
32, 0.00307118, 25.12695343, 0.88784599, 0.09418391 
33, 0.00279923, 25.52961499, 0.89181405, 0.08944659 
34, 0.00268466, 25.71110328, 0.89479274, 0.09069897 
35, 0.00269625, 25.69239788, 0.89537507, 0.08913050 
36, 0.00260563, 25.84087744, 0.89726514, 0.08953130 
37, 0.00252702, 25.97392011, 0.89978349, 0.08429651 
38, 0.00267600, 25.72514211, 0.89762205, 0.08606082 
39, 0.00260017, 25.84998883, 0.89810640, 0.08856933 
40, 0.00259236, 25.86305290, 0.89770299, 0.08557618 
41, 0.00254992, 25.93473921, 0.90012741, 0.08071867 
42, 0.00253789, 25.95527467, 0.90053779, 0.07640702 
43, 0.00256349, 25.91167730, 0.90006715, 0.07784686 
44, 0.00261740, 25.82130458, 0.90138501, 0.07770306 
45, 0.00277601, 25.56578870, 0.90328515, 0.07936893 
46, 0.00283581, 25.47322272, 0.90678227, 0.07596386 
47, 0.00288231, 25.40259704, 0.90982676, 0.07439721 
48, 0.00259354, 25.86107497, 0.91406518, 0.07524651 
49, 0.00241554, 26.16985026, 0.91747689, 0.07515866 
50, 0.00240061, 26.19678239, 0.91581368, 0.07982840 
51, 0.00239612, 26.20490931, 0.91751570, 0.07777207 
52, 0.00237797, 26.23793985, 0.92040080, 0.07080671 
53, 0.00244491, 26.11736482, 0.91963649, 0.06941042 
54, 0.00246745, 26.07751559, 0.91729313, 0.07343237 
55, 0.00255311, 25.92929877, 0.91704750, 0.06945667 
56, 0.00256856, 25.90311119, 0.91701585, 0.06862775 
57, 0.00251819, 25.98911533, 0.91873223, 0.06640987 
58, 0.00249523, 26.02888859, 0.91803187, 0.06792875 
59, 0.00260942, 25.83455841, 0.91745168, 0.06970052 
60, 0.00294199, 25.31358562, 0.91785944, 0.07484397 
61, 0.00269187, 25.69946204, 0.91836667, 0.06874297 
62, 0.00300561, 25.22066823, 0.91762084, 0.07433541 
63, 0.00290391, 25.37017317, 0.91792887, 0.07462636 
64, 0.00260418, 25.84329425, 0.91821820, 0.06682930 
65, 0.00262176, 25.81406622, 0.91855466, 0.07509498 
66, 0.00260710, 25.83842126, 0.92019033, 0.07584815 
67, 0.00249953, 26.02141914, 0.92180818, 0.08073404 
68, 0.00259276, 25.86237425, 0.91929573, 0.08468645 
69, 0.00250165, 26.01773085, 0.92159349, 0.07901064 
70, 0.00274765, 25.61039211, 0.92269427, 0.08097319 
71, 0.00284351, 25.46145932, 0.91848058, 0.08312040 
72, 0.00279458, 25.53683949, 0.91454160, 0.08842686 
73, 0.00300759, 25.21780954, 0.90989673, 0.09501296 
74, 0.00337834, 24.71296938, 0.90559763, 0.09697894 
75, 0.00420954, 23.75765711, 0.89950168, 0.10844061 
76, 0.00409251, 23.88010266, 0.89866900, 0.10902993 
77, 0.00428670, 23.67877199, 0.89806104, 0.10872675 
78, 0.00463904, 23.33572342, 0.89772642, 0.10985918 
79, 0.00537012, 22.70016307, 0.89264882, 0.11576898 
80, 0.00627795, 22.02181824, 0.88688242, 0.11454532 
81, 0.00648962, 21.87780696, 0.88712412, 0.11110538 
82, 0.00641594, 21.92739966, 0.88816309, 0.11090041 
83, 0.00674123, 21.71260651, 0.88726926, 0.11309098 
84, 0.00681012, 21.66845453, 0.88845265, 0.11447291 
85, 0.00752818, 21.23310098, 0.89068764, 0.11315169 
86, 0.00718768, 21.43411386, 0.89107877, 0.11081224 
87, 0.00645732, 21.89948008, 0.89424986, 0.10332540 
88, 0.00643171, 21.91673547, 0.89394879, 0.10259876 
89, 0.00711325, 21.47932071, 0.89221203, 0.10605582 
90, 0.00654315, 21.84213390, 0.89722335, 0.08984752 
91, 0.00585639, 22.32369760, 0.90190732, 0.08237207 
92, 0.00523379, 22.81183724, 0.90699965, 0.08300992 
93, 0.00505758, 22.96056933, 0.90994942, 0.07861331 
94, 0.00472825, 23.25299293, 0.91349155, 0.07882658 
95, 0.00422024, 23.74662725, 0.91988033, 0.07001469 
96, 0.00382319, 24.17574674, 0.92569518, 0.06674725 
97, 0.00354645, 24.50206551, 0.92967892, 0.06362341 
98, 0.00328867, 24.82979460, 0.93613774, 0.06625304 
99, 0.00330098, 24.81356499, 0.93486965, 0.06728104 
100, 0.00306510, 25.13555987, 0.93376535, 0.06358226 
101, 0.00307703, 25.11868572, 0.93261206, 0.06481766 
102, 0.00272300, 25.64952394, 0.93249822, 0.06063149 
103, 0.00257095, 25.89906297, 0.93160522, 0.05618687 
104, 0.00273285, 25.63384663, 0.92933697, 0.06056436 
105, 0.00361954, 24.41346925, 0.92194968, 0.06573819 
106, 0.00378133, 24.22355224, 0.91827762, 0.07554204 
107, 0.00399640, 23.98331032, 0.91406411, 0.06521060 
108, 0.00415911, 23.80999531, 0.91019452, 0.07309324 
109, 0.00420968, 23.75750818, 0.90815955, 0.07088400 
110, 0.00389426, 24.09574909, 0.90582347, 0.08072899 
111, 0.00409124, 23.88144944, 0.90559268, 0.08223542 
112, 0.00394751, 24.03676616, 0.90569431, 0.09156013 
113, 0.00387562, 24.11658816, 0.90564311, 0.09890573 
114, 0.00395438, 24.02921977, 0.90485400, 0.09738272 
115, 0.00391924, 24.06798493, 0.90278262, 0.09788373 
116, 0.00398082, 24.00027452, 0.90485221, 0.09144719 
117, 0.00383610, 24.16110108, 0.90604073, 0.09137703 
118, 0.00366398, 24.36046720, 0.90842474, 0.09224848 
119, 0.00342552, 24.65273326, 0.91045052, 0.08934383 
120, 0.00339335, 24.69371769, 0.91545093, 0.09394474 
121, 0.00321340, 24.93034956, 0.91920489, 0.08818777 
122, 0.00265888, 25.75301173, 0.92212564, 0.08225277 
123, 0.00235159, 26.28638143, 0.92749214, 0.07807478 
124, 0.00231861, 26.34772475, 0.92827255, 0.07595664 
125, 0.00217427, 26.62687017, 0.93117720, 0.07472418 
126, 0.00221029, 26.55550296, 0.93243140, 0.07928102 
127, 0.00228945, 26.40269317, 0.92817706, 0.07781632 
128, 0.00242846, 26.14669016, 0.92445797, 0.07871882 
129, 0.00261810, 25.82013996, 0.92173177, 0.07901855 
130, 0.00265245, 25.76352832, 0.91968101, 0.07622200 
131, 0.00271064, 25.66927902, 0.91659218, 0.07583074 
132, 0.00265464, 25.75994822, 0.91287094, 0.07555747 
133, 0.00268402, 25.71214069, 0.91249955, 0.08057877 
134, 0.00263474, 25.79261511, 0.91266304, 0.07379320 
135, 0.00287474, 25.41400981, 0.90933043, 0.07859667 
136, 0.00325575, 24.87349316, 0.90192431, 0.08559108 
137, 0.00319946, 24.94923949, 0.90423626, 0.08235645 
138, 0.00343179, 24.64479084, 0.90129292, 0.08624540 
139, 0.00324010, 24.89441478, 0.90032983, 0.09336857 
140, 0.00325012, 24.88100701, 0.89944071, 0.08915244 
141, 0.00315639, 25.00809496, 0.90036970, 0.08797089 
142, 0.00310818, 25.07493365, 0.89990938, 0.08537768 
143, 0.00292013, 25.34597809, 0.90135276, 0.07703798 
144, 0.00276007, 25.59079698, 0.90397048, 0.06957296 
145, 0.00270597, 25.67676337, 0.90791124, 0.07612789 
146, 0.00275249, 25.60274380, 0.90805119, 0.07762867 
147, 0.00261166, 25.83083296, 0.91344333, 0.07351717 
148, 0.00240890, 26.18181888, 0.91546023, 0.07961606 
149, 0.00222288, 26.53083386, 0.91795731, 0.07438625 
150, 0.00228241, 26.41607238, 0.91828418, 0.07449724 
151, 0.00239718, 26.20300143, 0.91742265, 0.07755245 
152, 0.00241838, 26.16475332, 0.91974705, 0.07227068 
153, 0.00262476, 25.80910492, 0.91543067, 0.07275935 
154, 0.00259474, 25.85906443, 0.91670984, 0.06820885 
155, 0.00266748, 25.73898349, 0.91585445, 0.07009758 
156, 0.00265983, 25.75146457, 0.91331100, 0.06520624 
157, 0.00249998, 26.02063803, 0.91487479, 0.07282883 
158, 0.00243202, 26.14032333, 0.91465384, 0.06660698 
159, 0.00223947, 26.49855221, 0.91347474, 0.06796318 
160, 0.00225078, 26.47666346, 0.91155869, 0.07088454 
161, 0.00220076, 26.57427556, 0.90986675, 0.06558159 
162, 0.00224987, 26.47842533, 0.90855360, 0.07145713 
163, 0.00228745, 26.40647857, 0.90742648, 0.07674003 
164, 0.00225296, 26.47247171, 0.90476620, 0.07800540 
165, 0.00239514, 26.20669644, 0.90215749, 0.08464407 
166, 0.00248818, 26.04117503, 0.90211707, 0.09098054 
167, 0.00258728, 25.87156959, 0.90055752, 0.08800307 
168, 0.00293748, 25.32024687, 0.89452928, 0.09205576 
169, 0.00300836, 25.21669886, 0.89378756, 0.09522361 
170, 0.00328551, 24.83397022, 0.89198542, 0.09583835 
