ID, MSE, PSNR, SSIM, LPIPS
0, 0.00178556, 27.48226192, 0.90737337, 0.16340770 
1, 0.00183140, 27.37217017, 0.90602016, 0.16420139 
2, 0.00192697, 27.15125211, 0.90463722, 0.16348046 
3, 0.00202302, 26.93998811, 0.90183747, 0.16710703 
4, 0.00203223, 26.92026415, 0.90072834, 0.16566591 
5, 0.00210130, 26.77512506, 0.89986855, 0.16502646 
6, 0.00215528, 26.66496025, 0.89756727, 0.16538692 
7, 0.00217925, 26.61693339, 0.89470720, 0.16808577 
8, 0.00226845, 26.44270903, 0.89102858, 0.16820534 
9, 0.00271620, 25.66038522, 0.88530421, 0.16534491 
10, 0.00346005, 24.60917906, 0.88171268, 0.16902272 
11, 0.00408119, 23.89213622, 0.87868786, 0.17816539 
12, 0.00408133, 23.89198806, 0.87676728, 0.18121766 
13, 0.00404143, 23.93465331, 0.87639123, 0.18411565 
14, 0.00421343, 23.75363882, 0.87620258, 0.18136825 
15, 0.00449267, 23.47495722, 0.87681216, 0.18451525 
16, 0.00441872, 23.54703332, 0.87866777, 0.19543689 
17, 0.00426404, 23.70178596, 0.88020563, 0.18916674 
18, 0.00437577, 23.58945954, 0.88304383, 0.18211995 
19, 0.00445610, 23.51045429, 0.88385618, 0.18680790 
20, 0.00434489, 23.62021178, 0.88660830, 0.18808042 
21, 0.00402692, 23.95026940, 0.88936323, 0.17524630 
22, 0.00352407, 24.52954940, 0.89058638, 0.17527209 
23, 0.00311128, 25.07060865, 0.89456022, 0.17114727 
24, 0.00290017, 25.37575927, 0.89765686, 0.16709013 
25, 0.00283721, 25.47108952, 0.89888871, 0.16107833 
26, 0.00291838, 25.34858113, 0.89971101, 0.15904319 
27, 0.00310008, 25.08626682, 0.89971048, 0.16036883 
28, 0.00330754, 24.80495296, 0.89834553, 0.15827118 
29, 0.00366153, 24.36337806, 0.89539665, 0.16503371 
30, 0.00427268, 23.69299558, 0.88886780, 0.17361474 
31, 0.00483777, 23.15354573, 0.88480413, 0.18008408 
32, 0.00561498, 22.50652101, 0.88086998, 0.18756184 
33, 0.00622369, 22.05951869, 0.87648666, 0.19277161 
34, 0.00636450, 21.96235921, 0.87539977, 0.19430208 
35, 0.00631522, 21.99611634, 0.87683475, 0.18536134 
36, 0.00637612, 21.95443246, 0.87866169, 0.18985614 
37, 0.00646441, 21.89471224, 0.87982512, 0.18857883 
38, 0.00641666, 21.92690639, 0.88063926, 0.19030426 
39, 0.00628015, 22.02030319, 0.88190287, 0.18677798 
40, 0.00633484, 21.98264136, 0.88375771, 0.18209267 
41, 0.00632727, 21.98783309, 0.88318193, 0.17989334 
42, 0.00639558, 21.94120047, 0.88241088, 0.18317203 
43, 0.00634396, 21.97639703, 0.88081759, 0.18663532 
44, 0.00603908, 22.19029068, 0.88120276, 0.19211727 
45, 0.00587850, 22.30733155, 0.88232172, 0.18223137 
46, 0.00558797, 22.52746122, 0.88293451, 0.17547379 
47, 0.00549432, 22.60085990, 0.88249809, 0.18317643 
48, 0.00550451, 22.59281380, 0.88401067, 0.18164121 
49, 0.00561245, 22.50847392, 0.88608134, 0.18268019 
50, 0.00596161, 22.24636506, 0.88706297, 0.17936638 
51, 0.00638171, 21.95062741, 0.88907903, 0.18075834 
52, 0.00694060, 21.58603013, 0.89106911, 0.17874537 
53, 0.00661292, 21.79606687, 0.89394277, 0.17875808 
54, 0.00664810, 21.77302610, 0.89560992, 0.17994063 
55, 0.00644791, 21.90580979, 0.89587528, 0.18236774 
56, 0.00681456, 21.66562007, 0.89815325, 0.18302482 
57, 0.00665996, 21.76528537, 0.89957118, 0.18547627 
58, 0.00653800, 21.84555056, 0.90433234, 0.17553903 
59, 0.00610753, 22.14134054, 0.90731299, 0.17726268 
60, 0.00604780, 22.18402232, 0.91087538, 0.17412613 
61, 0.00604561, 22.18559826, 0.91291863, 0.16960627 
62, 0.00581362, 22.35553598, 0.91707039, 0.16386014 
63, 0.00520955, 22.83200117, 0.92015469, 0.15813163 
64, 0.00455532, 23.41481518, 0.92263234, 0.15790004 
65, 0.00415252, 23.81688452, 0.92516088, 0.15931888 
66, 0.00400445, 23.97457422, 0.92878383, 0.15623291 
67, 0.00380850, 24.19246357, 0.92982471, 0.15109357 
68, 0.00348535, 24.57753263, 0.93103957, 0.15763590 
69, 0.00333020, 24.77529170, 0.92970616, 0.15406084 
70, 0.00311265, 25.06869742, 0.92946166, 0.15191182 
71, 0.00296350, 25.28195054, 0.93360043, 0.14752184 
72, 0.00314085, 25.02952451, 0.93573064, 0.14400160 
73, 0.00322360, 24.91658871, 0.93639672, 0.14681979 
74, 0.00327879, 24.84286300, 0.93679506, 0.14259252 
75, 0.00330366, 24.81004002, 0.93654358, 0.14922096 
76, 0.00333871, 24.76421371, 0.93523240, 0.14937598 
77, 0.00325285, 24.87735943, 0.93446255, 0.15355156 
78, 0.00326421, 24.86222318, 0.93499613, 0.14476413 
79, 0.00322887, 24.90949473, 0.93455815, 0.14867389 
80, 0.00324022, 24.89425281, 0.93486929, 0.14256439 
81, 0.00320638, 24.93984764, 0.93598813, 0.14019638 
82, 0.00281072, 25.51182505, 0.94067860, 0.13806954 
83, 0.00276680, 25.58022910, 0.94211966, 0.13356015 
84, 0.00286235, 25.43277922, 0.94058722, 0.13463253 
85, 0.00304423, 25.16522017, 0.93813270, 0.13559577 
86, 0.00329252, 24.82472000, 0.93534642, 0.14453384 
87, 0.00340321, 24.68110676, 0.93429255, 0.14456701 
88, 0.00357028, 24.47297605, 0.93349731, 0.14545634 
89, 0.00374338, 24.26735778, 0.93271697, 0.14634107 
90, 0.00390667, 24.08193166, 0.93270081, 0.14006475 
91, 0.00405970, 23.91506027, 0.93262935, 0.13868949 
92, 0.00410856, 23.86310436, 0.93287635, 0.13677306 
93, 0.00414585, 23.82386224, 0.93285787, 0.14240256 
94, 0.00407065, 23.90336153, 0.93314981, 0.13887650 
95, 0.00396247, 24.02033836, 0.93532252, 0.13818444 
96, 0.00389309, 24.09705822, 0.93605709, 0.14003730 
97, 0.00384249, 24.15387698, 0.93660361, 0.13711125 
98, 0.00375764, 24.25084854, 0.93622166, 0.13812727 
99, 0.00372334, 24.29067726, 0.93748409, 0.14054853 
100, 0.00369690, 24.32161739, 0.93757057, 0.14209238 
101, 0.00377007, 24.23650703, 0.93713915, 0.14775193 
102, 0.00380107, 24.20093849, 0.93748784, 0.14538644 
103, 0.00370417, 24.31309582, 0.93825597, 0.14523508 
104, 0.00375100, 24.25852406, 0.93793583, 0.14013210 
105, 0.00373378, 24.27851193, 0.93645412, 0.14214256 
106, 0.00358024, 24.46088190, 0.93810278, 0.14555997 
107, 0.00346864, 24.59840695, 0.93949747, 0.14635488 
108, 0.00348625, 24.57641871, 0.93987978, 0.14262570 
109, 0.00371509, 24.30030254, 0.94037378, 0.14270145 
110, 0.00394963, 24.03443425, 0.94009972, 0.14205292 
111, 0.00390294, 24.08607987, 0.94085020, 0.14009196 
112, 0.00382598, 24.17257330, 0.94066131, 0.14242423 
113, 0.00380705, 24.19410895, 0.94149393, 0.14119832 
114, 0.00396745, 24.01488589, 0.93890989, 0.15035921 
115, 0.00402790, 23.94921139, 0.93720806, 0.15172201 
116, 0.00415076, 23.81872242, 0.93720472, 0.14727001 
117, 0.00412064, 23.85035327, 0.93547112, 0.14647727 
118, 0.00399073, 23.98947523, 0.93575364, 0.13890746 
119, 0.00377922, 24.22597807, 0.93834996, 0.14737797 
120, 0.00339051, 24.69735256, 0.94186771, 0.13624552 
121, 0.00342697, 24.65089877, 0.94144255, 0.13351414 
122, 0.00345009, 24.62169948, 0.94265890, 0.12732166 
123, 0.00331361, 24.79699236, 0.94239563, 0.12439600 
124, 0.00299639, 25.23401325, 0.94194967, 0.12669297 
125, 0.00270409, 25.67978974, 0.94220847, 0.12115732 
126, 0.00271439, 25.66327577, 0.94138414, 0.12559062 
127, 0.00289939, 25.37694034, 0.93821973, 0.12457389 
128, 0.00277019, 25.57490021, 0.93694621, 0.12307856 
129, 0.00279796, 25.53158921, 0.93360144, 0.13077861 
130, 0.00317037, 24.98889459, 0.92808366, 0.13331574 
131, 0.00354549, 24.50323781, 0.92571312, 0.14242101 
132, 0.00380063, 24.20143917, 0.92198694, 0.14374736 
133, 0.00425390, 23.71212947, 0.91787094, 0.14777374 
134, 0.00471845, 23.26200438, 0.91535443, 0.16099769 
135, 0.00488663, 23.10990627, 0.91272616, 0.16053668 
136, 0.00502414, 22.98938529, 0.90645754, 0.16583595 
137, 0.00504074, 22.97505371, 0.90232319, 0.17699932 
138, 0.00495356, 23.05082454, 0.90149993, 0.17856000 
139, 0.00510480, 22.92021052, 0.89931899, 0.18355367 
140, 0.00517614, 22.85993869, 0.89704049, 0.19631447 
141, 0.00538262, 22.69006483, 0.89581019, 0.18954070 
142, 0.00532550, 22.73639997, 0.89457583, 0.19074304 
143, 0.00527098, 22.78108876, 0.89299923, 0.19076766 
144, 0.00533290, 22.73036543, 0.89159083, 0.19174345 
145, 0.00512548, 22.90265752, 0.89223808, 0.19165719 
146, 0.00510842, 22.91713143, 0.89024192, 0.19324574 
147, 0.00544589, 22.63931236, 0.89015836, 0.18728507 
148, 0.00557011, 22.54135979, 0.89068764, 0.18807468 
149, 0.00572487, 22.42234467, 0.88901502, 0.18491428 
150, 0.00599254, 22.22389283, 0.88862914, 0.18285285 
151, 0.00638344, 21.94945125, 0.88899231, 0.18077195 
152, 0.00676632, 21.69647364, 0.89006013, 0.17534572 
153, 0.00657530, 21.82084681, 0.89020592, 0.17141145 
154, 0.00668948, 21.74607759, 0.89120877, 0.17766669 
155, 0.00633569, 21.98205879, 0.89249039, 0.17280477 
156, 0.00600409, 22.21552709, 0.89480990, 0.17305480 
157, 0.00541130, 22.66698398, 0.89837766, 0.16660185 
158, 0.00551005, 22.58844654, 0.90089166, 0.16920166 
159, 0.00499918, 23.01101643, 0.90439415, 0.16721974 
160, 0.00490880, 23.09024527, 0.90744114, 0.16183054 
161, 0.00499687, 23.01301650, 0.90865040, 0.15733245 
162, 0.00468645, 23.29156001, 0.90959376, 0.15197425 
163, 0.00443231, 23.53370340, 0.91127974, 0.14217500 
164, 0.00436100, 23.60413644, 0.91178542, 0.14744514 
165, 0.00414181, 23.82810230, 0.91321945, 0.13838586 
166, 0.00417566, 23.79274656, 0.91424239, 0.13834703 
167, 0.00401950, 23.95827641, 0.91350770, 0.13898996 
168, 0.00384060, 24.15600933, 0.91111290, 0.14230050 
169, 0.00370171, 24.31597400, 0.91000426, 0.14608960 
170, 0.00353076, 24.52132281, 0.91031808, 0.14018516 
171, 0.00364534, 24.38261961, 0.90950513, 0.14712763 
172, 0.00401838, 23.95948913, 0.90833145, 0.15102598 
173, 0.00445967, 23.50696796, 0.90517342, 0.14672722 
174, 0.00458943, 23.38241509, 0.90484530, 0.14703274 
175, 0.00422957, 23.73703851, 0.90531296, 0.15311490 
176, 0.00393865, 24.04652891, 0.90605807, 0.15280253 
177, 0.00358850, 24.45086856, 0.90830034, 0.15540047 
178, 0.00347595, 24.58926932, 0.90937501, 0.15043125 
179, 0.00340067, 24.68434928, 0.90733975, 0.15601845 
180, 0.00328858, 24.82991667, 0.90817678, 0.15409134 
181, 0.00310559, 25.07855668, 0.90714121, 0.15754642 
182, 0.00295376, 25.29625432, 0.90670812, 0.15267000 
183, 0.00257198, 25.89732255, 0.90661478, 0.15444662 
184, 0.00235219, 26.28526703, 0.90819460, 0.15265208 
185, 0.00215553, 26.66445124, 0.90890372, 0.14812213 
186, 0.00177607, 27.50539612, 0.91043901, 0.14502825 
187, 0.00170534, 27.68189912, 0.90865016, 0.15244932 
188, 0.00171417, 27.65946852, 0.90944856, 0.14947806 
189, 0.00167668, 27.75550646, 0.90822154, 0.15218727 
190, 0.00157480, 28.02775268, 0.90787840, 0.14905196 
191, 0.00164237, 27.84529978, 0.90383291, 0.15179482 
192, 0.00169588, 27.70604771, 0.90371627, 0.15346242 
193, 0.00173843, 27.59843199, 0.90343690, 0.16117199 
194, 0.00172614, 27.62925175, 0.90499771, 0.16064759 
195, 0.00176215, 27.53957075, 0.90474772, 0.16352054 
196, 0.00174802, 27.57452546, 0.90523410, 0.15925245 
197, 0.00173113, 27.61671324, 0.90572906, 0.16696835 
198, 0.00172032, 27.64391828, 0.90565336, 0.16511363 
199, 0.00180314, 27.43971692, 0.90630388, 0.15879692 
AVERAGES: 0.0041, 24.158, 0.911, 0.160
