ID, MSE, PSNR, SSIM, LPIPS
0, 0.00095590, 30.19586056, 0.91553599, 0.17946358 
1, 0.00099870, 30.00563314, 0.91463339, 0.17667757 
2, 0.00095802, 30.18624508, 0.91456473, 0.18436021 
3, 0.00098153, 30.08097426, 0.91332233, 0.17611757 
4, 0.00099245, 30.03292362, 0.91430146, 0.17223854 
5, 0.00101195, 29.94839262, 0.91360748, 0.17246461 
6, 0.00104779, 29.79726261, 0.91271865, 0.16914520 
7, 0.00107195, 29.69825867, 0.91200817, 0.17190945 
8, 0.00111336, 29.53364049, 0.90931368, 0.17384316 
9, 0.00115010, 29.39262716, 0.90817243, 0.17831813 
10, 0.00126211, 28.98902005, 0.90471500, 0.17438343 
11, 0.00148460, 28.28390132, 0.90078002, 0.17548615 
12, 0.00154502, 28.11065591, 0.89776933, 0.17778015 
13, 0.00156924, 28.04309308, 0.89782655, 0.17468043 
14, 0.00179907, 27.44952771, 0.89761347, 0.17466816 
15, 0.00212836, 26.71955653, 0.89608365, 0.17392442 
16, 0.00201995, 26.94659590, 0.89597487, 0.17265788 
17, 0.00191713, 27.17348840, 0.89874864, 0.17711046 
18, 0.00213270, 26.71071168, 0.89905065, 0.17928211 
19, 0.00210844, 26.76038554, 0.90510678, 0.16916156 
20, 0.00207595, 26.82783323, 0.90217960, 0.17936568 
21, 0.00202221, 26.94172787, 0.90710992, 0.16335519 
22, 0.00176542, 27.53152540, 0.90967965, 0.16134903 
23, 0.00153477, 28.13957618, 0.91132975, 0.15965590 
24, 0.00128700, 28.90422035, 0.91616243, 0.15132013 
25, 0.00110734, 29.55719522, 0.91742796, 0.15732925 
26, 0.00108167, 29.65905662, 0.91905344, 0.14873624 
27, 0.00113727, 29.44135346, 0.91717309, 0.14674750 
28, 0.00124025, 29.06490454, 0.91528159, 0.14893650 
29, 0.00134184, 28.72298883, 0.91210741, 0.15228526 
30, 0.00145103, 28.38322904, 0.90650797, 0.15737452 
31, 0.00166901, 27.77540205, 0.89978188, 0.16881441 
32, 0.00186879, 27.28439143, 0.89568925, 0.16946408 
33, 0.00205835, 26.86481019, 0.89125305, 0.17287049 
34, 0.00197488, 27.04458419, 0.89176041, 0.17237043 
35, 0.00186082, 27.30296072, 0.89384228, 0.16490535 
36, 0.00174209, 27.58929707, 0.89577270, 0.16492555 
37, 0.00150202, 28.23324943, 0.89920163, 0.15864143 
38, 0.00136168, 28.65923461, 0.90179312, 0.16533254 
39, 0.00122106, 29.13261485, 0.90484989, 0.16431759 
40, 0.00121781, 29.14420267, 0.90646833, 0.15589683 
41, 0.00128933, 28.89636632, 0.90647602, 0.15106356 
42, 0.00139870, 28.54275371, 0.90510768, 0.15668860 
43, 0.00143683, 28.42594321, 0.90548807, 0.16332884 
44, 0.00167245, 27.76647828, 0.90410203, 0.16143826 
45, 0.00175765, 27.55066783, 0.90436703, 0.15879278 
46, 0.00183969, 27.35255676, 0.90446740, 0.15777664 
47, 0.00180598, 27.43286618, 0.90539676, 0.15524957 
48, 0.00175794, 27.54996717, 0.90796465, 0.15035231 
49, 0.00191515, 27.17797607, 0.90915412, 0.15081452 
50, 0.00199995, 26.98980753, 0.90957087, 0.14664738 
51, 0.00213086, 26.71444657, 0.90961629, 0.15345038 
52, 0.00232312, 26.33929071, 0.91177571, 0.15668344 
53, 0.00180282, 27.44048527, 0.91299331, 0.14853771 
54, 0.00189111, 27.23283909, 0.91736120, 0.14308575 
55, 0.00211377, 26.74941314, 0.91691512, 0.15350389 
56, 0.00300488, 25.22172340, 0.91880345, 0.15740055 
57, 0.00313919, 25.03181798, 0.92136699, 0.15475675 
58, 0.00254266, 25.94711492, 0.92387593, 0.14287339 
59, 0.00189469, 27.22462375, 0.92845118, 0.15081814 
60, 0.00188488, 27.24716104, 0.93088382, 0.15343153 
61, 0.00178664, 27.47963789, 0.93321729, 0.14589798 
62, 0.00147362, 28.31614987, 0.93572021, 0.14933059 
63, 0.00137583, 28.61435582, 0.93672270, 0.15793115 
64, 0.00134328, 28.71833464, 0.93841040, 0.15174249 
65, 0.00136112, 28.66104950, 0.93845487, 0.16204733 
66, 0.00116900, 29.32187199, 0.94011497, 0.15937221 
67, 0.00104728, 29.79938189, 0.93944758, 0.15294610 
68, 0.00094825, 30.23075228, 0.93957335, 0.15134811 
69, 0.00095702, 30.19077650, 0.93835104, 0.14968467 
70, 0.00105495, 29.76766087, 0.93618172, 0.15001249 
71, 0.00110739, 29.55701214, 0.93511236, 0.14924106 
72, 0.00105853, 29.75297233, 0.93583077, 0.15309383 
73, 0.00110674, 29.55956139, 0.93443406, 0.15620679 
74, 0.00103649, 29.84436362, 0.93424588, 0.15481044 
75, 0.00106259, 29.73636255, 0.93116552, 0.15686852 
76, 0.00116055, 29.35335516, 0.92962891, 0.16556822 
77, 0.00111195, 29.53916458, 0.93026108, 0.15717879 
78, 0.00107833, 29.67246773, 0.93022364, 0.15469876 
79, 0.00099077, 30.04026259, 0.93018687, 0.15398619 
80, 0.00101751, 29.92461182, 0.92806011, 0.15425128 
81, 0.00098733, 30.05538646, 0.93013948, 0.14892617 
82, 0.00101707, 29.92650536, 0.93057561, 0.13817669 
83, 0.00096135, 30.17116504, 0.93129522, 0.14077705 
84, 0.00101416, 29.93892778, 0.92885917, 0.14075625 
85, 0.00109091, 29.62212725, 0.92879564, 0.14642926 
86, 0.00112624, 29.48370890, 0.92946774, 0.14195003 
87, 0.00117204, 29.31058297, 0.93014359, 0.14090222 
88, 0.00126109, 28.99253622, 0.92955828, 0.14702946 
89, 0.00137229, 28.62553672, 0.92980438, 0.14692229 
90, 0.00164336, 27.84267439, 0.92851675, 0.14739844 
91, 0.00210437, 26.76878154, 0.92539108, 0.15303630 
92, 0.00218187, 26.61172070, 0.92591077, 0.15747105 
93, 0.00204304, 26.89722585, 0.92743868, 0.14724147 
94, 0.00182647, 27.38387591, 0.92942804, 0.14850619 
95, 0.00176270, 27.53822075, 0.92974621, 0.15050983 
96, 0.00166853, 27.77667240, 0.93267053, 0.14670391 
97, 0.00161543, 27.91711857, 0.93453801, 0.14636357 
98, 0.00165208, 27.81968625, 0.93535328, 0.14826412 
99, 0.00165736, 27.80582293, 0.93586755, 0.15005848 
100, 0.00171476, 27.65797046, 0.93431711, 0.15350561 
101, 0.00173228, 27.61381614, 0.93655276, 0.15009952 
