ID, MSE, PSNR, SSIM, LPIPS
0, 0.00250154, 26.01792689, 0.88241488, 0.15925360 
1, 0.00241994, 26.16195492, 0.87917203, 0.16243143 
2, 0.00237851, 26.23695854, 0.88416082, 0.15355365 
3, 0.00233409, 26.31882585, 0.88005137, 0.15044235 
4, 0.00221902, 26.53839072, 0.88366389, 0.15579239 
5, 0.00213389, 26.70827297, 0.88831455, 0.15170687 
6, 0.00215481, 26.66590430, 0.88770372, 0.15522335 
7, 0.00218058, 26.61427270, 0.88808352, 0.15084241 
8, 0.00221313, 26.54992799, 0.88905764, 0.14697520 
9, 0.00217930, 26.61682992, 0.88965327, 0.14967690 
10, 0.00213081, 26.71455191, 0.88973087, 0.15460852 
11, 0.00206777, 26.84498627, 0.89417309, 0.13691574 
12, 0.00208845, 26.80175843, 0.89483523, 0.14703773 
13, 0.00212310, 26.73030029, 0.89321637, 0.14854947 
14, 0.00207587, 26.82800031, 0.89578134, 0.15585920 
15, 0.00206898, 26.84244560, 0.89045274, 0.15451144 
16, 0.00208398, 26.81106936, 0.89374644, 0.15708253 
17, 0.00211232, 26.75240687, 0.89240670, 0.16229835 
18, 0.00210761, 26.76209799, 0.88282615, 0.16736622 
19, 0.00202356, 26.93883915, 0.88468474, 0.17102745 
20, 0.00195300, 27.09296754, 0.88009506, 0.17381987 
21, 0.00198744, 27.01705964, 0.88775331, 0.17370407 
22, 0.00189882, 27.21516511, 0.87951046, 0.17457739 
23, 0.00183938, 27.35328674, 0.88820559, 0.17561743 
24, 0.00195651, 27.08517177, 0.87603295, 0.16764361 
25, 0.00208776, 26.80320295, 0.87242919, 0.16703570 
26, 0.00216932, 26.63677007, 0.87315220, 0.17308927 
27, 0.00229153, 26.39875044, 0.86869109, 0.17841764 
28, 0.00235968, 26.27146907, 0.86824834, 0.17720598 
29, 0.00248817, 26.04120429, 0.87288439, 0.17478831 
30, 0.00265398, 25.76103090, 0.86899883, 0.18009663 
31, 0.00269882, 25.68826104, 0.86412972, 0.17960103 
32, 0.00265605, 25.75763483, 0.86291355, 0.18548098 
33, 0.00260556, 25.84098805, 0.86366057, 0.17747106 
34, 0.00262228, 25.81321163, 0.86179501, 0.18188021 
35, 0.00261371, 25.82742832, 0.86648148, 0.18837534 
36, 0.00258125, 25.88169317, 0.86609441, 0.19354552 
37, 0.00250154, 26.01793094, 0.85769707, 0.20484903 
38, 0.00224370, 26.49035308, 0.86165053, 0.20170096 
39, 0.00214948, 26.67666088, 0.86345929, 0.20101617 
40, 0.00234759, 26.29377029, 0.86096561, 0.20365140 
41, 0.00244290, 26.12094543, 0.86276495, 0.20875715 
42, 0.00228225, 26.41636789, 0.86233711, 0.20663884 
43, 0.00214807, 26.67951871, 0.86266941, 0.20616877 
44, 0.00223235, 26.51237362, 0.86194909, 0.20159227 
45, 0.00230761, 26.36837609, 0.85997468, 0.21556336 
46, 0.00228157, 26.41766093, 0.86090952, 0.21372060 
47, 0.00229475, 26.39265291, 0.86388206, 0.20992687 
48, 0.00231811, 26.34865464, 0.86498696, 0.21177490 
49, 0.00259473, 25.85907768, 0.86052996, 0.22178920 
50, 0.00290077, 25.37487133, 0.85782546, 0.21689178 
51, 0.00332113, 24.78714664, 0.85540986, 0.22407052 
52, 0.00383953, 24.15721824, 0.85111851, 0.22137998 
53, 0.00448000, 23.48722381, 0.84618825, 0.23443216 
54, 0.00504244, 22.97359399, 0.84090805, 0.23543164 
55, 0.00533519, 22.72849817, 0.83539969, 0.23988611 
56, 0.00498610, 23.02238619, 0.83094561, 0.24081908 
57, 0.00483573, 23.15537918, 0.82493907, 0.25199369 
58, 0.00494097, 23.06187467, 0.81996167, 0.25530979 
59, 0.00567015, 22.46405359, 0.81442857, 0.26797244 
60, 0.00688652, 21.61999896, 0.80883646, 0.26195019 
61, 0.00850560, 20.70295257, 0.80506015, 0.26558632 
62, 0.00975885, 20.10601332, 0.79809970, 0.27066037 
63, 0.01110142, 19.54621538, 0.79347044, 0.28115544 
64, 0.01302718, 18.85149524, 0.78825021, 0.28481477 
65, 0.01194905, 19.22666613, 0.78515857, 0.30141810 
66, 0.01095077, 19.60555444, 0.78247875, 0.30196911 
67, 0.00924172, 20.34247294, 0.77827924, 0.31977361 
68, 0.00788227, 21.03348794, 0.77976698, 0.31103665 
69, 0.00688973, 21.61798106, 0.77870280, 0.30905211 
70, 0.00660716, 21.79984933, 0.77901137, 0.30417702 
71, 0.00706189, 21.51078974, 0.77476490, 0.30755651 
72, 0.00781137, 21.07273032, 0.76799351, 0.31036547 
73, 0.00843713, 20.73805037, 0.76616228, 0.31212124 
74, 0.00888266, 20.51457077, 0.76372457, 0.30165753 
75, 0.00906795, 20.42490757, 0.76333213, 0.31314534 
76, 0.01018811, 19.91906486, 0.76114833, 0.29857433 
77, 0.01154066, 19.37769365, 0.76077944, 0.30873001 
78, 0.01233657, 19.08805709, 0.75962579, 0.30897465 
79, 0.01215283, 19.15322639, 0.76292282, 0.30024195 
80, 0.01189156, 19.24761044, 0.76503807, 0.30549163 
81, 0.01200650, 19.20583481, 0.76542318, 0.30288061 
82, 0.01262469, 18.98779235, 0.76729798, 0.30584815 
83, 0.01369724, 18.63366889, 0.76721895, 0.29864103 
84, 0.01436634, 18.42653891, 0.77328032, 0.30485085 
85, 0.01503698, 18.22839306, 0.78275609, 0.30268762 
86, 0.01581154, 18.01025824, 0.78703022, 0.29038700 
87, 0.01593187, 17.97733123, 0.79441100, 0.28292125 
88, 0.01731951, 17.61464452, 0.79483318, 0.27696168 
89, 0.01947164, 17.10597557, 0.80041260, 0.27651316 
90, 0.02023474, 16.93902344, 0.80406314, 0.27994382 
91, 0.02025981, 16.93364659, 0.81052274, 0.26445836 
92, 0.01897473, 17.21824378, 0.82174629, 0.25992069 
93, 0.01583669, 18.00335697, 0.83032274, 0.25695977 
94, 0.01301218, 18.85649841, 0.84119606, 0.25056762 
95, 0.01031209, 19.86653200, 0.85049933, 0.24086393 
96, 0.00803077, 20.95242693, 0.86061913, 0.23152120 
97, 0.00688624, 21.62018133, 0.86813605, 0.21614879 
98, 0.00645574, 21.90054003, 0.87575078, 0.20525223 
99, 0.00605387, 22.17966837, 0.88130212, 0.20344116 
100, 0.00526082, 22.78946939, 0.88645804, 0.19153187 
101, 0.00436233, 23.60281964, 0.89091527, 0.18739037 
102, 0.00345995, 24.60929683, 0.89438641, 0.17870225 
103, 0.00272847, 25.64080462, 0.89904737, 0.17472905 
104, 0.00236441, 26.26276983, 0.90056282, 0.16890742 
105, 0.00225734, 26.46403716, 0.90140891, 0.16201094 
106, 0.00201056, 26.96682079, 0.90387088, 0.15603861 
107, 0.00171679, 27.65283526, 0.90579909, 0.15355599 
108, 0.00149102, 28.26516913, 0.90742183, 0.14950591 
109, 0.00135177, 28.69098613, 0.90953147, 0.14555639 
110, 0.00134335, 28.71811183, 0.90913850, 0.14399543 
111, 0.00133903, 28.73211132, 0.90889245, 0.14393511 
112, 0.00139499, 28.55430205, 0.90752083, 0.14933294 
113, 0.00132689, 28.77165739, 0.91135180, 0.15218708 
114, 0.00137243, 28.62508542, 0.90719897, 0.15433061 
115, 0.00144702, 28.39524878, 0.90686399, 0.14563406 
116, 0.00147579, 28.30975456, 0.90262455, 0.14827707 
117, 0.00147762, 28.30438271, 0.90187669, 0.14956845 
118, 0.00147848, 28.30184802, 0.89872140, 0.15392573 
119, 0.00143866, 28.42041525, 0.89602697, 0.15291953 
120, 0.00145025, 28.38555823, 0.89330226, 0.15852197 
121, 0.00142334, 28.46690014, 0.89222497, 0.15341625 
122, 0.00142754, 28.45411687, 0.89209443, 0.15462437 
123, 0.00147814, 28.30283196, 0.89241320, 0.15547448 
124, 0.00155713, 28.07676097, 0.90141749, 0.14913598 
125, 0.00132654, 28.77279339, 0.89650738, 0.15132797 
126, 0.00190313, 27.20532162, 0.88499784, 0.15741599 
127, 0.00204204, 26.89936499, 0.88232696, 0.15316796 
128, 0.00224878, 26.48052875, 0.88264579, 0.15432017 
129, 0.00244290, 26.12093798, 0.87375563, 0.16488516 
130, 0.00256434, 25.91023779, 0.87399769, 0.16431543 
131, 0.00253520, 25.95987658, 0.88152248, 0.17420542 
132, 0.00238473, 26.22560334, 0.87277842, 0.18542083 
133, 0.00243267, 26.13916056, 0.87506264, 0.19678819 
134, 0.00252449, 25.97826105, 0.86914521, 0.19541521 
135, 0.00238243, 26.22979848, 0.86501127, 0.19305994 
136, 0.00224069, 26.49618868, 0.86163986, 0.20996960 
137, 0.00216527, 26.64488261, 0.86167520, 0.21426570 
138, 0.00219682, 26.58206127, 0.86420077, 0.20770973 
139, 0.00229961, 26.38346020, 0.86420929, 0.20583755 
140, 0.00238317, 26.22844392, 0.86529481, 0.20546852 
141, 0.00246707, 26.07818158, 0.86520725, 0.20982957 
142, 0.00242592, 26.15122944, 0.86703598, 0.21142547 
143, 0.00232418, 26.33730027, 0.87001199, 0.21341275 
144, 0.00243806, 26.12955153, 0.86956859, 0.21231195 
145, 0.00243801, 26.12963863, 0.86850417, 0.21120673 
146, 0.00239300, 26.21057417, 0.86720008, 0.21057238 
147, 0.00246865, 26.07540848, 0.86479747, 0.21771120 
148, 0.00255258, 25.93020940, 0.86472678, 0.21190225 
149, 0.00268161, 25.71604204, 0.86319065, 0.21797113 
150, 0.00298491, 25.25068821, 0.85889697, 0.22030173 
151, 0.00332054, 24.78791488, 0.85537946, 0.22420120 
152, 0.00376137, 24.24653947, 0.85047626, 0.22583024 
153, 0.00420247, 23.76495022, 0.84721380, 0.22521365 
154, 0.00466370, 23.31269849, 0.84257537, 0.22933215 
155, 0.00498082, 23.02699539, 0.83760041, 0.23745173 
156, 0.00440883, 23.55676983, 0.83638412, 0.23638204 
157, 0.00412516, 23.84559332, 0.83207548, 0.23433000 
158, 0.00399564, 23.98413322, 0.82643533, 0.24516068 
159, 0.00388952, 24.10103840, 0.82465172, 0.24683855 
160, 0.00373487, 24.27724957, 0.82092339, 0.25689510 
161, 0.00346641, 24.60119446, 0.82086211, 0.25331390 
162, 0.00355308, 24.49395367, 0.81658357, 0.25949746 
163, 0.00361129, 24.42337927, 0.81492949, 0.25938699 
164, 0.00361257, 24.42183421, 0.81351006, 0.26592007 
165, 0.00385680, 24.13773114, 0.81151456, 0.26710460 
166, 0.00418718, 23.78078059, 0.80873847, 0.26718655 
167, 0.00434398, 23.62111765, 0.80670089, 0.26949584 
168, 0.00426674, 23.69903649, 0.80562061, 0.26075691 
169, 0.00445600, 23.51055232, 0.80598032, 0.27011937 
170, 0.00476248, 23.22166662, 0.80678016, 0.27119601 
171, 0.00490112, 23.09705038, 0.80842853, 0.26765430 
172, 0.00501257, 22.99939796, 0.80809873, 0.26706997 
173, 0.00495184, 23.05233822, 0.81291372, 0.25777555 
174, 0.00510036, 22.92399435, 0.81345505, 0.25332332 
175, 0.00513739, 22.89257465, 0.81491095, 0.24481110 
176, 0.00524845, 22.79969034, 0.81674695, 0.23940209 
177, 0.00532648, 22.73559802, 0.81965685, 0.23985855 
178, 0.00525774, 22.79200881, 0.81903428, 0.23708701 
179, 0.00505377, 22.96384664, 0.82277298, 0.23392382 
180, 0.00500505, 23.00591945, 0.82445294, 0.22534396 
181, 0.00504720, 22.96949384, 0.82435697, 0.23654583 
182, 0.00505488, 22.96289436, 0.82521892, 0.23613089 
183, 0.00512826, 22.90030181, 0.82693869, 0.23382378 
184, 0.00513908, 22.89114475, 0.82749945, 0.24368922 
185, 0.00521728, 22.82556262, 0.82689309, 0.23178618 
186, 0.00528078, 22.77302067, 0.82969254, 0.23574817 
187, 0.00531745, 22.74296658, 0.83044022, 0.23097262 
188, 0.00534074, 22.72398216, 0.83025223, 0.23699050 
189, 0.00533907, 22.72534481, 0.83393228, 0.22432187 
190, 0.00514060, 22.88986323, 0.83758712, 0.21899636 
191, 0.00489939, 23.09857944, 0.84476185, 0.22139040 
192, 0.00482828, 23.16207316, 0.84844035, 0.21100642 
193, 0.00482313, 23.16671360, 0.85397512, 0.20695713 
194, 0.00474938, 23.23363502, 0.85706961, 0.19534253 
195, 0.00436768, 23.59749530, 0.85986865, 0.19129150 
196, 0.00395642, 24.02697880, 0.86458653, 0.18127917 
197, 0.00354210, 24.50739486, 0.86901516, 0.17683266 
198, 0.00325145, 24.87923462, 0.87242782, 0.16726223 
199, 0.00285964, 25.43689389, 0.88001835, 0.16397648 
AVERAGES: 0.0048, 24.333, 0.849, 0.215
