ID, MSE, PSNR, SSIM, LPIPS
0, 0.00197552, 27.04319429, 0.90307999, 0.15569472 
1, 0.00194523, 27.11028560, 0.90400124, 0.15661307 
2, 0.00200539, 26.97800220, 0.90234399, 0.15442829 
3, 0.00196180, 27.07345416, 0.90528768, 0.14841144 
4, 0.00191615, 27.17569657, 0.90839446, 0.14368974 
5, 0.00185913, 27.30689537, 0.90942222, 0.14579019 
6, 0.00177643, 27.50452940, 0.91273016, 0.13561371 
7, 0.00170638, 27.67925154, 0.91636747, 0.12441732 
8, 0.00174787, 27.57489801, 0.91627830, 0.12720819 
9, 0.00167289, 27.76531638, 0.92001611, 0.11583576 
10, 0.00172208, 27.63947075, 0.92045605, 0.11838798 
11, 0.00171167, 27.66580710, 0.92038095, 0.11838344 
12, 0.00165938, 27.80053011, 0.92264068, 0.11344105 
13, 0.00171076, 27.66811873, 0.92292929, 0.11383884 
14, 0.00178472, 27.48430053, 0.92206758, 0.11554905 
15, 0.00177974, 27.49642734, 0.92527646, 0.11369482 
16, 0.00187594, 27.26781646, 0.92457610, 0.11709383 
17, 0.00184679, 27.33582823, 0.92426449, 0.11712563 
18, 0.00176636, 27.52921061, 0.92485046, 0.12353933 
19, 0.00170832, 27.67431724, 0.92342502, 0.12937370 
20, 0.00160020, 27.95826218, 0.92256087, 0.12735413 
21, 0.00156085, 28.06638747, 0.92163271, 0.13755302 
22, 0.00147578, 28.30978231, 0.92145646, 0.13474011 
23, 0.00141058, 28.50601201, 0.92049545, 0.13878351 
24, 0.00150515, 28.22421495, 0.91837329, 0.13016260 
25, 0.00157917, 28.01571468, 0.91497415, 0.13782810 
26, 0.00170144, 27.69183668, 0.91234851, 0.14270368 
27, 0.00182386, 27.39008338, 0.91071165, 0.13931784 
28, 0.00183031, 27.37474248, 0.90955871, 0.13207653 
29, 0.00195956, 27.07840615, 0.90792096, 0.13487995 
30, 0.00216813, 26.63915495, 0.90485853, 0.14206934 
31, 0.00237262, 26.24771400, 0.90068513, 0.15495595 
32, 0.00241955, 26.16265571, 0.89943576, 0.15388876 
33, 0.00238916, 26.21754471, 0.89911026, 0.14726965 
34, 0.00237998, 26.23427214, 0.89671516, 0.15597530 
35, 0.00225846, 26.46187948, 0.89546728, 0.16270590 
36, 0.00220979, 26.55649489, 0.89472747, 0.17783797 
37, 0.00219026, 26.59504101, 0.89615309, 0.18668808 
38, 0.00213728, 26.70138375, 0.89437050, 0.18577382 
39, 0.00198097, 27.03121661, 0.89823937, 0.18331145 
40, 0.00206996, 26.84037339, 0.89386195, 0.18625298 
41, 0.00213543, 26.70515466, 0.89250934, 0.19130027 
42, 0.00206793, 26.84464153, 0.89188927, 0.18893391 
