ID, MSE, PSNR, SSIM, LPIPS
0, 0.00019281, 37.14868849, 0.98799819, 0.03068810 
1, 0.00018756, 37.26851556, 0.98727244, 0.02876007 
2, 0.00020445, 36.89409362, 0.98721820, 0.02739615 
3, 0.00021263, 36.72372766, 0.98700243, 0.03042069 
4, 0.00020619, 36.85731908, 0.98697376, 0.03038909 
5, 0.00019921, 37.00684485, 0.98815930, 0.03170769 
6, 0.00018890, 37.23768281, 0.98841870, 0.03139404 
7, 0.00019072, 37.19609813, 0.98836857, 0.02673979 
8, 0.00019642, 37.06818721, 0.98768705, 0.02966122 
9, 0.00020627, 36.85574302, 0.98821020, 0.03058143 
10, 0.00020938, 36.79060007, 0.98777300, 0.03016844 
11, 0.00020683, 36.84394118, 0.98799527, 0.03102048 
12, 0.00021513, 36.67307719, 0.98786467, 0.03172629 
13, 0.00021649, 36.64557913, 0.98797840, 0.03365695 
14, 0.00021760, 36.62332807, 0.98788857, 0.03067478 
15, 0.00020661, 36.84852274, 0.98781043, 0.02927189 
16, 0.00020381, 36.90776079, 0.98883623, 0.02934445 
17, 0.00019433, 37.11461512, 0.98888743, 0.02819592 
18, 0.00018284, 37.37927133, 0.98864621, 0.02577369 
19, 0.00017771, 37.50276263, 0.98917580, 0.02617361 
20, 0.00018268, 37.38299968, 0.98906946, 0.03269100 
21, 0.00017322, 37.61404839, 0.98962796, 0.03158314 
22, 0.00017618, 37.54036773, 0.98945504, 0.02992414 
23, 0.00018354, 37.36258108, 0.98922479, 0.02965635 
24, 0.00017568, 37.55286551, 0.98953247, 0.02937148 
25, 0.00017601, 37.54463594, 0.98962140, 0.03060210 
26, 0.00018750, 37.26995657, 0.98948693, 0.02846373 
27, 0.00018680, 37.28624828, 0.98939788, 0.02884792 
28, 0.00019077, 37.19482353, 0.98927790, 0.02868871 
29, 0.00018329, 37.36861673, 0.98915517, 0.02713051 
30, 0.00017862, 37.48072071, 0.98881435, 0.02858283 
31, 0.00016680, 37.77799851, 0.98899519, 0.02720251 
32, 0.00017003, 37.69465139, 0.98880810, 0.02643889 
33, 0.00016461, 37.83533383, 0.98847055, 0.02872281 
34, 0.00017072, 37.67707938, 0.98848039, 0.02899467 
35, 0.00017030, 37.68797669, 0.98804694, 0.02836052 
36, 0.00016490, 37.82789835, 0.98810863, 0.02822216 
37, 0.00017080, 37.67502611, 0.98776585, 0.02841975 
38, 0.00018042, 37.43710522, 0.98691928, 0.03229770 
39, 0.00017745, 37.50914671, 0.98668110, 0.02975917 
40, 0.00017704, 37.51920966, 0.98677927, 0.03040955 
41, 0.00018414, 37.34849886, 0.98620868, 0.02831217 
42, 0.00020183, 36.95007203, 0.98466581, 0.02934580 
43, 0.00022098, 36.55641768, 0.98488718, 0.02942946 
44, 0.00022514, 36.47538299, 0.98439270, 0.03005452 
45, 0.00023856, 36.22406384, 0.98344731, 0.03411939 
46, 0.00023595, 36.27183006, 0.98187530, 0.03172118 
47, 0.00025743, 35.89349114, 0.98250580, 0.03111413 
48, 0.00026957, 35.69327207, 0.98203206, 0.03112666 
49, 0.00029899, 35.24342245, 0.98081553, 0.03626233 
50, 0.00030931, 35.09609785, 0.98055613, 0.03696798 
51, 0.00034146, 34.66656065, 0.97958523, 0.03785886 
52, 0.00035260, 34.52723741, 0.97940570, 0.03728718 
53, 0.00033865, 34.70244232, 0.97970402, 0.03531981 
54, 0.00036002, 34.43674742, 0.97922122, 0.03826689 
55, 0.00034532, 34.61773541, 0.97749358, 0.03775103 
56, 0.00032086, 34.93690749, 0.97840172, 0.03422174 
57, 0.00030662, 35.13400633, 0.98089653, 0.03756282 
58, 0.00029765, 35.26292123, 0.98070270, 0.03702790 
59, 0.00028331, 35.47730667, 0.98125786, 0.03788244 
60, 0.00026734, 35.72941137, 0.97899199, 0.03479737 
61, 0.00027348, 35.63076197, 0.97735018, 0.03669731 
