ID, MSE, PSNR, SSIM, LPIPS
0, 0.00019567, 37.08478662, 0.98559690, 0.03759972 
1, 0.00016966, 37.70431318, 0.98719829, 0.03390531 
2, 0.00018601, 37.30455719, 0.98623103, 0.03435790 
3, 0.00018533, 37.32043759, 0.98653966, 0.03811114 
4, 0.00017481, 37.57444852, 0.98729992, 0.03118699 
5, 0.00019121, 37.18492014, 0.98563159, 0.03611092 
6, 0.00018464, 37.33677911, 0.98661792, 0.03371423 
7, 0.00019715, 37.05194078, 0.98580587, 0.03541193 
8, 0.00020713, 36.83748947, 0.98611414, 0.03487900 
9, 0.00021549, 36.66579684, 0.98562473, 0.04078610 
10, 0.00021243, 36.72781427, 0.98597050, 0.03601667 
11, 0.00021428, 36.69010797, 0.98626590, 0.03797372 
12, 0.00020096, 36.96882140, 0.98680186, 0.03472144 
13, 0.00020961, 36.78590490, 0.98591512, 0.03765741 
14, 0.00019687, 37.05821691, 0.98694664, 0.03554833 
15, 0.00018470, 37.33530311, 0.98754913, 0.03484430 
16, 0.00018241, 37.38947121, 0.98734486, 0.03515511 
17, 0.00017907, 37.46976168, 0.98744047, 0.03405447 
18, 0.00017805, 37.49453970, 0.98770654, 0.03292835 
19, 0.00017274, 37.62609075, 0.98763406, 0.03154055 
20, 0.00016167, 37.91363948, 0.98827589, 0.03411518 
21, 0.00017025, 37.68919707, 0.98777491, 0.03690601 
22, 0.00017286, 37.62307493, 0.98761207, 0.03371589 
23, 0.00016039, 37.94826490, 0.98837924, 0.03315476 
24, 0.00015109, 38.20758161, 0.98891175, 0.03376447 
25, 0.00014245, 38.46348880, 0.98930579, 0.02957854 
26, 0.00014166, 38.48737553, 0.98915571, 0.02784939 
27, 0.00016109, 37.92918767, 0.98839724, 0.03453319 
28, 0.00016384, 37.85570073, 0.98822707, 0.03358465 
29, 0.00015700, 38.04094384, 0.98817503, 0.02890230 
30, 0.00014111, 38.50456556, 0.98884463, 0.02826513 
31, 0.00015650, 38.05476334, 0.98849529, 0.03233528 
