ID, MSE, PSNR, SSIM, LPIPS
0, 0.01952547, 17.09398457, 0.68145484, 0.40005541 
1, 0.02025232, 16.93525160, 0.68011904, 0.39237434 
2, 0.02230752, 16.51548804, 0.67305022, 0.40726513 
3, 0.02414840, 16.17111690, 0.67061335, 0.41176704 
4, 0.02430204, 16.14357181, 0.66540986, 0.42387536 
5, 0.02427088, 16.14914493, 0.66366392, 0.42120343 
6, 0.02366738, 16.25849744, 0.65995169, 0.42578563 
7, 0.02187404, 16.60071065, 0.65575308, 0.43420869 
8, 0.02035748, 16.91275898, 0.65425032, 0.43218192 
9, 0.01949063, 17.10174218, 0.65123111, 0.43380588 
10, 0.01904829, 17.20144041, 0.64733130, 0.43778926 
11, 0.01849917, 17.32847856, 0.64723086, 0.44784015 
12, 0.01842704, 17.34544455, 0.64448094, 0.45099878 
13, 0.01865397, 17.29228764, 0.64192230, 0.44235295 
14, 0.01874653, 17.27079137, 0.64218187, 0.47388560 
15, 0.01883101, 17.25126322, 0.64286405, 0.45400244 
16, 0.01843272, 17.34410670, 0.64408916, 0.45718947 
17, 0.01825506, 17.38616767, 0.64485675, 0.46040332 
18, 0.01762951, 17.53759855, 0.64469647, 0.46801621 
19, 0.01694499, 17.70958742, 0.64489764, 0.45573744 
20, 0.01581867, 18.00830125, 0.64544952, 0.46872807 
21, 0.01444901, 18.40162030, 0.64480549, 0.46849659 
22, 0.01289272, 18.89655565, 0.64502770, 0.48569047 
23, 0.01177762, 19.28942297, 0.64285463, 0.49687016 
24, 0.01150826, 19.38990232, 0.64040476, 0.50408286 
25, 0.01132069, 19.46127149, 0.63718724, 0.48639032 
26, 0.01143857, 19.41628196, 0.63230073, 0.51446182 
27, 0.01175764, 19.29679766, 0.62993371, 0.51586306 
28, 0.01240625, 19.06359455, 0.62679625, 0.50659406 
29, 0.01378574, 18.60569876, 0.62142485, 0.50271821 
30, 0.01433885, 18.43485649, 0.61789012, 0.50043976 
31, 0.01519241, 18.18373408, 0.61602998, 0.50692713 
32, 0.01596607, 17.96801898, 0.61548018, 0.51063812 
33, 0.01669528, 17.77406399, 0.61175597, 0.52019978 
34, 0.01795282, 17.45867407, 0.61103475, 0.52232027 
35, 0.01979634, 17.03415059, 0.61141986, 0.52448696 
36, 0.02004948, 16.97896992, 0.61094320, 0.52008575 
37, 0.01911964, 17.18520271, 0.61399984, 0.51749557 
38, 0.01825432, 17.38634226, 0.61697489, 0.50503683 
39, 0.01761947, 17.54007110, 0.62153059, 0.47444218 
40, 0.01748437, 17.57350135, 0.62463993, 0.46033660 
41, 0.01777145, 17.50277071, 0.62656599, 0.45788097 
42, 0.01817282, 17.40577606, 0.62793928, 0.44496176 
43, 0.01822263, 17.39388898, 0.63506180, 0.43865621 
44, 0.02013425, 16.96064509, 0.64025748, 0.40921146 
45, 0.02252294, 16.47374932, 0.64033246, 0.40754136 
46, 0.02530013, 15.96877275, 0.64748883, 0.41522300 
47, 0.02931169, 15.32959162, 0.65168273, 0.42079157 
48, 0.02831412, 15.47996944, 0.65747428, 0.41666654 
49, 0.02694688, 15.69491513, 0.66373426, 0.41457829 
50, 0.02725476, 15.64557693, 0.66598117, 0.41691977 
51, 0.02728054, 15.64147079, 0.66405833, 0.42869776 
52, 0.02831360, 15.48004972, 0.66130978, 0.41879839 
53, 0.02631683, 15.79766503, 0.66477168, 0.39892960 
54, 0.02338701, 16.31025347, 0.66138202, 0.40346885 
55, 0.02005307, 16.97819170, 0.65685159, 0.41163471 
56, 0.01894955, 17.22401192, 0.65126497, 0.41965768 
57, 0.01836954, 17.35901749, 0.64508164, 0.41677189 
58, 0.01851711, 17.32426694, 0.63792205, 0.43119121 
59, 0.01816510, 17.40762109, 0.62985635, 0.43592653 
60, 0.01868182, 17.28580805, 0.61993754, 0.46164334 
61, 0.01957279, 17.08347372, 0.61074764, 0.47710752 
62, 0.02118700, 16.73930534, 0.60119379, 0.49489012 
63, 0.02294632, 16.39286980, 0.59329522, 0.50556797 
64, 0.02474469, 16.06518025, 0.58981812, 0.53188014 
65, 0.02158525, 16.65842911, 0.58864641, 0.52587992 
66, 0.02085539, 16.80781733, 0.58318245, 0.55575758 
67, 0.02166772, 16.64186845, 0.57837212, 0.54143077 
68, 0.01990006, 17.01145548, 0.57844567, 0.54472351 
69, 0.01849482, 17.32949886, 0.58258766, 0.54332846 
70, 0.01832347, 17.36992281, 0.58139342, 0.56248951 
71, 0.01987084, 17.01783692, 0.57744986, 0.57476479 
