ID, MSE, PSNR, SSIM, LPIPS
0, 0.00746732, 21.26835253, 0.84254026, 0.20411809 
1, 0.00792798, 21.00837286, 0.84001726, 0.19680163 
2, 0.00874651, 20.58165092, 0.83494443, 0.18906681 
3, 0.00858598, 20.66209884, 0.83135730, 0.19980536 
4, 0.00870077, 20.60442202, 0.83084238, 0.19758646 
5, 0.00853492, 20.68800525, 0.83118391, 0.19715482 
6, 0.00871601, 20.59682395, 0.83074367, 0.19853702 
7, 0.00891594, 20.49832621, 0.82498097, 0.20533843 
8, 0.00876307, 20.57343939, 0.82404542, 0.21213129 
9, 0.00846929, 20.72152943, 0.82124728, 0.21507600 
10, 0.00797960, 20.98018739, 0.82041448, 0.21544163 
11, 0.00767630, 21.14848054, 0.82192570, 0.21447936 
12, 0.00763006, 21.17471811, 0.82150650, 0.21035445 
13, 0.00763975, 21.16920964, 0.82124895, 0.20865780 
14, 0.00748461, 21.25830840, 0.82155401, 0.21986644 
15, 0.00715851, 21.45177623, 0.82443035, 0.21726121 
16, 0.00661573, 21.79422227, 0.82898605, 0.21554281 
17, 0.00618540, 22.08631862, 0.83293986, 0.20761164 
18, 0.00558362, 22.53084495, 0.83938998, 0.20465723 
19, 0.00519121, 22.84731464, 0.84465712, 0.20670046 
20, 0.00464758, 23.32773215, 0.85022396, 0.19811901 
21, 0.00427039, 23.69531973, 0.85443747, 0.20451510 
22, 0.00373679, 24.27500952, 0.86008787, 0.20815577 
23, 0.00354259, 24.50678571, 0.85924852, 0.22085151 
24, 0.00348030, 24.58383454, 0.85935366, 0.22628279 
25, 0.00358223, 24.45846101, 0.85649318, 0.22822405 
26, 0.00375994, 24.24819363, 0.85106182, 0.23530994 
27, 0.00413508, 23.83516509, 0.84547794, 0.22968374 
28, 0.00460855, 23.36435335, 0.83788270, 0.24786633 
29, 0.00537376, 22.69721912, 0.83224225, 0.23834485 
30, 0.00576635, 22.39098942, 0.82557118, 0.24154405 
31, 0.00607660, 22.16339688, 0.81776744, 0.24350818 
32, 0.00644937, 21.90482977, 0.81102675, 0.25786042 
33, 0.00673256, 21.71819482, 0.80977798, 0.26476431 
34, 0.00704269, 21.52261589, 0.80565393, 0.26000732 
35, 0.00720540, 21.42341755, 0.80577105, 0.26467013 
36, 0.00700439, 21.54629623, 0.80574358, 0.25752899 
37, 0.00672041, 21.72604489, 0.80736619, 0.25931987 
38, 0.00663968, 21.77852553, 0.80689955, 0.24344656 
39, 0.00656969, 21.82455026, 0.80668849, 0.23628648 
40, 0.00660126, 21.80373373, 0.80145282, 0.23743105 
41, 0.00658847, 21.81215722, 0.80032164, 0.23970160 
42, 0.00666318, 21.76318275, 0.80042136, 0.23883617 
43, 0.00673789, 21.71476341, 0.79824936, 0.22863656 
44, 0.00772454, 21.12127435, 0.79469419, 0.21413784 
45, 0.00859479, 20.65764847, 0.79477936, 0.21331179 
46, 0.00891847, 20.49709474, 0.79922098, 0.21882431 
47, 0.01053988, 19.77164448, 0.80045009, 0.22533126 
48, 0.01117710, 19.51671035, 0.79717273, 0.21960394 
49, 0.00916099, 20.38057684, 0.81078041, 0.21425402 
50, 0.00949093, 20.22691208, 0.81017190, 0.21962149 
51, 0.00929867, 20.31579247, 0.81300491, 0.21761933 
52, 0.01016473, 19.92903943, 0.81613016, 0.21702564 
53, 0.00878674, 20.56172373, 0.81976140, 0.20410863 
54, 0.00771660, 21.12573889, 0.81828034, 0.20169969 
55, 0.00718241, 21.43730005, 0.81823874, 0.19308256 
56, 0.00697971, 21.56162653, 0.81503576, 0.20754781 
57, 0.00678982, 21.68141483, 0.81466192, 0.20505728 
58, 0.00644431, 21.90823399, 0.81916845, 0.20551404 
59, 0.00632033, 21.99260320, 0.81628394, 0.21440482 
60, 0.00613421, 22.12241218, 0.81661546, 0.23103465 
61, 0.00650195, 21.86956104, 0.80993444, 0.23187122 
62, 0.00718891, 21.43336944, 0.80400068, 0.24621446 
63, 0.00771320, 21.12765535, 0.79986829, 0.25962019 
64, 0.00857950, 20.66537926, 0.80104524, 0.26200223 
65, 0.00695913, 21.57444989, 0.81620181, 0.25051567 
66, 0.00639342, 21.94266698, 0.82489908, 0.24407877 
67, 0.00613967, 22.11854771, 0.82734036, 0.24085142 
68, 0.00519182, 22.84680550, 0.83789259, 0.24037515 
69, 0.00469051, 23.28779568, 0.84151840, 0.23396540 
70, 0.00462347, 23.35031966, 0.84997159, 0.24326071 
71, 0.00499047, 23.01858945, 0.85107577, 0.25566912 
72, 0.00538713, 22.68642566, 0.84367222, 0.26451266 
73, 0.00716224, 21.44951138, 0.82962573, 0.28241414 
74, 0.00804133, 20.94672182, 0.82980210, 0.28902537 
75, 0.00763799, 21.17020666, 0.84351569, 0.28025013 
76, 0.00780428, 21.07667123, 0.84888411, 0.27708846 
77, 0.00944327, 20.24877591, 0.83845884, 0.27604342 
78, 0.01076939, 19.67809025, 0.83758104, 0.27531490 
79, 0.01022765, 19.90224165, 0.84315777, 0.25145918 
80, 0.00949681, 20.22422382, 0.84721214, 0.24563392 
81, 0.00900781, 20.45380708, 0.84172243, 0.25400311 
82, 0.00900389, 20.45569607, 0.83440655, 0.25193593 
83, 0.00874970, 20.58006691, 0.83454144, 0.26149049 
84, 0.00838929, 20.76274771, 0.83324105, 0.26816303 
85, 0.00806526, 20.93381827, 0.82619798, 0.27541992 
86, 0.00833353, 20.79170885, 0.82500935, 0.26559943 
87, 0.00890253, 20.50486772, 0.82980418, 0.25729886 
88, 0.00933854, 20.29721189, 0.82113618, 0.26027450 
89, 0.01190698, 19.24198288, 0.80972749, 0.26814064 
90, 0.01350558, 18.69486823, 0.81355703, 0.26043290 
91, 0.01308451, 18.83242587, 0.81349456, 0.26079664 
92, 0.01162573, 19.34579682, 0.80861056, 0.27534047 
93, 0.00959228, 20.18078078, 0.80952048, 0.27926645 
94, 0.00739781, 21.30896827, 0.82692188, 0.26724184 
95, 0.00666899, 21.75940176, 0.84220624, 0.23050876 
96, 0.00641412, 21.92863197, 0.85144699, 0.22708364 
97, 0.00611609, 22.13526075, 0.86283714, 0.21657345 
98, 0.00449634, 23.47141199, 0.87587690, 0.21190685 
99, 0.00462557, 23.34835133, 0.87663919, 0.21185593 
100, 0.00448040, 23.48683200, 0.87616348, 0.20838861 
101, 0.00461002, 23.36296821, 0.87130427, 0.21261415 
102, 0.00508371, 22.93819275, 0.85745335, 0.21140921 
103, 0.00625440, 22.03814661, 0.83882529, 0.20797455 
104, 0.00643262, 21.91612112, 0.82375973, 0.21982566 
105, 0.00742987, 21.29018685, 0.82147765, 0.22635779 
106, 0.00778020, 21.09009402, 0.82704580, 0.22891380 
107, 0.00665225, 21.77031410, 0.82863444, 0.24112472 
108, 0.00646524, 21.89415292, 0.82396454, 0.23607878 
109, 0.00684433, 21.64668963, 0.81624264, 0.25442955 
110, 0.00823813, 20.84171100, 0.81205809, 0.26300555 
111, 0.00852158, 20.69479773, 0.82252532, 0.25493971 
112, 0.00824429, 20.83846690, 0.83081669, 0.25162748 
113, 0.00794032, 21.00162182, 0.83340967, 0.25699818 
114, 0.00749998, 21.24940095, 0.83558434, 0.26387128 
115, 0.00673803, 21.71467127, 0.83823019, 0.27352703 
116, 0.00598694, 22.22795424, 0.83742857, 0.28829497 
117, 0.00547688, 22.61467116, 0.83796614, 0.29398021 
118, 0.00533463, 22.72895761, 0.84662706, 0.28559941 
119, 0.00506307, 22.95585830, 0.85997665, 0.27481604 
120, 0.00470663, 23.27289983, 0.86458355, 0.26192033 
121, 0.00395218, 24.03163382, 0.87409437, 0.25330049 
122, 0.00314489, 25.02394209, 0.88063627, 0.25222400 
123, 0.00278537, 25.55117145, 0.89039850, 0.24139397 
124, 0.00275594, 25.59729918, 0.88954681, 0.24489945 
125, 0.00284953, 25.45226985, 0.89039290, 0.24603221 
126, 0.00325327, 24.87680304, 0.88225174, 0.24393758 
127, 0.00357635, 24.46559456, 0.87958395, 0.24293534 
128, 0.00385866, 24.13562950, 0.87578875, 0.25404632 
129, 0.00467700, 23.30032242, 0.86190265, 0.27352932 
130, 0.00555916, 22.54990542, 0.85493737, 0.27195901 
131, 0.00619243, 22.08139063, 0.84855509, 0.27168354 
132, 0.00708917, 21.49404827, 0.83760017, 0.26462126 
133, 0.00797604, 20.98212816, 0.82729298, 0.26486963 
134, 0.00845322, 20.72977917, 0.82048661, 0.25922966 
135, 0.00873116, 20.58928130, 0.81915504, 0.26388234 
136, 0.00856323, 20.67362401, 0.80073434, 0.27072358 
137, 0.00826526, 20.82743302, 0.79524451, 0.26303095 
138, 0.00808719, 20.92202110, 0.79737443, 0.25714684 
139, 0.00779970, 21.07922262, 0.79717052, 0.25305870 
140, 0.00802307, 20.95659510, 0.79453486, 0.24360447 
141, 0.00783687, 21.05857207, 0.79757112, 0.24001935 
142, 0.00818986, 20.86723730, 0.80159754, 0.23999141 
143, 0.00876250, 20.57372003, 0.80172187, 0.23119779 
144, 0.01024216, 19.89608506, 0.79413205, 0.22521155 
145, 0.01126506, 19.48266350, 0.79029876, 0.21352224 
146, 0.01003002, 19.98698159, 0.79153287, 0.22377843 
147, 0.00960568, 20.17471690, 0.80275774, 0.21910414 
148, 0.00926754, 20.33035457, 0.82032716, 0.21656343 
149, 0.00844137, 20.73587017, 0.82678735, 0.21213338 
150, 0.00927444, 20.32712527, 0.81331199, 0.21458875 
151, 0.00929978, 20.31527314, 0.81295437, 0.21745983 
152, 0.01035978, 19.84649431, 0.81176072, 0.21865597 
153, 0.00909242, 20.41320629, 0.81383979, 0.21194142 
154, 0.00843001, 20.74171877, 0.81124961, 0.20668010 
155, 0.00823637, 20.84264346, 0.80801862, 0.20449376 
156, 0.00802057, 20.95794891, 0.80398673, 0.20419757 
157, 0.00746462, 21.26992225, 0.80746031, 0.20546362 
158, 0.00671734, 21.72802663, 0.81236643, 0.20720309 
159, 0.00620381, 22.07341822, 0.81888682, 0.19990079 
160, 0.00598463, 22.22963001, 0.82007056, 0.20324825 
161, 0.00586144, 22.31995661, 0.81982362, 0.20235799 
162, 0.00594665, 22.25727780, 0.81825256, 0.20381722 
163, 0.00596572, 22.24337173, 0.81725478, 0.20584184 
164, 0.00601806, 22.20543535, 0.81703985, 0.20990933 
165, 0.00618744, 22.08489039, 0.81229651, 0.22494376 
166, 0.00602711, 22.19891156, 0.81149220, 0.23406939 
167, 0.00544902, 22.63681500, 0.81590253, 0.23574290 
