ID, MSE, PSNR, SSIM, LPIPS
0, 0.00067766, 31.68990728, 0.97591895, 0.02819261 
1, 0.00068758, 31.62677480, 0.97555095, 0.02953168 
2, 0.00074630, 31.27083793, 0.97291094, 0.03031809 
3, 0.00077432, 31.11077803, 0.97143906, 0.03166828 
4, 0.00081579, 30.88421514, 0.96860486, 0.03513753 
5, 0.00080709, 30.93076048, 0.96751302, 0.03209763 
6, 0.00086294, 30.64018266, 0.96510547, 0.03303328 
7, 0.00091067, 30.40641148, 0.96323764, 0.03440896 
8, 0.00096269, 30.16514807, 0.96146917, 0.03526301 
9, 0.00099088, 30.03979774, 0.96002460, 0.03712920 
10, 0.00106839, 29.71271379, 0.95744652, 0.03584261 
11, 0.00108674, 29.63875628, 0.95623583, 0.03365840 
12, 0.00116487, 29.33724367, 0.95418698, 0.03622901 
13, 0.00118489, 29.26321693, 0.95302433, 0.03793158 
14, 0.00123177, 29.09470613, 0.95122337, 0.03960773 
15, 0.00130287, 28.85100161, 0.94942433, 0.03992309 
16, 0.00132691, 28.77159261, 0.94805652, 0.03950911 
17, 0.00134109, 28.72541789, 0.94699830, 0.03880671 
18, 0.00141078, 28.50540237, 0.94554800, 0.04092612 
19, 0.00148103, 28.29436855, 0.94504416, 0.04148146 
20, 0.00140212, 28.53216334, 0.94913763, 0.04108879 
21, 0.00146663, 28.33680910, 0.94812471, 0.03696371 
22, 0.00155245, 28.08981205, 0.94646722, 0.03988474 
23, 0.00163491, 27.86505963, 0.94475061, 0.03534492 
24, 0.00169710, 27.70293579, 0.94309485, 0.03810861 
25, 0.00178171, 27.49163021, 0.94132203, 0.03971788 
26, 0.00186972, 27.28224495, 0.93804669, 0.04086195 
27, 0.00193307, 27.13751579, 0.93620580, 0.04195172 
28, 0.00200994, 26.96816332, 0.93385291, 0.04535989 
29, 0.00205515, 26.87156969, 0.93215483, 0.04664085 
30, 0.00206036, 26.86057127, 0.93000603, 0.04931358 
31, 0.00213908, 26.69772767, 0.92743260, 0.05278354 
32, 0.00213828, 26.69936309, 0.92605728, 0.05371778 
33, 0.00214622, 26.68326126, 0.92377496, 0.05577099 
34, 0.00219429, 26.58705137, 0.92192554, 0.05316640 
35, 0.00224944, 26.47925013, 0.92019194, 0.05662024 
36, 0.00230006, 26.38261559, 0.91812384, 0.05908610 
37, 0.00231639, 26.35188070, 0.91743648, 0.06023575 
38, 0.00240936, 26.18097440, 0.91444695, 0.06888863 
39, 0.00240360, 26.19137569, 0.91385865, 0.06425560 
40, 0.00247006, 26.07292125, 0.91318107, 0.06855034 
41, 0.00243371, 26.13730503, 0.91245723, 0.07028185 
42, 0.00241529, 26.17030154, 0.91236687, 0.07338460 
43, 0.00241250, 26.17532242, 0.91159332, 0.06877075 
