ID, MSE, PSNR, SSIM, LPIPS
0, 0.00083130, 30.80244082, 0.96309614, 0.05672775 
1, 0.00084859, 30.71300726, 0.96208733, 0.06663182 
2, 0.00090368, 30.43986258, 0.96023297, 0.06083922 
3, 0.00095108, 30.21782738, 0.95903069, 0.06417929 
4, 0.00100747, 29.96766191, 0.95517427, 0.06214199 
5, 0.00107291, 29.69437589, 0.95379663, 0.06385599 
6, 0.00111958, 29.50942970, 0.95164895, 0.06583099 
7, 0.00118413, 29.26600285, 0.94991195, 0.06216475 
8, 0.00127937, 28.93005442, 0.94683576, 0.06382253 
9, 0.00136328, 28.65415902, 0.94550967, 0.06374381 
10, 0.00142892, 28.44990965, 0.94242060, 0.06721121 
11, 0.00153063, 28.15130558, 0.94053352, 0.06366494 
12, 0.00166725, 27.78000319, 0.93728566, 0.06783718 
13, 0.00163789, 27.85715299, 0.93664998, 0.06676941 
14, 0.00167379, 27.76297902, 0.93523508, 0.06485381 
15, 0.00171931, 27.64646706, 0.93382877, 0.06969158 
16, 0.00183434, 27.36519216, 0.93296850, 0.06711660 
17, 0.00186070, 27.30323813, 0.93271315, 0.06963602 
18, 0.00195282, 27.09336700, 0.93133986, 0.06340049 
19, 0.00200214, 26.98504943, 0.93014520, 0.06381992 
20, 0.00201420, 26.95897816, 0.92973542, 0.06421179 
21, 0.00204931, 26.88392559, 0.92865032, 0.05807896 
22, 0.00215283, 26.66990237, 0.92538589, 0.06170763 
23, 0.00216344, 26.64856082, 0.92384410, 0.05565977 
24, 0.00229489, 26.39237664, 0.92050272, 0.05750649 
25, 0.00232515, 26.33549817, 0.91860962, 0.05861817 
26, 0.00242731, 26.14874133, 0.91516501, 0.06361275 
27, 0.00251246, 25.99900503, 0.91276717, 0.06566384 
28, 0.00263461, 25.79284155, 0.90892082, 0.06461103 
29, 0.00270003, 25.68631244, 0.90570199, 0.07005384 
30, 0.00276739, 25.57930237, 0.90386081, 0.07602160 
31, 0.00288750, 25.39477379, 0.89968497, 0.07658231 
32, 0.00297619, 25.26339235, 0.89622688, 0.07607023 
33, 0.00296849, 25.27463744, 0.89460748, 0.07836971 
34, 0.00314745, 25.02041411, 0.89017218, 0.08313432 
35, 0.00321163, 24.93274898, 0.88818735, 0.08296748 
36, 0.00324908, 24.88240259, 0.88729483, 0.08404543 
37, 0.00327067, 24.85362799, 0.88547200, 0.08904976 
38, 0.00335548, 24.74245341, 0.88432992, 0.09158387 
39, 0.00344536, 24.62764880, 0.88298351, 0.08740857 
40, 0.00347956, 24.58475304, 0.88083345, 0.09113479 
41, 0.00351768, 24.53743629, 0.88057613, 0.09710580 
42, 0.00347116, 24.59525009, 0.88112760, 0.10039710 
43, 0.00340332, 24.68097752, 0.88183916, 0.09822014 
44, 0.00331722, 24.79225707, 0.88326472, 0.09808698 
45, 0.00329778, 24.81778696, 0.88230610, 0.09875652 
46, 0.00334585, 24.75492999, 0.88180476, 0.10950475 
47, 0.00335806, 24.73911244, 0.88123727, 0.10955144 
48, 0.00332688, 24.77962675, 0.88149214, 0.10650690 
49, 0.00326058, 24.86705402, 0.88240230, 0.10316420 
50, 0.00323578, 24.90021366, 0.88349110, 0.10650535 
51, 0.00318644, 24.96693956, 0.88386846, 0.10341782 
52, 0.00315902, 25.00448187, 0.88593197, 0.10250457 
53, 0.00304807, 25.15974797, 0.88776493, 0.10452244 
54, 0.00292567, 25.33774384, 0.89008933, 0.10214739 
55, 0.00296091, 25.28575122, 0.89041412, 0.09916043 
56, 0.00298855, 25.24539863, 0.89101142, 0.09915696 
57, 0.00301128, 25.21248260, 0.89171034, 0.09644693 
58, 0.00294291, 25.31223714, 0.89236176, 0.09471509 
