ID, MSE, PSNR, SSIM, LPIPS
0, 0.00046120, 33.36107669, 0.97667682, 0.04638035 
1, 0.00044249, 33.54094844, 0.97782820, 0.03801875 
2, 0.00049490, 33.05482049, 0.97526932, 0.04637026 
3, 0.00054081, 32.66952251, 0.97302681, 0.04566605 
4, 0.00057563, 32.39856497, 0.97170424, 0.04410063 
5, 0.00062161, 32.06481743, 0.96854305, 0.04847247 
6, 0.00065307, 31.85042363, 0.96698499, 0.05156022 
7, 0.00068669, 31.63238407, 0.96526247, 0.05187217 
8, 0.00070672, 31.50750906, 0.96449363, 0.04955857 
9, 0.00074037, 31.30552579, 0.96287090, 0.05194324 
10, 0.00078584, 31.04666525, 0.96212101, 0.04729554 
11, 0.00080237, 30.95626314, 0.96188790, 0.04386304 
12, 0.00085307, 30.69015094, 0.96030766, 0.04592780 
13, 0.00088776, 30.51706696, 0.95909190, 0.04262328 
14, 0.00092733, 30.32766047, 0.95772219, 0.04692785 
15, 0.00099392, 30.02648560, 0.95642138, 0.04538910 
16, 0.00103351, 29.85684158, 0.95513862, 0.04473140 
17, 0.00103144, 29.86557066, 0.95468843, 0.04349062 
18, 0.00108346, 29.65189102, 0.95466870, 0.04205474 
19, 0.00107951, 29.66773578, 0.95505953, 0.03830110 
20, 0.00112934, 29.47176217, 0.95421875, 0.03880215 
21, 0.00117597, 29.29602699, 0.95300806, 0.03281758 
22, 0.00123931, 29.06818367, 0.95148057, 0.03784453 
23, 0.00134687, 28.70673127, 0.94919175, 0.03686307 
24, 0.00139961, 28.53992037, 0.94681954, 0.03579082 
25, 0.00144231, 28.40940984, 0.94488549, 0.03906714 
26, 0.00149662, 28.24889871, 0.94280130, 0.03908098 
27, 0.00158955, 27.98725983, 0.93992209, 0.04212848 
28, 0.00165152, 27.82115758, 0.93775916, 0.04166233 
29, 0.00164480, 27.83887622, 0.93709618, 0.04207342 
30, 0.00166531, 27.78504332, 0.93522173, 0.04524714 
31, 0.00169745, 27.70201743, 0.93397850, 0.04386489 
32, 0.00178033, 27.49498390, 0.93159932, 0.04856539 
33, 0.00174762, 27.57553702, 0.93123400, 0.04750394 
34, 0.00180964, 27.42408183, 0.92876250, 0.04999703 
35, 0.00183354, 27.36708775, 0.92778289, 0.04759996 
36, 0.00188203, 27.25372453, 0.92697078, 0.05317863 
37, 0.00190919, 27.19151914, 0.92651588, 0.05519696 
38, 0.00186815, 27.28587290, 0.92593205, 0.05748475 
39, 0.00191903, 27.16917160, 0.92588580, 0.05536208 
40, 0.00189656, 27.22032383, 0.92549771, 0.05466164 
41, 0.00188967, 27.23614853, 0.92595285, 0.05708947 
