ID, MSE, PSNR, SSIM, LPIPS
0, 0.00947772, 20.23296355, 0.85592967, 0.11480239 
1, 0.00957548, 20.18839335, 0.85466164, 0.11869385 
2, 0.00970969, 20.12794688, 0.85349458, 0.11680376 
3, 0.00968953, 20.13697231, 0.85269094, 0.11274610 
4, 0.00973391, 20.11712560, 0.85181141, 0.11485805 
5, 0.01039624, 19.83123536, 0.84998173, 0.11823845 
6, 0.01138053, 19.43837442, 0.85126030, 0.11898793 
7, 0.01138571, 19.43639883, 0.85364866, 0.11612267 
8, 0.00982340, 20.07738066, 0.85688269, 0.11189540 
9, 0.00902452, 20.44575734, 0.85979468, 0.11186074 
10, 0.00881227, 20.54912428, 0.86268204, 0.10608070 
11, 0.00853904, 20.68590923, 0.86439174, 0.11165569 
12, 0.00807784, 20.92704586, 0.86670774, 0.10724752 
13, 0.00716074, 21.45042153, 0.86759096, 0.10744363 
14, 0.00641242, 21.92977854, 0.86943448, 0.09970105 
15, 0.00663484, 21.78169619, 0.87057114, 0.10895777 
16, 0.00647763, 21.88583753, 0.87756711, 0.10400607 
17, 0.00750359, 21.24730711, 0.87092406, 0.11263514 
18, 0.00848392, 20.71403423, 0.87197226, 0.10751587 
19, 0.00901341, 20.45111111, 0.87162209, 0.10368253 
20, 0.00979938, 20.08801572, 0.87240911, 0.10293463 
21, 0.00995184, 20.02096730, 0.87253398, 0.10928405 
22, 0.00999614, 20.00167735, 0.87271672, 0.10760076 
23, 0.00845180, 20.73050700, 0.88002604, 0.10472361 
24, 0.00804487, 20.94481190, 0.88366240, 0.10194176 
25, 0.00713398, 21.46667897, 0.88631278, 0.10914160 
26, 0.00691863, 21.59979771, 0.88562608, 0.10956713 
27, 0.00707313, 21.50388589, 0.88458019, 0.11069524 
28, 0.00721623, 21.41689491, 0.88365012, 0.11043362 
29, 0.00697218, 21.56631280, 0.88374209, 0.11201660 
30, 0.00620549, 22.07224093, 0.88719511, 0.10189778 
31, 0.00581498, 22.35451791, 0.88823116, 0.10178853 
32, 0.00599435, 22.22257687, 0.88688105, 0.10404158 
33, 0.00593357, 22.26684153, 0.88552493, 0.10743153 
34, 0.00559126, 22.52490472, 0.88818538, 0.10075219 
35, 0.00546356, 22.62524015, 0.88731724, 0.10327578 
36, 0.00552492, 22.57674019, 0.88547277, 0.10259563 
37, 0.00565245, 22.47763626, 0.88251579, 0.10454854 
38, 0.00540067, 22.67552415, 0.88084722, 0.10029240 
39, 0.00549808, 22.59788905, 0.87834769, 0.10065930 
40, 0.00559817, 22.51953720, 0.87662333, 0.10572072 
41, 0.00585198, 22.32697179, 0.87353677, 0.10521860 
42, 0.00608929, 22.15433166, 0.87113339, 0.11079471 
43, 0.00629553, 22.00967758, 0.86950082, 0.11663832 
44, 0.00652318, 21.85540959, 0.86753017, 0.11253165 
45, 0.00690430, 21.60880503, 0.86424547, 0.10925120 
46, 0.00734110, 21.34238921, 0.86030805, 0.11735291 
47, 0.00801784, 20.95942874, 0.85398978, 0.11283208 
48, 0.00890803, 20.50218346, 0.84579980, 0.11816436 
49, 0.00917787, 20.37258225, 0.84153289, 0.12815063 
50, 0.00918302, 20.37014674, 0.83979237, 0.12381545 
51, 0.00926356, 20.33221942, 0.83930039, 0.11654327 
52, 0.00922737, 20.34921937, 0.83966672, 0.11567735 
53, 0.00903001, 20.44311921, 0.84180123, 0.11242550 
54, 0.00873552, 20.58711014, 0.84455395, 0.11720820 
55, 0.00859375, 20.65817181, 0.84692830, 0.11483221 
56, 0.00813231, 20.89786292, 0.85093623, 0.11328581 
57, 0.00786612, 21.04239229, 0.85543913, 0.11286761 
58, 0.00764175, 21.16807073, 0.86202759, 0.10524145 
59, 0.00780263, 21.07759229, 0.86351061, 0.11089505 
60, 0.00735744, 21.33273163, 0.86970770, 0.10542046 
61, 0.00735594, 21.33362066, 0.86945057, 0.10356297 
62, 0.00781105, 21.07290793, 0.86808670, 0.11832128 
63, 0.00787615, 21.03685902, 0.86713398, 0.10979012 
64, 0.00734610, 21.33943402, 0.87197393, 0.09732711 
65, 0.00714822, 21.45802332, 0.87648499, 0.10003005 
66, 0.00701676, 21.53863648, 0.87768853, 0.09522665 
67, 0.00704201, 21.52303458, 0.87899786, 0.10276736 
68, 0.00732322, 21.35297814, 0.87871271, 0.10354971 
69, 0.00743876, 21.28499520, 0.87900686, 0.10045992 
70, 0.00807517, 20.92848314, 0.87667996, 0.10370135 
71, 0.00873257, 20.58857676, 0.87453967, 0.10818870 
72, 0.00908608, 20.41623538, 0.87217551, 0.12102868 
73, 0.00848096, 20.71555198, 0.87558776, 0.12004714 
74, 0.00855856, 20.67599339, 0.87884068, 0.11327016 
75, 0.00890389, 20.50420173, 0.87972683, 0.11563943 
76, 0.00856657, 20.67193197, 0.88130003, 0.11636143 
77, 0.00838903, 20.76288029, 0.88367701, 0.12033645 
78, 0.00843398, 20.73967245, 0.88060528, 0.12679878 
79, 0.00884587, 20.53259566, 0.87480181, 0.13490526 
80, 0.00903975, 20.43843565, 0.87388217, 0.12991348 
81, 0.00899930, 20.45791306, 0.87131733, 0.13006072 
82, 0.00951680, 20.21509023, 0.86466485, 0.12091058 
83, 0.00962808, 20.16460107, 0.86422908, 0.12068512 
84, 0.00969340, 20.13524032, 0.86115593, 0.12050631 
85, 0.00954241, 20.20341831, 0.86187953, 0.12009311 
86, 0.00950669, 20.21970653, 0.86072534, 0.12101729 
87, 0.00985489, 20.06348078, 0.85706550, 0.11732390 
88, 0.00989560, 20.04558015, 0.85643685, 0.11847945 
89, 0.00973774, 20.11541647, 0.85720515, 0.11596961 
90, 0.00940882, 20.26464992, 0.85894555, 0.10957986 
91, 0.00919452, 20.36470968, 0.86214775, 0.11035742 
92, 0.00931451, 20.30839941, 0.86513567, 0.10530872 
93, 0.00914999, 20.38579378, 0.87057543, 0.11354499 
94, 0.00922666, 20.34955647, 0.86983413, 0.10766122 
95, 0.00959531, 20.17940975, 0.86815596, 0.10830388 
96, 0.00956215, 20.19444549, 0.86899436, 0.10549471 
97, 0.00940862, 20.26473891, 0.86967349, 0.09952174 
98, 0.00963293, 20.16241756, 0.86586940, 0.10866914 
99, 0.00955851, 20.19609800, 0.86579078, 0.10748731 
100, 0.00924879, 20.33915197, 0.86382318, 0.10869122 
101, 0.00926876, 20.32978157, 0.86422026, 0.10429790 
102, 0.00945786, 20.24207070, 0.86223292, 0.11128110 
103, 0.00943915, 20.25067118, 0.86264616, 0.10720487 
104, 0.00969059, 20.13649939, 0.86320227, 0.11184993 
105, 0.00959158, 20.18109703, 0.87029511, 0.10521793 
106, 0.00973245, 20.11778011, 0.86987990, 0.10290514 
107, 0.00946144, 20.24042583, 0.87158751, 0.10380823 
108, 0.00852728, 20.69189675, 0.87402439, 0.10417628 
109, 0.00797810, 20.98100506, 0.87802666, 0.09353106 
110, 0.00814090, 20.89327322, 0.87829947, 0.09671956 
111, 0.00769202, 21.13959389, 0.88053381, 0.09443323 
112, 0.00779521, 21.08171921, 0.87921244, 0.09693712 
113, 0.00808082, 20.92544637, 0.87743139, 0.09636478 
114, 0.00800798, 20.96477124, 0.88128132, 0.08998655 
115, 0.00856820, 20.67110202, 0.88187504, 0.09471358 
116, 0.00923303, 20.34655643, 0.88091803, 0.09164274 
117, 0.00967057, 20.14547989, 0.88036519, 0.09981722 
118, 0.00952212, 20.21266286, 0.87949723, 0.10017323 
119, 0.00873268, 20.58852535, 0.88431901, 0.09435068 
120, 0.00791482, 21.01558715, 0.88920301, 0.09751321 
121, 0.00729448, 21.37005815, 0.89332151, 0.09389406 
122, 0.00707975, 21.49982002, 0.89644897, 0.09053236 
123, 0.00715204, 21.45570290, 0.89612615, 0.08482537 
124, 0.00681649, 21.66439460, 0.89889383, 0.08840221 
125, 0.00702174, 21.53555510, 0.89902806, 0.09175874 
126, 0.00586700, 22.31583724, 0.90412760, 0.08396669 
127, 0.00651400, 21.86152230, 0.89733618, 0.09019236 
128, 0.00684188, 21.64824855, 0.89437717, 0.08872891 
129, 0.00646793, 21.89234624, 0.89484107, 0.09563522 
130, 0.00626697, 22.02942145, 0.89357859, 0.09337641 
131, 0.00745877, 21.27332584, 0.88508373, 0.10242418 
132, 0.00765391, 21.16116479, 0.88455117, 0.10360566 
133, 0.00838864, 20.76308424, 0.88138205, 0.10224202 
134, 0.00827211, 20.82383625, 0.87721676, 0.10526118 
135, 0.00799029, 20.97437233, 0.87220979, 0.11182636 
136, 0.00678681, 21.68334234, 0.87270701, 0.11018939 
137, 0.00661344, 21.79572712, 0.86992210, 0.10659613 
138, 0.00657994, 21.81778145, 0.86932844, 0.10517030 
139, 0.00678598, 21.68387695, 0.86693597, 0.10684221 
140, 0.00692770, 21.59410620, 0.86457461, 0.10700406 
141, 0.00685252, 21.64149796, 0.86359298, 0.11242509 
142, 0.00696188, 21.57273422, 0.86274135, 0.11028080 
143, 0.00709748, 21.48896000, 0.86125219, 0.11253365 
144, 0.00736841, 21.32626052, 0.85824025, 0.11343694 
145, 0.00826074, 20.82981293, 0.85358465, 0.11774915 
146, 0.00910168, 20.40878415, 0.84816134, 0.11797971 
147, 0.00934359, 20.29486243, 0.84530056, 0.11786077 
148, 0.00932041, 20.30564898, 0.84193420, 0.12309133 
149, 0.00924606, 20.34043438, 0.84076416, 0.12368385 
150, 0.00935708, 20.28859491, 0.83902806, 0.12238524 
151, 0.00926915, 20.32960222, 0.83919626, 0.11674742 
152, 0.00913384, 20.39346513, 0.83951271, 0.11448405 
153, 0.00882182, 20.54441904, 0.84132659, 0.11266594 
154, 0.00864115, 20.63428230, 0.84315467, 0.12368292 
155, 0.00848373, 20.71412910, 0.84509271, 0.11611582 
156, 0.00803483, 20.95023409, 0.84957522, 0.11666398 
157, 0.00787648, 21.03668031, 0.85068506, 0.12086090 
158, 0.00774560, 21.10944918, 0.85330623, 0.11301573 
159, 0.00740297, 21.30593793, 0.85864389, 0.11212676 
160, 0.00749975, 21.24953388, 0.85794777, 0.11252095 
161, 0.00767828, 21.14736022, 0.85731274, 0.11217774 
162, 0.00784474, 21.05421674, 0.85832745, 0.10778829 
163, 0.00752715, 21.23369417, 0.86109006, 0.10519511 
164, 0.00728622, 21.37497923, 0.86603415, 0.09978791 
165, 0.00721934, 21.41502773, 0.86865586, 0.09759399 
166, 0.00745865, 21.27339715, 0.86993074, 0.10346238 
167, 0.00756413, 21.21241136, 0.87111676, 0.10897161 
168, 0.00772246, 21.12244164, 0.87239593, 0.10056043 
169, 0.00799787, 20.97025635, 0.87236607, 0.09915389 
170, 0.00852667, 20.69220364, 0.87009305, 0.09991279 
171, 0.00850037, 20.70562255, 0.87014574, 0.10497749 
172, 0.00822191, 20.85027215, 0.87512773, 0.10145500 
173, 0.00812186, 20.90344340, 0.87608379, 0.10043544 
