ID, MSE, PSNR, SSIM, LPIPS
0, 0.00312386, 25.05308423, 0.89117390, 0.09926948 
1, 0.00316038, 25.00260783, 0.89054435, 0.10377049 
2, 0.00324564, 24.88699362, 0.88856155, 0.10265452 
3, 0.00330444, 24.80902427, 0.88740212, 0.10229782 
4, 0.00333561, 24.76824183, 0.88669944, 0.09742142 
5, 0.00411281, 23.85861757, 0.88397938, 0.10998643 
6, 0.00548462, 22.60853522, 0.88329476, 0.11035869 
7, 0.00568482, 22.45283317, 0.88356906, 0.11071417 
8, 0.00477591, 23.20943638, 0.88543576, 0.10603163 
9, 0.00406168, 23.91294514, 0.88641316, 0.10689300 
10, 0.00374513, 24.26533099, 0.88699281, 0.10309544 
11, 0.00353979, 24.51022967, 0.88801163, 0.10501108 
12, 0.00346458, 24.60349371, 0.88850117, 0.10579324 
13, 0.00346808, 24.59910927, 0.88944179, 0.10527082 
14, 0.00342885, 24.64851089, 0.89225841, 0.09856094 
15, 0.00363585, 24.39393732, 0.89398342, 0.10362972 
16, 0.00394027, 24.04474551, 0.89531696, 0.10168433 
17, 0.00459621, 23.37600481, 0.89200544, 0.09926882 
18, 0.00522282, 22.82094846, 0.88953841, 0.10295995 
19, 0.00559516, 22.52187584, 0.88919961, 0.10274773 
20, 0.00633602, 21.98183599, 0.88983935, 0.09968197 
21, 0.00619078, 22.08254950, 0.88947898, 0.09884893 
22, 0.00608789, 22.15532945, 0.88958663, 0.09722401 
23, 0.00462114, 23.35251294, 0.89590526, 0.09540897 
24, 0.00444702, 23.51930450, 0.89751744, 0.09516671 
25, 0.00429378, 23.67160604, 0.89933044, 0.09813233 
26, 0.00445565, 23.51089227, 0.90078443, 0.10123832 
27, 0.00477412, 23.21107035, 0.90034932, 0.10240162 
28, 0.00456288, 23.40760606, 0.90061104, 0.09598302 
29, 0.00419764, 23.76994486, 0.90199763, 0.09686453 
30, 0.00399304, 23.98696142, 0.90566719, 0.09287620 
31, 0.00405569, 23.91935395, 0.90454495, 0.09006698 
32, 0.00402611, 23.95114032, 0.90447003, 0.09415005 
33, 0.00394056, 24.04442013, 0.90403473, 0.09617212 
34, 0.00375393, 24.25514330, 0.90583700, 0.09222126 
35, 0.00368690, 24.33338530, 0.90458786, 0.08930714 
36, 0.00364584, 24.38202743, 0.90251672, 0.09158334 
37, 0.00361237, 24.42207745, 0.90149152, 0.08827865 
38, 0.00363570, 24.39411420, 0.90066797, 0.09249660 
39, 0.00369061, 24.32901387, 0.89915955, 0.09585208 
40, 0.00375560, 24.25321186, 0.89650351, 0.09352387 
41, 0.00392502, 24.06158500, 0.89503461, 0.09705134 
42, 0.00401731, 23.96064278, 0.89414626, 0.10083043 
43, 0.00412535, 23.84539036, 0.89359194, 0.10055064 
44, 0.00428139, 23.68415210, 0.89046955, 0.10373277 
