ID, MSE, PSNR, SSIM, LPIPS
0, 0.00424213, 23.72416351, 0.91088057, 0.07797651 
1, 0.00433364, 23.63147124, 0.91053081, 0.07249887 
2, 0.00435852, 23.60661116, 0.91076964, 0.07194972 
3, 0.00471300, 23.26702236, 0.90797514, 0.07519168 
4, 0.00492527, 23.07569989, 0.90654844, 0.07796040 
5, 0.00502453, 22.98904557, 0.90597624, 0.06934354 
6, 0.00521796, 22.82499633, 0.90465200, 0.07832912 
7, 0.00562176, 22.50127939, 0.90106243, 0.07926460 
8, 0.00572545, 22.42190171, 0.90000665, 0.07406479 
9, 0.00595249, 22.25301018, 0.89845908, 0.07652991 
10, 0.00614239, 22.11662615, 0.89657056, 0.07684990 
11, 0.00622862, 22.05608119, 0.89622796, 0.08153713 
12, 0.00646043, 21.89738850, 0.89543122, 0.07692400 
13, 0.00640201, 21.93683772, 0.89647090, 0.07931589 
14, 0.00636818, 21.95984969, 0.89603567, 0.08057621 
15, 0.00650097, 21.87021675, 0.89588922, 0.08265664 
16, 0.00662975, 21.78502931, 0.89547253, 0.08055671 
17, 0.00667703, 21.75416937, 0.89570159, 0.09193452 
18, 0.00676508, 21.69726934, 0.89443612, 0.08585644 
19, 0.00675949, 21.70086018, 0.89449549, 0.08432344 
20, 0.00697965, 21.56166478, 0.89255202, 0.08466087 
21, 0.00697425, 21.56502455, 0.89206761, 0.08574233 
22, 0.00681181, 21.66737521, 0.89320982, 0.08560484 
23, 0.00680914, 21.66907434, 0.89191133, 0.08271663 
24, 0.00669754, 21.74085005, 0.89258063, 0.08501548 
25, 0.00684760, 21.64461559, 0.89256155, 0.08653100 
26, 0.00681060, 21.66814808, 0.89250702, 0.08845378 
27, 0.00678235, 21.68619943, 0.89283282, 0.08630539 
28, 0.00673194, 21.71859525, 0.89190382, 0.08699611 
29, 0.00674233, 21.71189978, 0.89261341, 0.08643776 
30, 0.00684715, 21.64489853, 0.89264375, 0.08844074 
31, 0.00677823, 21.68883970, 0.89293957, 0.08557675 
32, 0.00679932, 21.67534713, 0.89170587, 0.08790934 
33, 0.00689074, 21.61733974, 0.89111078, 0.08582603 
34, 0.00686874, 21.63122918, 0.89029121, 0.08372162 
35, 0.00682699, 21.65770626, 0.89173073, 0.08564576 
36, 0.00680492, 21.67176929, 0.89270341, 0.08422310 
37, 0.00640756, 21.93307297, 0.89561146, 0.08346599 
38, 0.00597982, 22.23311945, 0.89759809, 0.08144294 
39, 0.00560437, 22.51473198, 0.90102661, 0.07768503 
40, 0.00525055, 22.79795019, 0.90259528, 0.08303677 
41, 0.00514306, 22.88778498, 0.90279055, 0.08150747 
42, 0.00476439, 23.21993019, 0.90731144, 0.07507534 
43, 0.00452194, 23.44675527, 0.90985805, 0.06617931 
44, 0.00457889, 23.39239984, 0.90936714, 0.07490789 
45, 0.00469866, 23.28026217, 0.90737170, 0.07351214 
46, 0.00447041, 23.49652932, 0.90985256, 0.07188499 
47, 0.00452820, 23.44074375, 0.90880644, 0.07460254 
48, 0.00448256, 23.48473451, 0.91042376, 0.07202547 
49, 0.00449065, 23.47691218, 0.91006684, 0.07412035 
50, 0.00486800, 23.12649779, 0.90650427, 0.07370344 
51, 0.00500341, 23.00734157, 0.90431488, 0.07364633 
52, 0.00521179, 22.83012851, 0.90062052, 0.08149052 
53, 0.00530182, 22.75575279, 0.89991182, 0.08187380 
54, 0.00523859, 22.80785257, 0.89951491, 0.08063425 
55, 0.00531467, 22.74523694, 0.89771193, 0.08250351 
56, 0.00537613, 22.69530436, 0.89824277, 0.08558936 
57, 0.00554405, 22.56172778, 0.89573634, 0.08703063 
58, 0.00566380, 22.46892230, 0.89591992, 0.08190186 
59, 0.00571477, 22.43001036, 0.89359540, 0.08386238 
60, 0.00583287, 22.34117424, 0.89276046, 0.08422580 
61, 0.00583962, 22.33615636, 0.89191568, 0.08827846 
62, 0.00569014, 22.44876679, 0.89376426, 0.08744935 
63, 0.00562767, 22.49671496, 0.89410573, 0.08307740 
64, 0.00543164, 22.65069360, 0.89546132, 0.08509192 
65, 0.00526444, 22.78647813, 0.89699352, 0.08172173 
66, 0.00524545, 22.80217175, 0.89685518, 0.08255651 
67, 0.00522331, 22.82053997, 0.89589036, 0.07848050 
68, 0.00527405, 22.77855417, 0.89471662, 0.08366544 
69, 0.00541325, 22.66542284, 0.89288163, 0.09068448 
70, 0.00555579, 22.55254330, 0.89023685, 0.09423074 
71, 0.00575728, 22.39782882, 0.89003551, 0.08886925 
72, 0.00595771, 22.24920396, 0.88888091, 0.08918187 
73, 0.00588973, 22.29904335, 0.88922346, 0.09543814 
74, 0.00581773, 22.35246231, 0.88863701, 0.08700657 
75, 0.00572244, 22.42418764, 0.89072073, 0.09277413 
76, 0.00566575, 22.46742253, 0.89271718, 0.08817758 
77, 0.00548194, 22.61065335, 0.89321727, 0.08749952 
78, 0.00549082, 22.60362578, 0.89278275, 0.08582902 
79, 0.00536910, 22.70098411, 0.89565915, 0.08909479 
80, 0.00527860, 22.77481024, 0.89689964, 0.09071247 
81, 0.00505226, 22.96514377, 0.90091652, 0.08871372 
82, 0.00493269, 23.06916264, 0.90386307, 0.08849775 
83, 0.00483538, 23.15569368, 0.90630919, 0.09018403 
84, 0.00463938, 23.33540346, 0.90809453, 0.08614809 
85, 0.00449428, 23.47339865, 0.90953684, 0.09063055 
86, 0.00454942, 23.42044015, 0.90951365, 0.08951733 
87, 0.00435617, 23.60895080, 0.91264099, 0.08845609 
88, 0.00428685, 23.67861442, 0.91331172, 0.08671319 
89, 0.00424130, 23.72501265, 0.91392976, 0.08328553 
90, 0.00433734, 23.62776986, 0.91486126, 0.07704136 
91, 0.00453917, 23.43023790, 0.91495878, 0.07577895 
92, 0.00431947, 23.64569500, 0.91666132, 0.07620206 
93, 0.00441071, 23.55491432, 0.91496867, 0.07930803 
94, 0.00439552, 23.56990215, 0.91549844, 0.07610627 
95, 0.00439097, 23.57439451, 0.91558927, 0.08100437 
96, 0.00441527, 23.55042510, 0.91586185, 0.08227617 
97, 0.00430106, 23.66424453, 0.91784680, 0.08023439 
98, 0.00437776, 23.58747960, 0.91749042, 0.08551145 
99, 0.00413459, 23.83567570, 0.92008609, 0.08039067 
100, 0.00433215, 23.63296061, 0.91785842, 0.07617402 
101, 0.00466784, 23.30883609, 0.91490239, 0.08762466 
102, 0.00506076, 22.95784312, 0.91220093, 0.08643979 
103, 0.00512484, 22.90319614, 0.91160512, 0.08816393 
104, 0.00534738, 22.71859259, 0.91093373, 0.08722692 
105, 0.00542556, 22.65555481, 0.90830517, 0.09323705 
106, 0.00562837, 22.49617416, 0.90444815, 0.09780872 
107, 0.00582820, 22.34465873, 0.90164286, 0.09917752 
108, 0.00596032, 22.24730618, 0.90186441, 0.10276186 
109, 0.00613087, 22.12478159, 0.90067804, 0.10294066 
110, 0.00603442, 22.19364375, 0.90111482, 0.09471659 
111, 0.00593298, 22.26726793, 0.90174657, 0.09375684 
112, 0.00605846, 22.17637714, 0.90098876, 0.09596585 
113, 0.00607175, 22.16686146, 0.90109265, 0.09484503 
114, 0.00609833, 22.14789176, 0.89935887, 0.09725180 
115, 0.00619794, 22.07752332, 0.89740580, 0.10174197 
116, 0.00632962, 21.98622057, 0.89529717, 0.10324571 
117, 0.00640869, 21.93230703, 0.89497632, 0.10928845 
118, 0.00655780, 21.83241532, 0.89406985, 0.10419625 
119, 0.00677754, 21.68927741, 0.89184350, 0.10880981 
120, 0.00708682, 21.49548514, 0.89030385, 0.10729823 
121, 0.00708328, 21.49765561, 0.89124840, 0.10525341 
122, 0.00713751, 21.46453242, 0.89198941, 0.10644212 
123, 0.00702482, 21.53364543, 0.89327520, 0.10666401 
124, 0.00682305, 21.66021633, 0.89475441, 0.10255248 
125, 0.00664864, 21.77267507, 0.89641064, 0.09272259 
126, 0.00666913, 21.75930623, 0.89661026, 0.10332610 
127, 0.00664256, 21.77664635, 0.89616275, 0.10022133 
128, 0.00670617, 21.73525695, 0.89678949, 0.10060465 
129, 0.00658723, 21.81296949, 0.89671886, 0.09756649 
130, 0.00662444, 21.78850847, 0.89512426, 0.09151591 
131, 0.00643487, 21.91460069, 0.89599770, 0.09453636 
132, 0.00626154, 22.03318704, 0.89621770, 0.09311094 
133, 0.00614128, 22.11741245, 0.89820927, 0.09082440 
134, 0.00600012, 22.21839747, 0.89643312, 0.09310587 
135, 0.00574888, 22.40416820, 0.89960313, 0.09129703 
136, 0.00575064, 22.40283515, 0.90042984, 0.08967808 
137, 0.00550528, 22.59220947, 0.90390658, 0.09114106 
138, 0.00541962, 22.66031511, 0.90424889, 0.08724224 
139, 0.00533782, 22.72635703, 0.90519464, 0.08396438 
140, 0.00516980, 22.86526217, 0.90483421, 0.08719769 
141, 0.00489230, 23.10486806, 0.90753847, 0.08466968 
142, 0.00473091, 23.25054923, 0.90728354, 0.08004472 
143, 0.00459871, 23.37363736, 0.90961343, 0.07809101 
144, 0.00443026, 23.53570690, 0.91055572, 0.08086616 
145, 0.00445853, 23.50808274, 0.90995783, 0.07887495 
146, 0.00447195, 23.49503219, 0.91057283, 0.07319464 
147, 0.00434636, 23.61874632, 0.91087914, 0.07309967 
148, 0.00433616, 23.62894407, 0.91174328, 0.07948606 
149, 0.00439773, 23.56770990, 0.90967470, 0.07860206 
150, 0.00482056, 23.16902833, 0.90728295, 0.07616868 
151, 0.00500326, 23.00747172, 0.90433311, 0.07373150 
152, 0.00529377, 22.76234798, 0.89987087, 0.07758643 
153, 0.00553361, 22.56991123, 0.89677864, 0.07514023 
154, 0.00561204, 22.50879499, 0.89519185, 0.08042934 
155, 0.00564118, 22.48629928, 0.89361966, 0.08062553 
156, 0.00575037, 22.40303948, 0.89307505, 0.08250022 
157, 0.00582905, 22.34402239, 0.89262182, 0.08491147 
158, 0.00582654, 22.34589003, 0.89353269, 0.08330040 
159, 0.00585184, 22.32707547, 0.89397025, 0.08124524 
160, 0.00589419, 22.29575685, 0.89237756, 0.08596624 
161, 0.00587524, 22.30974451, 0.89279741, 0.08500683 
162, 0.00573767, 22.41264522, 0.89268589, 0.08015008 
163, 0.00573974, 22.41108019, 0.89407438, 0.07980619 
164, 0.00580240, 22.36392131, 0.89303327, 0.08458988 
165, 0.00555952, 22.54962859, 0.89384371, 0.08536662 
166, 0.00527795, 22.77534779, 0.89647800, 0.08355386 
167, 0.00509103, 22.93194450, 0.89689857, 0.08008993 
168, 0.00506896, 22.95081523, 0.89777136, 0.08283593 
169, 0.00513768, 22.89232902, 0.89717579, 0.07919178 
170, 0.00512531, 22.90279760, 0.89508003, 0.08026566 
171, 0.00507923, 22.94202136, 0.89570647, 0.08425011 
172, 0.00503550, 22.97957597, 0.89523071, 0.08303546 
173, 0.00494079, 23.06203962, 0.89649701, 0.08610218 
174, 0.00515882, 22.87449648, 0.89506936, 0.08226796 
175, 0.00538056, 22.69172620, 0.89398491, 0.08508640 
176, 0.00530264, 22.75508035, 0.89402223, 0.08401224 
177, 0.00530923, 22.74968788, 0.89341927, 0.08988003 
178, 0.00518110, 22.85577656, 0.89556098, 0.08720918 
179, 0.00534171, 22.72319310, 0.89450866, 0.08875570 
180, 0.00547178, 22.61871079, 0.89421940, 0.09395365 
181, 0.00557010, 22.54136851, 0.89276963, 0.08894683 
182, 0.00577254, 22.38633408, 0.89329928, 0.08782503 
183, 0.00587640, 22.30888922, 0.89248717, 0.09158830 
184, 0.00581122, 22.35732993, 0.89360756, 0.08428834 
185, 0.00557061, 22.54097205, 0.89502877, 0.08469798 
186, 0.00550840, 22.58974418, 0.89649463, 0.08499666 
187, 0.00534057, 22.72412113, 0.89780843, 0.08027923 
188, 0.00534677, 22.71908730, 0.89856702, 0.08151898 
189, 0.00518763, 22.85030679, 0.90058994, 0.07860327 
190, 0.00506387, 22.95517413, 0.90189201, 0.07682212 
191, 0.00500875, 23.00270431, 0.90282196, 0.08149216 
192, 0.00488241, 23.11365407, 0.90407819, 0.07256766 
193, 0.00485178, 23.14098784, 0.90439832, 0.07800221 
194, 0.00475567, 23.22788143, 0.90583789, 0.07246327 
195, 0.00457895, 23.39234198, 0.90883660, 0.07585993 
196, 0.00437187, 23.59332313, 0.90929854, 0.07172765 
197, 0.00431924, 23.64592208, 0.91027826, 0.07503306 
198, 0.00434791, 23.61719716, 0.91009593, 0.07694753 
199, 0.00431331, 23.65189313, 0.91115957, 0.07814795 
AVERAGES: 0.0055, 22.624, 0.900, 0.085
