ID, MSE, PSNR, SSIM, LPIPS
0, 0.00131163, 28.82190158, 0.95843589, 0.03549026 
1, 0.00128490, 28.91130512, 0.95949078, 0.03335344 
2, 0.00128806, 28.90064069, 0.95980459, 0.03514744 
3, 0.00134232, 28.72143562, 0.95945227, 0.03461215 
4, 0.00142847, 28.45127597, 0.95876783, 0.03425890 
5, 0.00144526, 28.40053488, 0.95935535, 0.03387141 
6, 0.00150768, 28.21689873, 0.95783669, 0.03296249 
7, 0.00161491, 27.91851434, 0.95631248, 0.03666417 
8, 0.00167867, 27.75035258, 0.95462757, 0.03688585 
9, 0.00168844, 27.72513534, 0.95528179, 0.03829820 
10, 0.00175688, 27.55257449, 0.95480132, 0.03606718 
11, 0.00177772, 27.50136287, 0.95465076, 0.03720832 
12, 0.00186970, 27.28228172, 0.95323437, 0.03665152 
13, 0.00190959, 27.19060933, 0.95295829, 0.03552182 
14, 0.00191551, 27.17714722, 0.95267224, 0.03863522 
15, 0.00190270, 27.20629909, 0.95318133, 0.03858946 
16, 0.00195983, 27.07780554, 0.95184076, 0.04129554 
17, 0.00194677, 27.10684757, 0.95221305, 0.03943423 
18, 0.00194705, 27.10623912, 0.95182365, 0.03667884 
19, 0.00198282, 27.02717426, 0.95080996, 0.03785871 
20, 0.00197841, 27.03682845, 0.95000678, 0.03807643 
21, 0.00192248, 27.16137840, 0.95027834, 0.03848757 
22, 0.00192797, 27.14899602, 0.94959217, 0.03682057 
23, 0.00190160, 27.20881778, 0.94997633, 0.03548407 
24, 0.00185203, 27.32352244, 0.94976634, 0.03792254 
25, 0.00192122, 27.16423484, 0.94920194, 0.04243567 
26, 0.00193833, 27.12571811, 0.94975501, 0.04179181 
27, 0.00193092, 27.14235811, 0.94975662, 0.04127584 
28, 0.00194380, 27.11349459, 0.94901454, 0.04538625 
29, 0.00192246, 27.16142258, 0.94977635, 0.04210045 
30, 0.00201685, 26.95325588, 0.94912136, 0.04261627 
31, 0.00202115, 26.94401462, 0.95026219, 0.04300065 
32, 0.00204796, 26.88678146, 0.94923162, 0.04309599 
33, 0.00205506, 26.87174583, 0.94898164, 0.04167363 
34, 0.00203466, 26.91507365, 0.94969094, 0.04170839 
35, 0.00198035, 27.03259042, 0.95036495, 0.04442229 
36, 0.00193032, 27.14371175, 0.95059353, 0.04337723 
37, 0.00185012, 27.32800151, 0.95183629, 0.03859274 
38, 0.00178774, 27.47695379, 0.95154905, 0.03972993 
39, 0.00171043, 27.66895813, 0.95277607, 0.03828516 
40, 0.00164114, 27.84854346, 0.95354503, 0.03688324 
41, 0.00168269, 27.73996098, 0.95246440, 0.03601278 
42, 0.00162514, 27.89109167, 0.95295560, 0.03800478 
43, 0.00160560, 27.94361538, 0.95288998, 0.03824364 
44, 0.00156716, 28.04885465, 0.95410556, 0.03656677 
45, 0.00153483, 28.13938446, 0.95407081, 0.03775406 
46, 0.00148725, 28.27616982, 0.95471364, 0.03693320 
47, 0.00152282, 28.17350837, 0.95396644, 0.03962557 
48, 0.00150175, 28.23401123, 0.95453572, 0.03886892 
49, 0.00147182, 28.32146623, 0.95457512, 0.03782414 
50, 0.00149345, 28.25809442, 0.95405287, 0.03737951 
51, 0.00149474, 28.25433526, 0.95332766, 0.03937639 
