ID, MSE, PSNR, SSIM, LPIPS
0, 0.00073621, 31.32997034, 0.94651669, 0.06333954 
1, 0.00074541, 31.27604388, 0.94653171, 0.06688067 
2, 0.00074807, 31.26058868, 0.94643569, 0.06684733 
3, 0.00078626, 31.04434813, 0.94541252, 0.06895733 
4, 0.00084241, 30.74477795, 0.94406807, 0.07323568 
5, 0.00088116, 30.54946102, 0.94348782, 0.07823628 
6, 0.00089680, 30.47305829, 0.94291615, 0.07887757 
7, 0.00092506, 30.33828644, 0.94154292, 0.07792842 
8, 0.00094513, 30.24507910, 0.94176847, 0.08018939 
9, 0.00097667, 30.10252950, 0.94020468, 0.08061646 
10, 0.00100327, 29.98581956, 0.93895125, 0.08580524 
11, 0.00102874, 29.87693013, 0.93832886, 0.08000231 
12, 0.00105139, 29.78235068, 0.93772221, 0.08730432 
13, 0.00109869, 29.59123873, 0.93645793, 0.08612400 
14, 0.00110175, 29.57916227, 0.93648040, 0.08063701 
15, 0.00110836, 29.55319243, 0.93663901, 0.08285280 
16, 0.00112078, 29.50478360, 0.93610150, 0.08557261 
17, 0.00112148, 29.50207198, 0.93569607, 0.08825728 
18, 0.00107231, 29.69679916, 0.93635905, 0.08112990 
19, 0.00106064, 29.74430865, 0.93627506, 0.08263013 
20, 0.00102864, 29.87734641, 0.93637848, 0.08604008 
21, 0.00092900, 30.31982258, 0.93930840, 0.08559579 
22, 0.00089109, 30.50078108, 0.93986732, 0.07946642 
23, 0.00084834, 30.71429436, 0.94186151, 0.07854946 
24, 0.00075245, 31.23520323, 0.94518989, 0.06965240 
25, 0.00073560, 31.33360952, 0.94595665, 0.07032001 
26, 0.00072850, 31.37572620, 0.94689351, 0.07033348 
27, 0.00067671, 31.69597565, 0.94933450, 0.06831212 
28, 0.00065853, 31.81425635, 0.94971758, 0.06656638 
29, 0.00064869, 31.87959459, 0.95099813, 0.06463988 
30, 0.00062770, 32.02250968, 0.95203912, 0.06458761 
31, 0.00062461, 32.04389776, 0.95228541, 0.06260227 
32, 0.00060606, 32.17484358, 0.95351672, 0.05939565 
33, 0.00061839, 32.08736819, 0.95381171, 0.06215678 
34, 0.00061899, 32.08315519, 0.95434141, 0.05667540 
35, 0.00061827, 32.08820792, 0.95439374, 0.05350772 
36, 0.00063911, 31.94423722, 0.95432734, 0.05266162 
37, 0.00063878, 31.94649950, 0.95440382, 0.04985416 
38, 0.00066332, 31.78276635, 0.95397276, 0.05460523 
39, 0.00068170, 31.66404178, 0.95363522, 0.05388889 
40, 0.00070755, 31.50241058, 0.95351118, 0.05247256 
41, 0.00073158, 31.35739444, 0.95313185, 0.05506309 
42, 0.00074205, 31.29568429, 0.95310217, 0.05217018 
43, 0.00077500, 31.10696654, 0.95248687, 0.04831339 
44, 0.00076266, 31.17669695, 0.95274562, 0.04910170 
45, 0.00076715, 31.15118908, 0.95176482, 0.04844934 
46, 0.00080065, 30.96556669, 0.95095366, 0.05166125 
47, 0.00082605, 30.82994519, 0.94948995, 0.05077765 
48, 0.00085810, 30.66463122, 0.94832999, 0.05360999 
49, 0.00087426, 30.58361601, 0.94857401, 0.05480657 
50, 0.00094057, 30.26609215, 0.94688272, 0.05513670 
51, 0.00099743, 30.01117293, 0.94576198, 0.05515165 
52, 0.00102293, 29.90153629, 0.94506049, 0.05321341 
53, 0.00106817, 29.71361537, 0.94463378, 0.05586708 
54, 0.00111949, 29.50980679, 0.94341063, 0.05789886 
55, 0.00110641, 29.56085623, 0.94359404, 0.06166094 
56, 0.00109965, 29.58746008, 0.94422847, 0.05908861 
57, 0.00108323, 29.65280294, 0.94509631, 0.05475056 
58, 0.00100560, 29.97574294, 0.94586945, 0.05694349 
59, 0.00100626, 29.97289719, 0.94610167, 0.05498611 
60, 0.00100486, 29.97893217, 0.94500798, 0.05975907 
61, 0.00102585, 29.88915812, 0.94413179, 0.06033665 
62, 0.00104851, 29.79425558, 0.94229186, 0.06597488 
63, 0.00109382, 29.61054660, 0.94232541, 0.07013351 
64, 0.00108221, 29.65688089, 0.94243604, 0.06520707 
65, 0.00108858, 29.63140113, 0.94194281, 0.06515510 
66, 0.00109989, 29.58649145, 0.94233292, 0.05954175 
67, 0.00110906, 29.55043812, 0.94321269, 0.06081386 
68, 0.00113560, 29.44774782, 0.94421786, 0.06435190 
69, 0.00115378, 29.37876281, 0.94490910, 0.05980027 
70, 0.00118072, 29.27852591, 0.94514245, 0.06336482 
71, 0.00120584, 29.18712105, 0.94499993, 0.06378323 
72, 0.00121398, 29.15787793, 0.94529742, 0.06120590 
73, 0.00121775, 29.14442478, 0.94634837, 0.06220511 
74, 0.00121665, 29.14834918, 0.94701356, 0.06164723 
75, 0.00117607, 29.29567145, 0.94877887, 0.05767306 
76, 0.00124008, 29.06551523, 0.94889295, 0.06066731 
77, 0.00127004, 28.96181467, 0.94970667, 0.06177774 
78, 0.00126133, 28.99171684, 0.95080137, 0.05969914 
79, 0.00124830, 29.03681854, 0.95042682, 0.06121498 
80, 0.00123166, 29.09510716, 0.95158398, 0.06045759 
81, 0.00125020, 29.03022213, 0.95212722, 0.05774590 
82, 0.00137992, 28.60145671, 0.95201707, 0.06597053 
83, 0.00146644, 28.33735139, 0.95251113, 0.06844925 
84, 0.00150882, 28.21362438, 0.95265317, 0.06982003 
85, 0.00154483, 28.11119294, 0.95307064, 0.06846149 
86, 0.00154732, 28.10420632, 0.95340842, 0.06914738 
87, 0.00156208, 28.06296826, 0.95432621, 0.06653278 
88, 0.00165423, 27.81404367, 0.95455569, 0.06859849 
