ID, MSE, PSNR, SSIM, LPIPS
0, 0.00087440, 30.58289262, 0.92800927, 0.12363852 
1, 0.00083773, 30.76896318, 0.92793077, 0.11618523 
2, 0.00089240, 30.49440134, 0.92712450, 0.11604054 
3, 0.00089446, 30.48437488, 0.92777669, 0.11689722 
4, 0.00091760, 30.37347724, 0.92671174, 0.12135848 
5, 0.00094850, 30.22960984, 0.92618400, 0.12115742 
6, 0.00096371, 30.16054126, 0.92472005, 0.12856950 
7, 0.00097803, 30.09648585, 0.92429662, 0.12641570 
8, 0.00099386, 30.02674808, 0.92340714, 0.13163006 
9, 0.00101815, 29.92189620, 0.92211264, 0.13013294 
10, 0.00104157, 29.82309459, 0.91981417, 0.13216048 
11, 0.00103137, 29.86587605, 0.91963345, 0.13077006 
12, 0.00102922, 29.87492544, 0.91910338, 0.12917508 
13, 0.00104179, 29.82219425, 0.91808891, 0.12860252 
14, 0.00107302, 29.69391270, 0.91702157, 0.13415940 
15, 0.00103856, 29.83567847, 0.91693681, 0.13002317 
16, 0.00103169, 29.86452034, 0.91739851, 0.12397239 
17, 0.00106665, 29.71979756, 0.91542745, 0.12820661 
18, 0.00101930, 29.91698339, 0.91542411, 0.13061588 
19, 0.00101073, 29.95363222, 0.91462278, 0.12799489 
20, 0.00096790, 30.14167692, 0.91610187, 0.12552352 
21, 0.00092434, 30.34170558, 0.91657561, 0.13426447 
22, 0.00088565, 30.52736707, 0.91887480, 0.12298820 
23, 0.00085559, 30.67734663, 0.91989374, 0.12158163 
24, 0.00079327, 31.00577849, 0.92186105, 0.11977024 
25, 0.00075992, 31.19231433, 0.92425859, 0.11766666 
26, 0.00073948, 31.31075607, 0.92533463, 0.11816800 
27, 0.00071431, 31.46113035, 0.92727309, 0.11444122 
28, 0.00069128, 31.60343703, 0.92774725, 0.11309451 
29, 0.00068724, 31.62890147, 0.92808354, 0.11412220 
30, 0.00066233, 31.78925526, 0.92951006, 0.11471629 
31, 0.00066695, 31.75905766, 0.92997795, 0.11102749 
32, 0.00064918, 31.87631811, 0.93090361, 0.10893025 
33, 0.00067261, 31.72237274, 0.92945695, 0.11406360 
34, 0.00069724, 31.56616001, 0.92913854, 0.11344843 
35, 0.00073782, 31.32047010, 0.92863345, 0.11383757 
36, 0.00073724, 31.32392061, 0.92921519, 0.11097647 
37, 0.00075945, 31.19501335, 0.92824894, 0.10691999 
38, 0.00077711, 31.09519003, 0.92816490, 0.10861488 
39, 0.00081788, 30.87308601, 0.92792922, 0.10703839 
