ID, MSE, PSNR, SSIM, LPIPS
0, 0.00326213, 24.86498787, 0.89915466, 0.07614420 
1, 0.00451835, 23.45019806, 0.89419943, 0.08296184 
2, 0.00577297, 22.38600338, 0.89013219, 0.08973736 
3, 0.00628536, 22.01670094, 0.88709450, 0.08737682 
4, 0.00624076, 22.04762423, 0.88388413, 0.08950223 
5, 0.00526196, 22.78852229, 0.88402992, 0.08989128 
6, 0.00470880, 23.27089369, 0.88409066, 0.08553854 
7, 0.00443821, 23.52792353, 0.88172531, 0.08394760 
8, 0.00512730, 22.90111425, 0.87896895, 0.09359033 
9, 0.00615075, 22.11071861, 0.87821591, 0.09762777 
10, 0.00650861, 21.86511985, 0.87569976, 0.09923771 
11, 0.00631507, 21.99621625, 0.87437093, 0.10218078 
12, 0.00553358, 22.56994010, 0.87460321, 0.09505492 
13, 0.00456049, 23.40988789, 0.87535530, 0.09671997 
14, 0.00380535, 24.19605467, 0.87326658, 0.09908812 
15, 0.00352098, 24.53336785, 0.87193578, 0.09953429 
16, 0.00352755, 24.52526618, 0.86984527, 0.09722401 
17, 0.00365171, 24.37504024, 0.86781025, 0.09947291 
18, 0.00386246, 24.13136198, 0.86333156, 0.10119511 
19, 0.00407337, 23.90045617, 0.85966957, 0.10967519 
20, 0.00429906, 23.66626496, 0.85646749, 0.11083674 
21, 0.00436787, 23.59730315, 0.85468578, 0.10990656 
22, 0.00421957, 23.74731304, 0.85641462, 0.11413291 
23, 0.00419060, 23.77723404, 0.85435104, 0.11266479 
24, 0.00414236, 23.82752130, 0.85155809, 0.11921859 
25, 0.00414698, 23.82267607, 0.84857804, 0.10939922 
26, 0.00415278, 23.81661326, 0.84599364, 0.11751430 
27, 0.00431852, 23.64665162, 0.84180099, 0.12448655 
28, 0.00448336, 23.48396806, 0.83966088, 0.11992328 
29, 0.00462688, 23.34711945, 0.83720827, 0.11908019 
30, 0.00486526, 23.12894124, 0.83524972, 0.12410260 
31, 0.00501936, 22.99352079, 0.83248621, 0.11927909 
32, 0.00494205, 23.06092765, 0.82819855, 0.12376750 
33, 0.00457185, 23.39908386, 0.82868689, 0.11548812 
34, 0.00454525, 23.42441782, 0.82713938, 0.12338163 
35, 0.00446449, 23.50228248, 0.82533288, 0.11867805 
36, 0.00444478, 23.52149383, 0.82263219, 0.12772229 
37, 0.00444030, 23.52588126, 0.82231581, 0.12307519 
38, 0.00420578, 23.76153582, 0.82296938, 0.12184887 
39, 0.00422563, 23.74108596, 0.82131404, 0.12014094 
40, 0.00425246, 23.71359730, 0.81871772, 0.12581800 
41, 0.00419036, 23.77748355, 0.81602556, 0.12956797 
42, 0.00412670, 23.84397091, 0.81574732, 0.12560122 
43, 0.00406952, 23.90457342, 0.81657165, 0.12747422 
44, 0.00451914, 23.44943768, 0.81869882, 0.13403977 
45, 0.00509132, 22.93169822, 0.81956238, 0.13404378 
46, 0.00507149, 22.94864181, 0.82282764, 0.13622701 
47, 0.00437220, 23.59299564, 0.82655573, 0.14075062 
48, 0.00386997, 24.12292443, 0.82997906, 0.13462284 
49, 0.00329101, 24.82670654, 0.83424675, 0.12271240 
50, 0.00297162, 25.27006003, 0.83679926, 0.11948048 
51, 0.00296436, 25.28068450, 0.83947206, 0.11519917 
52, 0.00316466, 24.99672501, 0.84099436, 0.11055461 
53, 0.00356976, 24.47361022, 0.84351099, 0.11317289 
54, 0.00380570, 24.19564893, 0.84590924, 0.10504790 
