ID, MSE, PSNR, SSIM, LPIPS
0, 0.00245186, 26.10504064, 0.92101854, 0.05772345 
1, 0.00370796, 24.30865230, 0.91717583, 0.06938783 
2, 0.00489174, 23.10536620, 0.91556662, 0.07276143 
3, 0.00537228, 22.69841227, 0.91284978, 0.07047429 
4, 0.00530068, 22.75668017, 0.90969890, 0.07130505 
5, 0.00437446, 23.59075103, 0.91116166, 0.06555066 
6, 0.00377097, 24.23546569, 0.91251874, 0.06308383 
7, 0.00351303, 24.54317852, 0.91060156, 0.05984308 
8, 0.00415332, 23.81604645, 0.90963525, 0.06676164 
9, 0.00514331, 22.88757264, 0.91036683, 0.06916397 
10, 0.00538016, 22.69205095, 0.90932268, 0.07434679 
11, 0.00500568, 23.00536592, 0.91026461, 0.06919383 
12, 0.00420871, 23.75851042, 0.91233146, 0.06609879 
13, 0.00318881, 24.96371727, 0.91451776, 0.06077000 
14, 0.00233511, 26.31692227, 0.91667986, 0.06124030 
15, 0.00199119, 27.00886532, 0.91860956, 0.05385409 
16, 0.00201393, 26.95956557, 0.91838759, 0.05563583 
17, 0.00212258, 26.73136584, 0.91753483, 0.05507639 
18, 0.00224251, 26.49265797, 0.91513932, 0.05788341 
19, 0.00240300, 26.19246794, 0.91389048, 0.06180938 
20, 0.00253314, 25.96341225, 0.91289544, 0.06381283 
21, 0.00261463, 25.82589580, 0.91165531, 0.06217234 
22, 0.00257291, 25.89575142, 0.91233826, 0.06852105 
23, 0.00247082, 26.07158527, 0.91275436, 0.06847039 
24, 0.00246931, 26.07424618, 0.91010422, 0.07452212 
25, 0.00241903, 26.16358693, 0.90901148, 0.06418116 
26, 0.00241050, 26.17892221, 0.90893596, 0.06642428 
27, 0.00243918, 26.12755293, 0.90836495, 0.06741055 
28, 0.00250081, 26.01920037, 0.90790272, 0.06228606 
29, 0.00271510, 25.66213712, 0.90453935, 0.06544165 
30, 0.00303049, 25.18487393, 0.90125316, 0.06910066 
31, 0.00313299, 25.04040849, 0.89968646, 0.06392919 
32, 0.00307414, 25.12276646, 0.89772850, 0.06391050 
33, 0.00277641, 25.56517061, 0.89802933, 0.05966316 
34, 0.00278822, 25.54673496, 0.89653748, 0.06516901 
35, 0.00270254, 25.68228353, 0.89545435, 0.06053540 
36, 0.00260702, 25.83855972, 0.89437038, 0.06162008 
37, 0.00260911, 25.83507732, 0.89426279, 0.06305671 
38, 0.00242191, 26.15841718, 0.89444804, 0.06746883 
39, 0.00244870, 26.11064642, 0.89433134, 0.06457797 
40, 0.00247648, 26.06165077, 0.89298832, 0.06764339 
41, 0.00245288, 26.10323631, 0.89085221, 0.06780016 
42, 0.00245022, 26.10794951, 0.88921595, 0.07046808 
43, 0.00244505, 26.11713074, 0.88851690, 0.07627545 
44, 0.00298632, 25.24864359, 0.88671923, 0.08195297 
45, 0.00338278, 24.70725752, 0.88576269, 0.08695693 
46, 0.00347582, 24.58942932, 0.88675976, 0.08301102 
47, 0.00294139, 25.31447968, 0.88789588, 0.09197691 
48, 0.00248245, 26.05120043, 0.89046204, 0.08252163 
49, 0.00200230, 26.98470449, 0.89163095, 0.07682550 
50, 0.00166068, 27.79715128, 0.89164585, 0.07876436 
51, 0.00158129, 28.00988017, 0.89174134, 0.07242443 
52, 0.00166594, 27.78339358, 0.89172548, 0.08507634 
53, 0.00192055, 27.16574905, 0.88999194, 0.08629170 
54, 0.00205428, 26.87340333, 0.88883138, 0.08727469 
55, 0.00212016, 26.73631309, 0.89022970, 0.08300313 
56, 0.00219061, 26.59435179, 0.88979483, 0.09164197 
57, 0.00214511, 26.68551012, 0.89320558, 0.08733360 
58, 0.00200651, 26.97558663, 0.89433366, 0.08451799 
59, 0.00191131, 27.18668838, 0.89801568, 0.07740445 
60, 0.00190377, 27.20384719, 0.90091324, 0.07526590 
61, 0.00190818, 27.19379743, 0.90238208, 0.07641234 
62, 0.00195536, 27.08772252, 0.90460259, 0.06886425 
63, 0.00204152, 26.90046789, 0.90418023, 0.06973925 
64, 0.00198470, 27.02305670, 0.90767688, 0.06411316 
65, 0.00194380, 27.11347430, 0.91187185, 0.06138074 
66, 0.00198129, 27.03052246, 0.91368634, 0.05866208 
67, 0.00207484, 26.83015970, 0.91376066, 0.05903950 
68, 0.00229280, 26.39634666, 0.91516215, 0.05826120 
69, 0.00247521, 26.06388113, 0.91619408, 0.06414296 
70, 0.00277472, 25.56781224, 0.91507399, 0.06609794 
71, 0.00328509, 24.83452854, 0.91094387, 0.06693930 
72, 0.00391525, 24.07240262, 0.90687490, 0.07668437 
73, 0.00442034, 23.54544639, 0.90634412, 0.07783129 
74, 0.00457826, 23.39299171, 0.90419656, 0.07984844 
75, 0.00469511, 23.28354614, 0.90231055, 0.07329663 
76, 0.00449818, 23.46963394, 0.90230525, 0.07419883 
77, 0.00418019, 23.78803769, 0.90325123, 0.07384902 
78, 0.00407007, 23.90398110, 0.90371430, 0.07188775 
79, 0.00392014, 24.06698554, 0.90344977, 0.07518522 
80, 0.00365160, 24.37517344, 0.90449589, 0.07469732 
81, 0.00357701, 24.46480099, 0.90343553, 0.07147246 
82, 0.00346116, 24.60778733, 0.90333229, 0.06879964 
83, 0.00334382, 24.75757156, 0.90304923, 0.06235805 
84, 0.00322408, 24.91594478, 0.90463376, 0.06417117 
85, 0.00313665, 25.03534492, 0.90487701, 0.06451318 
86, 0.00299374, 25.23785359, 0.90668696, 0.06012892 
87, 0.00304062, 25.17038499, 0.90559441, 0.05747557 
88, 0.00307727, 25.11834036, 0.90582663, 0.06641020 
89, 0.00312613, 25.04992937, 0.90637249, 0.06638943 
90, 0.00313574, 25.03660010, 0.90699762, 0.06758692 
91, 0.00333313, 24.77147364, 0.90730894, 0.07236055 
92, 0.00339756, 24.68832332, 0.90884352, 0.07281080 
93, 0.00328328, 24.83691809, 0.91155481, 0.07268478 
94, 0.00315742, 25.00667345, 0.91503578, 0.06845666 
95, 0.00319625, 24.95359551, 0.91750956, 0.07110219 
96, 0.00335894, 24.73797165, 0.92079240, 0.06739968 
97, 0.00312293, 25.05437207, 0.92555881, 0.07503462 
98, 0.00304736, 25.16076687, 0.92868775, 0.06559985 
99, 0.00305192, 25.15427537, 0.92762899, 0.06807005 
100, 0.00277961, 25.56016136, 0.92971075, 0.07238562 
101, 0.00263040, 25.79978088, 0.93034846, 0.06930184 
