ID, MSE, PSNR, SSIM, LPIPS
0, 0.00640999, 21.93142797, 0.85628557, 0.15053406 
1, 0.00649189, 21.87628960, 0.85476083, 0.15671977 
2, 0.00663194, 21.78359586, 0.85471869, 0.14402758 
3, 0.00671114, 21.73203834, 0.85376900, 0.15745464 
4, 0.00682911, 21.65635657, 0.85278010, 0.14807358 
5, 0.00696377, 21.57155471, 0.85146946, 0.15440249 
6, 0.00702870, 21.53125002, 0.85196620, 0.15074542 
7, 0.00702091, 21.53606865, 0.85225743, 0.15785174 
8, 0.00702322, 21.53463874, 0.85295105, 0.15266688 
9, 0.00694489, 21.58334416, 0.85321832, 0.14880526 
10, 0.00683591, 21.65203485, 0.85492563, 0.14762847 
11, 0.00675731, 21.70226149, 0.85635686, 0.14020315 
12, 0.00661720, 21.79325519, 0.85753387, 0.14540990 
13, 0.00656240, 21.82937384, 0.85820788, 0.14449577 
14, 0.00649486, 21.87429884, 0.85732627, 0.14434949 
15, 0.00632552, 21.98903695, 0.85807228, 0.14206438 
16, 0.00613047, 22.12506396, 0.85906875, 0.13976716 
17, 0.00604687, 22.18469182, 0.85995340, 0.13896030 
18, 0.00587364, 22.31092670, 0.85954130, 0.14140990 
19, 0.00577462, 22.38476555, 0.85923040, 0.13329768 
20, 0.00555905, 22.54999601, 0.86167574, 0.13334721 
21, 0.00544660, 22.63874757, 0.86385798, 0.13537651 
22, 0.00535222, 22.71466230, 0.86563128, 0.12341968 
23, 0.00537990, 22.69225694, 0.86506253, 0.13491236 
24, 0.00540204, 22.67442151, 0.86519206, 0.13206768 
25, 0.00546887, 22.62102359, 0.86445761, 0.14101066 
26, 0.00546359, 22.62521683, 0.86490297, 0.13159513 
27, 0.00547116, 22.61920460, 0.86602551, 0.12912422 
28, 0.00542106, 22.65915775, 0.86709023, 0.13059285 
29, 0.00527974, 22.77387859, 0.86870784, 0.12530880 
30, 0.00514972, 22.88216364, 0.87021714, 0.12443633 
31, 0.00502334, 22.99007527, 0.87061912, 0.12212862 
32, 0.00499316, 23.01624171, 0.87043279, 0.12511550 
33, 0.00496948, 23.03688688, 0.87057012, 0.11942133 
34, 0.00496436, 23.04136322, 0.87062943, 0.11988115 
35, 0.00495390, 23.05053183, 0.87016106, 0.11801445 
36, 0.00484464, 23.14738455, 0.87090003, 0.12029752 
37, 0.00492330, 23.07743587, 0.86982739, 0.11365371 
38, 0.00481295, 23.17589046, 0.87018454, 0.10573613 
39, 0.00472108, 23.25958430, 0.87013382, 0.10594030 
40, 0.00464832, 23.32703642, 0.86999810, 0.09982937 
41, 0.00447159, 23.49538042, 0.87116009, 0.10639272 
42, 0.00429608, 23.66927666, 0.87255734, 0.10056537 
43, 0.00419825, 23.76931281, 0.87310791, 0.09570922 
44, 0.00406412, 23.91033042, 0.87604594, 0.10229745 
45, 0.00393256, 24.05324606, 0.87808007, 0.09949023 
46, 0.00377327, 24.23281695, 0.88133931, 0.09424976 
47, 0.00365206, 24.37461605, 0.88387126, 0.09676213 
48, 0.00357106, 24.47202511, 0.88602167, 0.09411120 
49, 0.00348693, 24.57556664, 0.88886845, 0.08976378 
50, 0.00360570, 24.43009978, 0.88551176, 0.09332120 
51, 0.00362957, 24.40144585, 0.88518208, 0.09401256 
52, 0.00363071, 24.40008848, 0.88433194, 0.09870594 
53, 0.00373703, 24.27473676, 0.88309252, 0.10411766 
54, 0.00376116, 24.24678627, 0.88176739, 0.10610420 
55, 0.00381407, 24.18611656, 0.88060862, 0.10612687 
56, 0.00388497, 24.10612775, 0.87848425, 0.11440978 
57, 0.00389520, 24.09470540, 0.87740493, 0.10701245 
58, 0.00399511, 23.98471380, 0.87623841, 0.11251497 
59, 0.00402177, 23.95582433, 0.87527889, 0.11528216 
60, 0.00399214, 23.98793800, 0.87731856, 0.11942720 
61, 0.00401074, 23.96775368, 0.87714225, 0.11716199 
62, 0.00396315, 24.01959583, 0.88031721, 0.11295348 
63, 0.00397849, 24.00281486, 0.87938124, 0.12285691 
64, 0.00386899, 24.12402093, 0.87998343, 0.12427147 
65, 0.00377018, 24.23637588, 0.88054353, 0.11883766 
66, 0.00376596, 24.24124030, 0.88107747, 0.12583870 
67, 0.00369523, 24.32358169, 0.88184297, 0.12804419 
68, 0.00360970, 24.42528819, 0.88537449, 0.12521486 
69, 0.00353055, 24.52157370, 0.88848662, 0.12503758 
70, 0.00345529, 24.61515542, 0.89252341, 0.12006682 
71, 0.00341753, 24.66287593, 0.89821070, 0.11726497 
72, 0.00323475, 24.90158886, 0.90346485, 0.11246344 
73, 0.00317667, 24.98027222, 0.90752548, 0.11246598 
74, 0.00296001, 25.28706246, 0.91324008, 0.09903336 
75, 0.00265836, 25.75385418, 0.91698116, 0.09891913 
76, 0.00248717, 26.04294481, 0.91985214, 0.09753481 
77, 0.00240282, 26.19278144, 0.91895062, 0.10110972 
78, 0.00248391, 26.04865008, 0.91564316, 0.10216664 
79, 0.00240346, 26.19163063, 0.91308898, 0.10270473 
80, 0.00248640, 26.04428868, 0.91248524, 0.10256448 
81, 0.00257224, 25.89688775, 0.91085190, 0.10653664 
82, 0.00262273, 25.81246438, 0.90994483, 0.11657754 
83, 0.00270286, 25.68176760, 0.90888554, 0.11297376 
84, 0.00277243, 25.57140146, 0.90920192, 0.11260389 
85, 0.00294623, 25.30733644, 0.90870154, 0.11039702 
86, 0.00304025, 25.17090048, 0.90865546, 0.11213023 
87, 0.00317149, 24.98736106, 0.91117662, 0.11015261 
88, 0.00314956, 25.01750441, 0.91401005, 0.10322411 
89, 0.00320916, 24.93608511, 0.91436386, 0.10617889 
90, 0.00322550, 24.91403080, 0.91527700, 0.11314756 
91, 0.00311852, 25.06051026, 0.91677552, 0.10576735 
92, 0.00317583, 24.98142880, 0.91564268, 0.10825579 
93, 0.00322941, 24.90876700, 0.91656077, 0.10230453 
94, 0.00328931, 24.82895283, 0.91840059, 0.10036309 
95, 0.00340772, 24.67536422, 0.91976583, 0.09435262 
96, 0.00351757, 24.53756910, 0.92305887, 0.09657258 
97, 0.00354053, 24.50931937, 0.92497766, 0.08898961 
98, 0.00365888, 24.36652247, 0.92543548, 0.08239365 
99, 0.00354238, 24.50705260, 0.92689872, 0.08072513 
100, 0.00378625, 24.21791139, 0.92555702, 0.08745833 
101, 0.00391768, 24.06970769, 0.92577684, 0.08599752 
102, 0.00367436, 24.34818516, 0.92574942, 0.09118875 
103, 0.00360446, 24.43159700, 0.92529875, 0.08720545 
104, 0.00369578, 24.32294306, 0.92311817, 0.09208327 
105, 0.00381183, 24.18866879, 0.92026705, 0.08616981 
106, 0.00385872, 24.13556503, 0.91848141, 0.08970468 
107, 0.00389068, 24.09974081, 0.92005223, 0.08499250 
108, 0.00390747, 24.08103878, 0.91899610, 0.08593446 
109, 0.00392843, 24.05781197, 0.92041767, 0.08294218 
110, 0.00388773, 24.10304144, 0.92015070, 0.08324818 
111, 0.00389600, 24.09380600, 0.91818315, 0.09057465 
112, 0.00395748, 24.02581301, 0.91402113, 0.09233668 
113, 0.00405399, 23.92117089, 0.91138589, 0.09516578 
114, 0.00402776, 23.94936704, 0.91107178, 0.09578440 
115, 0.00397606, 24.00547571, 0.90993828, 0.09475366 
116, 0.00400238, 23.97682014, 0.90834963, 0.09182030 
117, 0.00388050, 24.11112484, 0.90652758, 0.09659379 
118, 0.00372417, 24.28970322, 0.90608996, 0.09270988 
119, 0.00371944, 24.29522121, 0.90552807, 0.09619712 
120, 0.00377330, 24.23278345, 0.90661836, 0.08920363 
121, 0.00375381, 24.25527287, 0.90936887, 0.08735596 
122, 0.00371742, 24.29758024, 0.91428119, 0.09272870 
123, 0.00373120, 24.28151281, 0.91621500, 0.08473784 
124, 0.00364444, 24.38369129, 0.91915667, 0.08361476 
125, 0.00372621, 24.28732730, 0.91979146, 0.07374039 
126, 0.00381268, 24.18769482, 0.91708899, 0.08205368 
127, 0.00377276, 24.23340521, 0.91471028, 0.08360574 
128, 0.00387229, 24.12032462, 0.91101497, 0.08560932 
129, 0.00378786, 24.21605596, 0.90638781, 0.08684916 
130, 0.00379922, 24.20305974, 0.90134287, 0.09033319 
131, 0.00367981, 24.34174951, 0.89861685, 0.09260902 
