ID, MSE, PSNR, SSIM, LPIPS
0, 0.00526969, 22.78214553, 0.88059038, 0.12216235 
1, 0.00537849, 22.69339872, 0.87905771, 0.11988060 
2, 0.00553534, 22.56855411, 0.87722445, 0.11991168 
3, 0.00553943, 22.56535153, 0.87600857, 0.12805882 
4, 0.00560676, 22.51288085, 0.87531781, 0.12376682 
5, 0.00568550, 22.45231595, 0.87429547, 0.12046269 
6, 0.00571022, 22.43347197, 0.87480772, 0.12144759 
7, 0.00571202, 22.43210371, 0.87408781, 0.12659305 
8, 0.00577876, 22.38165538, 0.87364399, 0.12944177 
9, 0.00575986, 22.39587973, 0.87476265, 0.11837137 
10, 0.00567007, 22.46411458, 0.87580210, 0.12439458 
11, 0.00556516, 22.54522712, 0.87750298, 0.12364378 
12, 0.00545678, 22.63063363, 0.87882358, 0.12036130 
13, 0.00540716, 22.67030917, 0.87874824, 0.12140547 
14, 0.00526267, 22.78793968, 0.87918437, 0.11602592 
15, 0.00508896, 22.93370938, 0.88002032, 0.11626899 
16, 0.00498127, 23.02660318, 0.87999213, 0.11607391 
17, 0.00488707, 23.10951809, 0.88145506, 0.11276588 
18, 0.00478196, 23.20394311, 0.88115031, 0.12142654 
19, 0.00449240, 23.47521291, 0.88418704, 0.11470047 
20, 0.00432893, 23.63619782, 0.88678050, 0.11427750 
21, 0.00412038, 23.85062419, 0.89095616, 0.10991911 
22, 0.00399928, 23.98017956, 0.89416999, 0.10125031 
23, 0.00408932, 23.88349340, 0.89343506, 0.10911845 
24, 0.00421641, 23.75057478, 0.89234281, 0.10849679 
25, 0.00425953, 23.70638462, 0.89189649, 0.11170049 
26, 0.00442960, 23.53635470, 0.89046031, 0.11352443 
27, 0.00441521, 23.55048190, 0.89063048, 0.11046465 
28, 0.00440897, 23.55662397, 0.89179081, 0.10402168 
29, 0.00421032, 23.75685152, 0.89507812, 0.10034404 
30, 0.00406521, 23.90917065, 0.89851147, 0.09788328 
31, 0.00388340, 24.10787353, 0.90152878, 0.09432831 
32, 0.00387253, 24.12005750, 0.90166658, 0.09433877 
33, 0.00388583, 24.10516457, 0.90125948, 0.09347635 
34, 0.00382632, 24.17219063, 0.90146673, 0.09389880 
35, 0.00385808, 24.13628809, 0.90120512, 0.09361760 
36, 0.00382508, 24.17359332, 0.90219116, 0.09209671 
37, 0.00375954, 24.24864788, 0.90325302, 0.08371373 
38, 0.00369125, 24.32826212, 0.90388918, 0.07982783 
39, 0.00365701, 24.36873862, 0.90399659, 0.08398791 
40, 0.00341640, 24.66431532, 0.90665329, 0.07205888 
41, 0.00327726, 24.84489180, 0.90830290, 0.06961512 
42, 0.00312841, 25.04675935, 0.91014165, 0.06724974 
43, 0.00298028, 25.25742461, 0.91222334, 0.06814672 
44, 0.00284347, 25.46150910, 0.91450983, 0.06428116 
45, 0.00272170, 25.65159542, 0.91675532, 0.06481053 
46, 0.00250684, 26.00872933, 0.92068583, 0.06316096 
47, 0.00236249, 26.26630761, 0.92318696, 0.05771446 
