ID, MSE, PSNR, SSIM, LPIPS
0, 0.00183765, 27.35736852, 0.94518507, 0.07976355 
1, 0.00176139, 27.54145188, 0.94561970, 0.07897395 
2, 0.00180276, 27.44061708, 0.94519520, 0.07767539 
3, 0.00187838, 27.26216796, 0.94402409, 0.08556170 
4, 0.00189453, 27.22498881, 0.94462103, 0.07998544 
5, 0.00194124, 27.11920212, 0.94371891, 0.08135781 
6, 0.00200258, 26.98409702, 0.94329649, 0.08268297 
7, 0.00212594, 26.72448796, 0.94224679, 0.08532628 
8, 0.00213160, 26.71294444, 0.94244498, 0.08144788 
9, 0.00212987, 26.71646951, 0.94249946, 0.08163311 
10, 0.00215216, 26.67125342, 0.94116527, 0.08754662 
11, 0.00220661, 26.56273675, 0.94075912, 0.08777306 
12, 0.00221270, 26.55078430, 0.94057280, 0.09025963 
13, 0.00223470, 26.50780156, 0.94048113, 0.08787820 
14, 0.00222347, 26.52968405, 0.93932432, 0.09239476 
15, 0.00217349, 26.62842748, 0.93914974, 0.09457161 
16, 0.00213334, 26.70939901, 0.93873340, 0.09716168 
17, 0.00212789, 26.72051822, 0.93816441, 0.09900541 
18, 0.00214800, 26.67965146, 0.93764538, 0.10038526 
19, 0.00210979, 26.75761396, 0.93912548, 0.09292224 
20, 0.00211608, 26.74468366, 0.93944639, 0.09844720 
21, 0.00210483, 26.76783072, 0.93929970, 0.10371323 
22, 0.00209035, 26.79781373, 0.94045055, 0.09484546 
23, 0.00208325, 26.81258445, 0.94142371, 0.09181090 
24, 0.00210215, 26.77336611, 0.94195294, 0.09081857 
25, 0.00209892, 26.78004295, 0.94275039, 0.07887329 
26, 0.00212186, 26.73282717, 0.94415462, 0.08820464 
27, 0.00227443, 26.43127801, 0.94387209, 0.08942400 
28, 0.00247708, 26.06060277, 0.94484574, 0.08737905 
29, 0.00268170, 25.71590441, 0.94377571, 0.08552717 
30, 0.00261276, 25.82899891, 0.94375426, 0.08846925 
31, 0.00259360, 25.86097438, 0.94418669, 0.08388589 
32, 0.00260692, 25.83872418, 0.94439852, 0.08778321 
33, 0.00253951, 25.95249730, 0.94530970, 0.08557118 
34, 0.00248501, 26.04671439, 0.94631493, 0.08515380 
35, 0.00241690, 26.16741296, 0.94722116, 0.08443586 
36, 0.00233627, 26.31476372, 0.94799161, 0.08026518 
37, 0.00228855, 26.40440187, 0.94871223, 0.07898304 
38, 0.00227264, 26.43470131, 0.94942564, 0.07621015 
39, 0.00223094, 26.51511581, 0.95006263, 0.08785666 
40, 0.00211080, 26.75552769, 0.95150477, 0.08291394 
41, 0.00199946, 26.99086385, 0.95363033, 0.07841043 
42, 0.00196885, 27.05786772, 0.95495343, 0.07503365 
43, 0.00196073, 27.07581857, 0.95705557, 0.07463787 
44, 0.00198395, 27.02470111, 0.95734513, 0.06664464 
45, 0.00203278, 26.91908856, 0.95833272, 0.06739293 
46, 0.00203257, 26.91954771, 0.96027315, 0.06334560 
47, 0.00198360, 27.02545244, 0.96334773, 0.06182536 
48, 0.00208906, 26.80049056, 0.96287292, 0.06207239 
49, 0.00204385, 26.89551372, 0.96554393, 0.05934912 
50, 0.00210518, 26.76710825, 0.96502489, 0.06011387 
51, 0.00213480, 26.70643525, 0.96479213, 0.05766575 
52, 0.00198272, 27.02737978, 0.96437341, 0.05795573 
53, 0.00192785, 27.14925800, 0.96255493, 0.06180803 
54, 0.00186057, 27.30354220, 0.95994115, 0.06294677 
55, 0.00191489, 27.17856006, 0.95728773, 0.06101514 
56, 0.00192808, 27.14875293, 0.95368868, 0.06285097 
57, 0.00193653, 27.12976607, 0.95123380, 0.06548151 
58, 0.00191937, 27.16840606, 0.94929147, 0.06899177 
59, 0.00191499, 27.17833089, 0.94711775, 0.06940311 
60, 0.00190850, 27.19308423, 0.94590652, 0.07357474 
61, 0.00191485, 27.17864746, 0.94530672, 0.08021316 
62, 0.00197155, 27.05192757, 0.94403052, 0.08168194 
63, 0.00206831, 26.84383626, 0.94196463, 0.08106226 
64, 0.00211207, 26.75292582, 0.94184053, 0.07944024 
65, 0.00206999, 26.84032063, 0.94214743, 0.07771575 
66, 0.00210039, 26.77700460, 0.94317490, 0.07664911 
67, 0.00212038, 26.73586385, 0.94323248, 0.07470814 
68, 0.00210697, 26.76341180, 0.94420588, 0.07243806 
69, 0.00219018, 26.59520352, 0.94479048, 0.07188756 
70, 0.00203929, 26.90521797, 0.94492960, 0.06931247 
71, 0.00209335, 26.79159013, 0.94683862, 0.06691373 
72, 0.00201991, 26.94667149, 0.94698441, 0.06443594 
73, 0.00186257, 27.29887111, 0.94976997, 0.06234582 
74, 0.00196700, 27.06194852, 0.94848382, 0.06233365 
75, 0.00193022, 27.14393072, 0.94818246, 0.06317987 
76, 0.00204401, 26.89517286, 0.94828224, 0.06567613 
77, 0.00201233, 26.96301680, 0.94879168, 0.06610060 
78, 0.00216666, 26.64208947, 0.94660479, 0.07069815 
79, 0.00214365, 26.68846482, 0.94807982, 0.07750741 
80, 0.00219690, 26.58188729, 0.94867796, 0.07317199 
81, 0.00222140, 26.53373476, 0.94869566, 0.07469568 
82, 0.00216777, 26.63987696, 0.95042324, 0.07859729 
83, 0.00218880, 26.59793523, 0.95051724, 0.07886648 
84, 0.00225906, 26.46073032, 0.94994581, 0.08289608 
85, 0.00218415, 26.60717901, 0.95189488, 0.08219667 
86, 0.00220293, 26.56998995, 0.95201844, 0.08182507 
87, 0.00227222, 26.43548847, 0.95165896, 0.08253546 
88, 0.00230277, 26.37749957, 0.95248508, 0.07931402 
89, 0.00237385, 26.24547499, 0.95144391, 0.07849032 
90, 0.00238699, 26.22148807, 0.95087361, 0.07998988 
91, 0.00256306, 25.91241972, 0.94953060, 0.08276044 
92, 0.00260848, 25.83611841, 0.95014536, 0.08140306 
93, 0.00273057, 25.63747087, 0.95044023, 0.08484420 
94, 0.00265925, 25.75240367, 0.95206255, 0.08908977 
95, 0.00266841, 25.73746708, 0.95347005, 0.08198886 
96, 0.00268592, 25.70907136, 0.95466202, 0.08433943 
97, 0.00277241, 25.57142043, 0.95453352, 0.09112519 
98, 0.00278443, 25.55263833, 0.95474809, 0.08987769 
99, 0.00280929, 25.51403559, 0.95598990, 0.08242101 
100, 0.00290110, 25.37437706, 0.95481253, 0.08422403 
101, 0.00274812, 25.60963922, 0.95491916, 0.08705219 
102, 0.00280722, 25.51722942, 0.95381188, 0.08541559 
103, 0.00284117, 25.46502041, 0.95213306, 0.08651796 
104, 0.00314445, 25.02454757, 0.95027059, 0.09254178 
105, 0.00327084, 24.85341251, 0.94874185, 0.09770003 
106, 0.00336209, 24.73390202, 0.94755840, 0.09713982 
107, 0.00337114, 24.72223273, 0.94639277, 0.09456176 
108, 0.00334213, 24.75976874, 0.94574678, 0.09296659 
109, 0.00330479, 24.80855886, 0.94469684, 0.09770008 
110, 0.00328555, 24.83391544, 0.94517797, 0.09563600 
111, 0.00329507, 24.82135321, 0.94585115, 0.09619059 
112, 0.00330704, 24.80560969, 0.94580775, 0.09533552 
113, 0.00341416, 24.66716324, 0.94440305, 0.09516584 
114, 0.00350084, 24.55827949, 0.94438630, 0.09798144 
115, 0.00356936, 24.47409208, 0.94341898, 0.09537773 
116, 0.00363436, 24.39572455, 0.94344538, 0.09168738 
117, 0.00381991, 24.17946565, 0.94099021, 0.09812407 
