ID, MSE, PSNR, SSIM, LPIPS
0, 0.00109053, 29.62363420, 0.95915657, 0.05915870 
1, 0.00103508, 29.85027035, 0.95928246, 0.06344141 
2, 0.00102964, 29.87313232, 0.95904011, 0.06016410 
3, 0.00106563, 29.72395222, 0.95787001, 0.06584263 
4, 0.00109114, 29.62118514, 0.95773619, 0.06641273 
5, 0.00111154, 29.54075400, 0.95775288, 0.06845723 
6, 0.00113561, 29.44771042, 0.95757246, 0.06377039 
7, 0.00117504, 29.29945617, 0.95696431, 0.06585757 
8, 0.00124292, 29.05557861, 0.95520556, 0.06716034 
9, 0.00124041, 29.06433957, 0.95527726, 0.06528281 
10, 0.00123684, 29.07687283, 0.95517671, 0.07096385 
11, 0.00121869, 29.14107142, 0.95580083, 0.07249885 
12, 0.00125806, 29.00296962, 0.95510602, 0.07619835 
13, 0.00128286, 28.91820677, 0.95437562, 0.07201225 
14, 0.00133549, 28.74358896, 0.95335501, 0.07480554 
15, 0.00140800, 28.51397126, 0.95302242, 0.07394016 
16, 0.00140253, 28.53087298, 0.95278734, 0.07722861 
17, 0.00146329, 28.34669885, 0.95191216, 0.08103662 
18, 0.00148910, 28.27074697, 0.95215499, 0.08110613 
19, 0.00155374, 28.08620676, 0.95099866, 0.07929365 
20, 0.00149253, 28.26077441, 0.95146579, 0.08186815 
21, 0.00144338, 28.40619730, 0.95133924, 0.08465462 
22, 0.00144644, 28.39700520, 0.95134544, 0.07555974 
23, 0.00149154, 28.26366046, 0.95170349, 0.07641578 
24, 0.00143704, 28.42530003, 0.95299381, 0.07645857 
25, 0.00146119, 28.35292739, 0.95343912, 0.07170108 
26, 0.00148499, 28.28277423, 0.95359558, 0.07438167 
27, 0.00149214, 28.26191105, 0.95430523, 0.07465485 
28, 0.00146690, 28.33598701, 0.95454174, 0.07515416 
29, 0.00149863, 28.24306613, 0.95463240, 0.07817192 
30, 0.00153262, 28.14565365, 0.95482832, 0.07711588 
31, 0.00149304, 28.25929368, 0.95525032, 0.07632361 
32, 0.00150993, 28.21044456, 0.95546067, 0.07909687 
33, 0.00146460, 28.34279734, 0.95572501, 0.07796510 
34, 0.00148570, 28.28070062, 0.95629865, 0.07704864 
35, 0.00140322, 28.52875568, 0.95602924, 0.07603289 
36, 0.00140232, 28.53153127, 0.95639455, 0.07323915 
37, 0.00139928, 28.54094964, 0.95680141, 0.07232355 
38, 0.00138067, 28.59909855, 0.95745361, 0.06924682 
39, 0.00137187, 28.62686251, 0.95782024, 0.07023694 
40, 0.00133637, 28.74072786, 0.95897937, 0.06733692 
41, 0.00124941, 29.03294139, 0.96113962, 0.06035749 
42, 0.00124764, 29.03909089, 0.96284473, 0.05847865 
43, 0.00123777, 29.07358305, 0.96424735, 0.05592718 
44, 0.00119980, 29.20890743, 0.96594292, 0.05410790 
45, 0.00119296, 29.23373371, 0.96765465, 0.05376840 
46, 0.00124566, 29.04599910, 0.96867722, 0.04906324 
47, 0.00129958, 28.86198545, 0.96956676, 0.04903638 
48, 0.00138711, 28.57890161, 0.97034723, 0.05511616 
49, 0.00135609, 28.67712918, 0.97205466, 0.05010171 
50, 0.00131710, 28.80382319, 0.97350693, 0.04790384 
51, 0.00133706, 28.73850160, 0.97270328, 0.04758598 
52, 0.00129865, 28.86508447, 0.97175777, 0.04871351 
53, 0.00132542, 28.77645950, 0.96913195, 0.05427194 
54, 0.00130311, 28.85020112, 0.96683323, 0.05447571 
55, 0.00128776, 28.90165704, 0.96492702, 0.05351565 
