ID, MSE, PSNR, SSIM, LPIPS
0, 0.00497237, 23.03436533, 0.64867538, 0.32290253 
1, 0.00501793, 22.99475426, 0.64538658, 0.32498372 
2, 0.00516748, 22.86721031, 0.64327228, 0.32426688 
3, 0.00534433, 22.72106403, 0.63985866, 0.32158279 
4, 0.00564620, 22.48243390, 0.63638866, 0.32601157 
5, 0.00551602, 22.58374269, 0.63544506, 0.31787407 
6, 0.00574156, 22.40969783, 0.63480550, 0.32491407 
7, 0.00572081, 22.42542332, 0.63689959, 0.31840655 
8, 0.00599660, 22.22094901, 0.63431364, 0.32286227 
9, 0.00604256, 22.18779323, 0.63604230, 0.33049169 
10, 0.00617635, 22.09268384, 0.63588214, 0.32478693 
11, 0.00662751, 21.78649375, 0.63249379, 0.32007709 
12, 0.00649441, 21.87460088, 0.63558871, 0.32393885 
13, 0.00611026, 22.13940390, 0.63892311, 0.31726801 
14, 0.00668818, 21.74691871, 0.63473910, 0.32034209 
15, 0.00662480, 21.78827524, 0.63634396, 0.31782860 
16, 0.00610710, 22.14165015, 0.64036179, 0.30189037 
17, 0.00611763, 22.13417004, 0.63954347, 0.30430245 
18, 0.00640659, 21.93372887, 0.63630050, 0.31455454 
19, 0.00637841, 21.95287859, 0.63641506, 0.30298170 
20, 0.00650741, 21.86591909, 0.63655603, 0.30324578 
21, 0.00657272, 21.82255168, 0.63651448, 0.30763486 
22, 0.00625278, 22.03926619, 0.64071435, 0.31454247 
23, 0.00610477, 22.14330917, 0.64337581, 0.30642566 
24, 0.00608549, 22.15704555, 0.64835733, 0.31436014 
25, 0.00578751, 22.37508319, 0.65542120, 0.30228281 
26, 0.00606386, 22.17250941, 0.65705758, 0.30324209 
27, 0.00628325, 22.01815777, 0.65972418, 0.30328140 
28, 0.00630385, 22.00394091, 0.66414559, 0.29398230 
29, 0.00665563, 21.76810999, 0.66622758, 0.30314344 
30, 0.00675983, 21.70064178, 0.67032778, 0.30426943 
31, 0.00686292, 21.63490989, 0.67360282, 0.29426122 
32, 0.00705043, 21.51784341, 0.67394620, 0.29952282 
33, 0.00714532, 21.45978426, 0.67675734, 0.29681054 
34, 0.00712586, 21.47162908, 0.68084776, 0.28629416 
35, 0.00719574, 21.42924621, 0.68626678, 0.28628549 
36, 0.00728749, 21.37422295, 0.68984836, 0.27837795 
37, 0.00733257, 21.34744035, 0.69288230, 0.27810019 
38, 0.00723499, 21.40561917, 0.70087910, 0.27610570 
39, 0.00811965, 20.90462930, 0.69365722, 0.29297251 
40, 0.00858269, 20.66376631, 0.69405681, 0.28680983 
41, 0.00900513, 20.45509776, 0.69421142, 0.30333459 
42, 0.00938849, 20.27404096, 0.69529700, 0.31190953 
43, 0.01020024, 19.91389503, 0.69759911, 0.32232115 
44, 0.01090521, 19.62365896, 0.70091301, 0.31901246 
45, 0.01158440, 19.36126273, 0.70227128, 0.31645867 
46, 0.01247602, 19.03923888, 0.70562470, 0.31468958 
47, 0.01353718, 18.68471866, 0.70460659, 0.31926113 
48, 0.01404906, 18.52352828, 0.70594871, 0.31911480 
49, 0.01481695, 18.29241182, 0.70708483, 0.31896397 
50, 0.01552278, 18.09030553, 0.70917380, 0.31513366 
51, 0.01607567, 17.93830797, 0.71101516, 0.31021830 
52, 0.01695448, 17.70715628, 0.71151495, 0.31044069 
53, 0.01724546, 17.63325115, 0.71377045, 0.30961266 
54, 0.01753208, 17.56166454, 0.71653354, 0.30662113 
55, 0.01783468, 17.48734766, 0.71932447, 0.29786697 
56, 0.01805388, 17.43429405, 0.72181255, 0.29055694 
57, 0.01839805, 17.35228288, 0.72460032, 0.28751129 
58, 0.01869281, 17.28325406, 0.72636414, 0.28226766 
59, 0.01889912, 17.23558451, 0.72962004, 0.28021508 
60, 0.01902894, 17.20585419, 0.73219484, 0.27903548 
61, 0.01922666, 17.16096090, 0.73471171, 0.27648413 
62, 0.01939097, 17.12400413, 0.73685652, 0.27239701 
63, 0.01944436, 17.11206317, 0.73957324, 0.27550676 
64, 0.01949620, 17.10050015, 0.74233598, 0.26801160 
65, 0.01955147, 17.08820647, 0.74346286, 0.26424828 
66, 0.01953014, 17.09294688, 0.74821353, 0.26318586 
67, 0.01958727, 17.08026194, 0.75235581, 0.26048872 
68, 0.01971724, 17.05153862, 0.75691760, 0.25909191 
69, 0.01987505, 17.01691779, 0.76148766, 0.25368205 
70, 0.02032097, 16.92055593, 0.76722074, 0.25428754 
71, 0.02101358, 16.77500024, 0.77118343, 0.25436932 
72, 0.02158559, 16.65836016, 0.77367932, 0.24821939 
73, 0.02239701, 16.49809963, 0.77820808, 0.24473745 
74, 0.02308721, 16.36628459, 0.78075814, 0.24249852 
75, 0.02365446, 16.26087014, 0.78484672, 0.24157877 
76, 0.02373264, 16.24653917, 0.78776491, 0.24237260 
77, 0.02408538, 16.18246562, 0.79021645, 0.23755288 
78, 0.02432849, 16.13884899, 0.79178447, 0.23044348 
79, 0.02450686, 16.10712306, 0.79109758, 0.23633848 
80, 0.02481333, 16.05314952, 0.79021221, 0.24067837 
81, 0.02509550, 16.00404082, 0.78839213, 0.24743892 
82, 0.02587179, 15.87173444, 0.78517330, 0.25444695 
83, 0.02687779, 15.70606402, 0.78234321, 0.26160815 
84, 0.02803754, 15.52260027, 0.77869916, 0.26242128 
85, 0.02951531, 15.29952662, 0.77499157, 0.27127954 
86, 0.03125108, 15.05134913, 0.76849020, 0.28061333 
87, 0.03276795, 14.84550708, 0.76467562, 0.28807038 
88, 0.03406923, 14.67637696, 0.76011115, 0.28861272 
89, 0.03560393, 14.48502070, 0.75683844, 0.29117936 
90, 0.03709061, 14.30736016, 0.75330156, 0.29220212 
91, 0.03805031, 14.19641772, 0.75139385, 0.29230410 
92, 0.03872167, 14.12045885, 0.74989444, 0.29722229 
93, 0.03913843, 14.07396612, 0.74897605, 0.30061686 
94, 0.03943454, 14.04123251, 0.75058627, 0.29799521 
95, 0.03977304, 14.00411218, 0.75054586, 0.29827157 
96, 0.03994357, 13.98553099, 0.75192559, 0.29357478 
97, 0.03999894, 13.97951546, 0.75229442, 0.29424077 
98, 0.03992401, 13.98765797, 0.75448334, 0.29864645 
99, 0.04042323, 13.93368954, 0.75474876, 0.29800740 
100, 0.04040182, 13.93599070, 0.75559133, 0.29783228 
101, 0.04005351, 13.97359428, 0.75710624, 0.28954804 
102, 0.03952475, 14.03130839, 0.75772834, 0.28399774 
103, 0.03902583, 14.08647830, 0.75964367, 0.28414512 
104, 0.03799371, 14.20288291, 0.76225483, 0.26583797 
105, 0.03762060, 14.24574236, 0.76301104, 0.26507217 
106, 0.03668917, 14.35462072, 0.76466882, 0.26964343 
107, 0.03531789, 14.52005292, 0.76798928, 0.25897723 
108, 0.03443868, 14.62953539, 0.76880056, 0.24882554 
109, 0.03269840, 14.85473444, 0.77286041, 0.24052882 
110, 0.03188474, 14.96417157, 0.77559912, 0.23532711 
111, 0.03126955, 15.04878416, 0.77461845, 0.23733319 
112, 0.02964897, 15.27990377, 0.77612275, 0.23289613 
113, 0.02760337, 15.59037847, 0.77970314, 0.23329431 
114, 0.02602450, 15.84617669, 0.78396392, 0.23243295 
115, 0.02578430, 15.88644612, 0.78268957, 0.22223493 
116, 0.02527432, 15.97320495, 0.78385603, 0.22315805 
117, 0.02497292, 16.02530653, 0.78624034, 0.23033483 
118, 0.02549545, 15.93537334, 0.78218168, 0.22751538 
119, 0.02592811, 15.86229141, 0.78119838, 0.22485059 
120, 0.02580380, 15.88316322, 0.78101784, 0.22300106 
121, 0.02467213, 16.07793320, 0.78153819, 0.22095883 
122, 0.02369432, 16.25355757, 0.78132826, 0.21796995 
123, 0.02197022, 16.58165596, 0.78386736, 0.22267830 
124, 0.02151587, 16.67241117, 0.78230733, 0.21613139 
125, 0.02123055, 16.73038707, 0.77998632, 0.21126951 
126, 0.01989870, 17.01175345, 0.77529150, 0.21822977 
127, 0.01946066, 17.10842447, 0.77393991, 0.22241484 
128, 0.01909978, 17.18971691, 0.77133268, 0.21627332 
129, 0.01879844, 17.25878130, 0.76909226, 0.22103560 
130, 0.01859214, 17.30670713, 0.76311135, 0.22077334 
131, 0.01886135, 17.24427276, 0.75935227, 0.23286475 
132, 0.02039461, 16.90484550, 0.74969453, 0.23703510 
133, 0.02020426, 16.94557031, 0.74665612, 0.24191490 
134, 0.01996350, 16.99763415, 0.74188817, 0.25219166 
135, 0.02030623, 16.92370748, 0.73857772, 0.26250437 
136, 0.02057387, 16.86684101, 0.73417521, 0.27244303 
137, 0.02129597, 16.71702643, 0.72767931, 0.27450308 
138, 0.02163596, 16.64823814, 0.72424459, 0.28739047 
139, 0.02142601, 16.69058792, 0.72377455, 0.27780819 
140, 0.02108064, 16.76116224, 0.72204322, 0.29261515 
141, 0.02049612, 16.88328291, 0.72043288, 0.30073747 
142, 0.02005977, 16.97674011, 0.71881253, 0.30125272 
143, 0.01916562, 17.17477080, 0.71747512, 0.30251503 
144, 0.01875100, 17.26975457, 0.71631902, 0.31368226 
145, 0.01829425, 17.37685376, 0.71652347, 0.31315142 
146, 0.01776674, 17.50392294, 0.71570420, 0.30564693 
147, 0.01726256, 17.62894674, 0.71339440, 0.31651977 
148, 0.01705445, 17.68162193, 0.71261549, 0.31392753 
149, 0.01682016, 17.74169956, 0.71116388, 0.31083107 
150, 0.01640039, 17.85145792, 0.71079749, 0.31133449 
151, 0.01607789, 17.93771071, 0.71112090, 0.31030947 
152, 0.01573748, 18.03064718, 0.71115476, 0.30902329 
153, 0.01530326, 18.15215919, 0.71146792, 0.30617595 
154, 0.01496984, 18.24782904, 0.71171588, 0.30942857 
155, 0.01447320, 18.39435301, 0.71099514, 0.30433142 
156, 0.01383501, 18.59020373, 0.71248621, 0.29534143 
157, 0.01330035, 18.76136932, 0.71567595, 0.28976589 
158, 0.01289200, 18.89679565, 0.71703142, 0.29217532 
159, 0.01225726, 19.11606757, 0.72253698, 0.28492340 
160, 0.01229344, 19.10326399, 0.72250754, 0.28856838 
161, 0.01213594, 19.15926658, 0.71997452, 0.29114315 
162, 0.01184838, 19.26340997, 0.71876121, 0.29518211 
163, 0.01161328, 19.35045153, 0.71761459, 0.29514033 
164, 0.01129481, 19.47120959, 0.71523958, 0.29657143 
165, 0.01094974, 19.60596149, 0.71688169, 0.29756188 
166, 0.01057993, 19.75517066, 0.71917427, 0.29715395 
167, 0.01037306, 19.84093202, 0.72253287, 0.28861722 
168, 0.01010474, 19.95474975, 0.72535104, 0.28501740 
169, 0.00987686, 20.05381089, 0.72770208, 0.28727973 
170, 0.00944156, 20.24956279, 0.72955662, 0.28278464 
171, 0.00896430, 20.47483385, 0.73372060, 0.27763823 
172, 0.00853613, 20.68738733, 0.73597813, 0.28164393 
173, 0.00823488, 20.84342876, 0.73871052, 0.28385618 
174, 0.00806900, 20.93180023, 0.73844415, 0.27746534 
175, 0.00785478, 21.04865707, 0.74212629, 0.27365491 
176, 0.00766016, 21.15762432, 0.74012262, 0.27042723 
177, 0.00743446, 21.28750470, 0.74027979, 0.28112519 
178, 0.00737831, 21.32043076, 0.73699200, 0.28188622 
179, 0.00713561, 21.46568719, 0.73490649, 0.28572559 
180, 0.00704483, 21.52129575, 0.73038608, 0.29139185 
181, 0.00668105, 21.75155569, 0.72784996, 0.29650205 
182, 0.00654299, 21.84223621, 0.72214872, 0.30207804 
183, 0.00639525, 21.94142531, 0.71748954, 0.31025338 
184, 0.00623311, 22.05295365, 0.71175534, 0.30880529 
185, 0.00605402, 22.17956147, 0.70617509, 0.31648287 
186, 0.00593741, 22.26403059, 0.70088464, 0.31592590 
187, 0.00587153, 22.31248842, 0.69649696, 0.31966275 
188, 0.00580309, 22.36340341, 0.68863255, 0.32585242 
189, 0.00570648, 22.43631470, 0.68439287, 0.32608590 
190, 0.00569241, 22.44703699, 0.68113047, 0.32981300 
191, 0.00553280, 22.57055048, 0.67947882, 0.32525823 
192, 0.00538053, 22.69175176, 0.67686069, 0.32030469 
193, 0.00520510, 22.83571200, 0.67266530, 0.32349995 
194, 0.00517929, 22.85729950, 0.66984087, 0.31880918 
195, 0.00517590, 22.86013834, 0.66516072, 0.32047552 
196, 0.00503320, 22.98156121, 0.66281855, 0.31755385 
197, 0.00495588, 23.04878861, 0.66165143, 0.31769091 
198, 0.00484535, 23.14674842, 0.65884548, 0.31587857 
199, 0.00474825, 23.23466561, 0.65723020, 0.31390887 
AVERAGES: 0.0168, 18.633, 0.721, 0.285
