ID, MSE, PSNR, SSIM, LPIPS
0, 0.00326471, 24.86154916, 0.69557720, 0.23172447 
1, 0.00341029, 24.67208926, 0.69067663, 0.23511814 
2, 0.00364540, 24.38254305, 0.68704897, 0.23523968 
3, 0.00378751, 24.21645720, 0.68486208, 0.23610032 
4, 0.00395249, 24.03129560, 0.68212539, 0.24126983 
5, 0.00404417, 23.93170544, 0.68164468, 0.23534358 
6, 0.00419847, 23.76909123, 0.68092567, 0.24033687 
7, 0.00423181, 23.73473877, 0.68201369, 0.23100255 
8, 0.00425092, 23.71516697, 0.68125015, 0.23112887 
9, 0.00434929, 23.61581920, 0.68006247, 0.23631552 
10, 0.00433924, 23.62586373, 0.67839909, 0.23843090 
11, 0.00434842, 23.61668090, 0.67980659, 0.23599890 
12, 0.00425231, 23.71374663, 0.68341565, 0.23291031 
13, 0.00416484, 23.80401814, 0.68694955, 0.22970191 
14, 0.00421984, 23.74704322, 0.68516493, 0.22655341 
15, 0.00407228, 23.90162702, 0.68713963, 0.22868523 
16, 0.00399122, 23.98894722, 0.68926543, 0.22279230 
17, 0.00399784, 23.98174339, 0.68829995, 0.22363594 
18, 0.00398852, 23.99188757, 0.68375093, 0.22581115 
19, 0.00407764, 23.89591180, 0.68022382, 0.22510514 
20, 0.00422267, 23.74412894, 0.68086481, 0.22893205 
21, 0.00417230, 23.79624861, 0.68074113, 0.23262550 
22, 0.00398256, 23.99837291, 0.68425477, 0.22722012 
23, 0.00394193, 24.04290795, 0.68726301, 0.22789945 
24, 0.00381551, 24.18447793, 0.69053257, 0.22640258 
25, 0.00380126, 24.20071982, 0.69463938, 0.22273037 
26, 0.00373737, 24.27433389, 0.70020056, 0.22671400 
27, 0.00361901, 24.41409675, 0.70649070, 0.21217377 
28, 0.00364748, 24.38007117, 0.71008056, 0.20503810 
29, 0.00362600, 24.40572212, 0.71357989, 0.20950940 
30, 0.00366231, 24.36245413, 0.71736085, 0.20108826 
31, 0.00374600, 24.26432645, 0.72144783, 0.20662574 
32, 0.00379645, 24.20622331, 0.72598761, 0.20217709 
33, 0.00380879, 24.19213303, 0.73141110, 0.19832927 
34, 0.00384659, 24.14924660, 0.73620856, 0.19302282 
35, 0.00383495, 24.16240527, 0.74217844, 0.19088352 
36, 0.00383411, 24.16335090, 0.74839979, 0.18602014 
37, 0.00387683, 24.11523140, 0.75237334, 0.19141582 
38, 0.00392676, 24.05966048, 0.75508225, 0.18221176 
39, 0.00411702, 23.85416735, 0.75641358, 0.19460626 
40, 0.00431723, 23.64795040, 0.75574416, 0.19736704 
41, 0.00447258, 23.49441992, 0.75837553, 0.19759439 
42, 0.00464519, 23.32996934, 0.76027113, 0.21289518 
43, 0.00478397, 23.20211356, 0.76282889, 0.20488961 
44, 0.00487412, 23.12103409, 0.76527107, 0.20792881 
45, 0.00494183, 23.06112080, 0.76788229, 0.21068218 
46, 0.00505131, 22.96596123, 0.76896513, 0.20614418 
47, 0.00513681, 22.89306635, 0.76747352, 0.21124762 
48, 0.00523105, 22.81410987, 0.76675218, 0.21834256 
